month	type	deposit_isk	balance_isk	target_isk	note
2025-01	actual	80000	5260000	8000000	Toward emergency fund
2025-06	actual	80000	5740000	8000000	Half year point
2025-09	actual	80000	5980000	8000000	
2025-12	actual	80000	6200000	8000000	Year end balance
2026-01	actual	80000	6280000	8000000	
2026-02	actual	80000	6360000	8000000	Most recent actual
2026-10	projected	80000	6920000	8000000	Projection resumes
2026-12	projected	80000	7080000	8000000	
2027-06	projected	80000	7560000	8000000	
2027-12	projected	80000	8040000	8000000	Target reached
