entry_date	vessel	ground	depth_m	species	catch_kg	weather	notes
1974-03-12	Sæljón EA-71	Eyjafjarðaráll	110	Þorskur	480	NE 5, snjókoma	Transcribed from Harold's logbook 1
1974-03-19	Sæljón EA-71	Grímseyjarsund	95	Ýsa	220	N 4, bjart	Good morning haul
1976-06-04	Sæljón EA-71	Skjálfandi	70	Þorskur	610	SW 3, kyrrt	Calm sea
1979-09-21	Hafdís EA-114	Eyjafjarðaráll	130	Karfi	340	NW 6, úfið	Rough, short trip
1982-05-17	Hafdís EA-114	Grímseyjarsund	100	Þorskur	525	N 4, þoka	Fog cleared by noon
1985-08-09	Hafdís EA-114	Skagafjörður	60	Ýsa	290	E 3, bjart	Warm day
1988-04-02	Hafdís EA-114	Eyjafjarðaráll	120	Þorskur	470	NE 5, slydda	Sleet
1991-07-23	Hafdís EA-114	Skjálfandi	75	Þorskur	560	SW 2, kyrrt	Best summer haul that year
1993-10-11	Hafdís EA-114	Grímseyjarsund	105	Karfi	310	N 6, kalt	Cold, last entries of logbook 4
1995-03-28	Hafdís EA-114	Eyjafjarðaráll	115	Þorskur	430	NW 5, él	Snow showers, end of digitized set
