id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,168,22,140,18
SENT,SENT,system,90,0,80,0
DRAFT,DRAFT,system,6,0,6,0
Lbl_Board,Board,user,30,5,25,4
Lbl_District,District,user,28,3,24,2
Lbl_Parents,Parents,user,40,8,35,6
Lbl_Staff,Staff,user,44,3,40,2
Lbl_7,Archive 7,user,9,3,9,0
Lbl_8,Archive 8,user,36,3,30,3
Lbl_9,Archive 9,user,25,4,6,4
Lbl_10,Archive 10,user,28,5,26,2
Lbl_11,Archive 11,user,27,2,1,2
Lbl_12,Archive 12,user,26,3,18,3
Lbl_13,Archive 13,user,11,3,27,0
Lbl_14,Archive 14,user,26,5,8,0
Lbl_15,Archive 15,user,23,5,10,1
Lbl_16,Archive 16,user,25,0,29,1
Lbl_17,Archive 17,user,32,1,11,0
Lbl_18,Archive 18,user,4,1,1,1
Lbl_19,Archive 19,user,24,0,27,2
Lbl_20,Archive 20,user,24,2,15,4
Lbl_21,Archive 21,user,38,0,1,4
Lbl_22,Archive 22,user,26,0,29,4
Lbl_23,Archive 23,user,20,3,30,1
Lbl_24,Archive 24,user,17,1,1,0
Lbl_25,Archive 25,user,37,2,17,4
Lbl_26,Archive 26,user,27,1,17,1
Lbl_27,Archive 27,user,26,1,8,3
Lbl_28,Archive 28,user,35,5,20,2
Lbl_29,Archive 29,user,1,4,11,2
Lbl_30,Archive 30,user,17,4,18,3
Lbl_31,Archive 31,user,4,1,22,3
Lbl_32,Archive 32,user,8,4,7,4
Lbl_33,Archive 33,user,1,2,11,2
Lbl_34,Archive 34,user,26,0,18,1
Lbl_35,Archive 35,user,14,0,20,0
Lbl_36,Archive 36,user,38,1,7,0
Lbl_37,Archive 37,user,16,1,26,4
Lbl_38,Archive 38,user,3,2,5,4
Lbl_39,Archive 39,user,1,4,8,2
Lbl_40,Archive 40,user,18,2,12,4
Lbl_41,Archive 41,user,22,5,25,0
Lbl_42,Archive 42,user,9,3,1,4
Lbl_43,Archive 43,user,31,5,19,4
Lbl_44,Archive 44,user,39,0,9,1
Lbl_45,Archive 45,user,28,2,5,3
Lbl_46,Archive 46,user,16,2,15,0
Lbl_47,Archive 47,user,31,0,29,1
Lbl_48,Archive 48,user,5,5,16,1
Lbl_49,Archive 49,user,25,4,3,3
Lbl_50,Archive 50,user,24,3,24,4
Lbl_51,Archive 51,user,3,4,27,0
Lbl_52,Archive 52,user,33,5,29,3
Lbl_53,Archive 53,user,28,0,23,2
Lbl_54,Archive 54,user,22,5,27,3
Lbl_55,Archive 55,user,36,3,6,2
Lbl_56,Archive 56,user,6,1,17,3
Lbl_57,Archive 57,user,10,3,22,1
Lbl_58,Archive 58,user,35,1,20,2
Lbl_59,Archive 59,user,19,5,9,3
Lbl_60,Archive 60,user,10,4,1,1
Lbl_61,Archive 61,user,17,5,23,1
Lbl_62,Archive 62,user,29,2,28,4
Lbl_63,Archive 63,user,28,0,19,4
Lbl_64,Archive 64,user,15,2,6,1
Lbl_65,Archive 65,user,24,0,27,0
Lbl_66,Archive 66,user,6,2,1,0
Lbl_67,Archive 67,user,25,2,20,0
Lbl_68,Archive 68,user,8,2,1,1
Lbl_69,Archive 69,user,12,3,15,3
Lbl_70,Archive 70,user,22,5,7,2
Lbl_71,Archive 71,user,20,5,19,2
Lbl_72,Archive 72,user,30,4,3,1
Lbl_73,Archive 73,user,35,4,1,3
Lbl_74,Archive 74,user,19,2,16,1
Lbl_75,Archive 75,user,23,1,9,3
Lbl_76,Archive 76,user,29,2,29,0
Lbl_77,Archive 77,user,27,1,12,4
Lbl_78,Archive 78,user,23,4,19,3
Lbl_79,Archive 79,user,2,5,3,3
Lbl_80,Archive 80,user,40,4,4,1
Lbl_81,Archive 81,user,20,3,1,1
Lbl_82,Archive 82,user,32,5,19,4
Lbl_83,Archive 83,user,28,3,27,0
Lbl_84,Archive 84,user,29,4,7,3
Lbl_85,Archive 85,user,25,3,13,3
Lbl_86,Archive 86,user,8,1,1,3
Lbl_87,Archive 87,user,19,1,30,3
Lbl_88,Archive 88,user,21,3,5,2
Lbl_89,Archive 89,user,19,1,20,3
Lbl_90,Archive 90,user,20,3,30,2
Lbl_91,Archive 91,user,10,3,16,0
Lbl_92,Archive 92,user,1,2,9,2
Lbl_93,Archive 93,user,15,4,7,2
Lbl_94,Archive 94,user,11,3,16,1
Lbl_95,Archive 95,user,19,0,16,0
Lbl_96,Archive 96,user,8,3,20,1
Lbl_97,Archive 97,user,32,5,18,0
Lbl_98,Archive 98,user,18,3,2,1
Lbl_99,Archive 99,user,35,1,27,4
Lbl_100,Archive 100,user,33,4,27,3
Lbl_101,Archive 101,user,14,5,5,2
Lbl_102,Archive 102,user,32,2,2,3
Lbl_103,Archive 103,user,22,5,14,0
Lbl_104,Archive 104,user,40,2,7,1
