Season	Wins	Losses	Win_Pct	Cumulative_W	Cumulative_L	Notes
2007	6	5	0.545	6	5	First season as head coach
2008	7	4	0.636	13	9	
2009	5	6	0.455	18	15	
2010	8	3	0.727	26	18	Playoff appearance
2011	11	2	0.846	37	20	Conference Champion
2012	7	5	0.583	44	25	
2013	7	4	0.636	51	29	
2014	5	7	0.417	56	36	
2015	8	3	0.727	64	39	Playoff appearance
2016	6	5	0.545	70	44	
2017	12	2	0.857	82	46	Conference Champion, State Semifinal
2018	8	3	0.727	90	49	
2019	5	7	0.417	95	56	
2020	4	5	0.444	99	61	COVID shortened season
2021	8	3	0.727	107	64	
2022	6	6	0.500	113	70	
2023	12	2	0.857	125	72	Conference Champion, State Semifinal
2024	8	3	0.727	133	75	Playoff appearance
2025	9	3	0.750	142	78	Playoff, lost Round 2 to Marion-Franklin
TOTAL	142	78	0.645	142	78	Westfield High School, 19 seasons as head coach
