order_id,order_date,item,qty,price,notes
IC-2025-0001,2025-11-20,12-lb turkey,1,24.0,2025 Thanksgiving pre-visit
IC-2025-0002,2025-11-20,3 lb sweet potatoes,1,4.2,
IC-2025-0003,2025-11-20,2 gal whole milk,1,5.99,
IC-2025-0004,2025-11-20,1 lb fresh cranberries,1,3.5,
IC-2025-0005,2025-11-20,5 lb flour,1,3.99,
IC-2025-0006,2025-11-20,2 cans pumpkin puree,1,5.98,
IC-2025-0007,2025-11-20,4 lb onions,1,4.5,
IC-2025-0008,2025-11-20,1 gal orange juice,1,4.99,
IC-2025-0009,2025-11-20,2 dozen eggs,1,7.98,
IC-2025-0010,2025-11-20,La Croix 12-pack,1,4.79,
IC-2025-0012,2025-11-24,3 lb sweet potatoes,1,4.2,
IC-2025-0013,2025-11-24,2 gal whole milk,1,5.99,
IC-2025-0014,2025-11-24,1 lb fresh cranberries,1,3.5,
IC-2025-0015,2025-11-24,5 lb flour,1,3.99,
IC-2025-0016,2025-11-24,2 cans pumpkin puree,1,5.98,
IC-2025-0017,2025-11-24,4 lb onions,1,4.5,
IC-2025-0018,2025-11-24,1 gal orange juice,1,4.99,
IC-2025-0019,2025-11-24,2 dozen eggs,1,7.98,
IC-2025-0020,2025-11-24,La Croix 12-pack,1,4.79,
IC-2025-0023,2025-11-25,2 gal whole milk,1,5.99,
IC-2025-0024,2025-11-25,1 lb fresh cranberries,1,3.5,
IC-2025-0030,2025-11-25,La Croix 12-pack,1,4.79,
IC-2025-0041,2025-08-14,Boneless chicken breast 2 lb,1,9.99,Wednesday regular grocery
IC-2025-0042,2025-08-14,Sweet potatoes 3 lb,1,4.2,
IC-2025-0043,2025-08-14,Baby spinach 8 oz,1,3.5,
IC-2025-0044,2025-08-14,Almond milk 64 oz,1,4.29,
IC-2025-0045,2025-08-14,Ginger root 1 lb,1,2.1,IBS flare-day prep
IC-2025-0046,2025-09-11,Wild-caught salmon fillet 1 lb,1,14.99,low-FODMAP week
IC-2025-0047,2025-09-11,Rice pasta 12 oz,2,3.99,
IC-2025-0048,2025-09-11,Cucumbers 3 count,1,2.79,
IC-2025-0049,2025-09-11,Blueberries 1 pint,1,4.49,
IC-2025-0050,2025-09-11,Bone broth quart,1,5.99,flare-day soup
IC-2025-0051,2025-10-16,Ground turkey 1 lb,1,6.99,fall regular
IC-2025-0052,2025-10-16,Kabocha squash 3 lb,1,4.99,low-FODMAP fall veg
IC-2025-0053,2025-10-16,Cranberry juice 32 oz,1,4.29,
IC-2025-0054,2025-10-16,Whole wheat sandwich bread,1,3.99,before Vivienne visit
IC-2025-0055,2025-10-16,English muffins pack of 6,1,3.29,
IC-2025-0056,2025-11-04,Chicken thighs 2 lb,1,8.99,pre-Thanksgiving stock
IC-2025-0057,2025-11-04,Butternut squash 3 lb,1,3.99,
IC-2025-0058,2025-11-04,Rice pasta 12 oz,1,3.99,flare-day pantry
IC-2025-0059,2025-11-04,IBgard 48 count,1,29.99,IBS med refill
IC-2025-0060,2025-11-04,Loperamide 24 tablets,1,8.99,
