receipt_id,date,item,qty,amount,notes
SQ-2025-0001,2025-12-06,infant beanie,1,24.0,
SQ-2025-0002,2025-12-06,toddler hat,1,28.0,
SQ-2025-0003,2025-12-06,adult hat,1,32.0,
SQ-2025-0004,2025-12-06,fingerless gloves,1,26.0,
SQ-2025-0005,2025-12-06,baby blanket,1,89.0,
SQ-2025-0006,2025-12-06,scarf,1,44.0,
SQ-2025-0007,2025-12-06,herb bundle,1,14.0,
SQ-2025-0008,2025-12-06,hand cream,1,12.5,
SQ-2025-0009,2025-12-06,candle,1,15.0,
SQ-2025-0010,2025-12-06,yarn skein,1,18.5,
SQ-2025-0011,2025-12-06,sock yarn,1,22.0,
SQ-2025-0012,2025-12-06,lavender sachet,1,8.0,
SQ-2025-0013,2025-12-07,infant beanie,1,24.0,small hats (infant beanie + toddler hat) sold out afternoon 12/7
SQ-2025-0014,2025-12-07,toddler hat,1,28.0,small hats sold out; missed 4-6 additional sales
SQ-2025-0015,2025-12-07,adult hat,1,32.0,
SQ-2025-0016,2025-12-07,fingerless gloves,1,26.0,
SQ-2025-0017,2025-12-07,baby blanket,1,89.0,
SQ-2025-0018,2025-12-07,scarf,1,44.0,
SQ-2025-0019,2025-12-07,herb bundle,1,14.0,
SQ-2025-0020,2025-12-07,hand cream,1,12.5,
SQ-2025-0021,2025-12-07,candle,1,15.0,
SQ-2025-0022,2025-12-07,yarn skein,1,18.5,
SQ-2025-0023,2025-12-07,sock yarn,1,22.0,
SQ-2025-0024,2025-12-07,lavender sachet,1,8.0,
