item	qty	category	source	est_usd
Lacinato kale	2 bunches	produce	Hollywood farmers market	6.00
Heirloom beans, dry	1 lb	pantry	Hollywood farmers market	5.50
Farro	1 lb	grain	market	4.00
Lemons	6	produce	farmers market	3.00
Tahini	1 jar	pantry	grocery	7.50
Eggs, pasture	1 dozen	protein	farmers market	7.00
Chicken thighs	1.5 lb	protein	grocery	9.00
Olive oil	1 bottle	pantry	grocery	12.00
Coffee beans, single origin	12 oz	pantry	roaster	18.00
Natural wine, bottle	1	other	wine shop	22.00
Weekly total				94.00
