id,title,overview,release_date,vote_average,vote_count,genre_ids,popularity,original_language
mv_0000,Movie 0,Overview 0,2024-05-16,3.9,6685,178157276.0,en,"28,12"
mv_0001,Movie 1,Overview 1,2022-09-27,4.2,4795,342941958.0,en,"28,12"
mv_0002,Movie 2,Overview 2,2021-11-20,2.7,1632,289815760.0,en,"28,12"
mv_0003,Movie 3,Overview 3,2021-01-27,7.7,8804,301884755.0,en,"28,12"
mv_0004,Movie 4,Overview 4,2026-06-28,7.6,3100,319747658.0,en,"28,12"
mv_0005,Movie 5,Overview 5,2024-10-21,5.8,9835,62728312.0,en,"28,12"
mv_0006,Movie 6,Overview 6,2021-07-10,2.3,4788,253883392.0,en,"28,12"
mv_0007,Movie 7,Overview 7,2020-11-28,4.9,1915,191895502.0,en,"28,12"
mv_0008,Movie 8,Overview 8,2020-10-28,4.8,2161,176984762.0,en,"28,12"
mv_0009,Movie 9,Overview 9,2024-06-15,7.8,8679,131823450.0,en,"28,12"
mv_0010,Movie 10,Overview 10,2025-01-19,7.1,8964,168825789.0,en,"28,12"
mv_0011,Movie 11,Overview 11,2023-01-23,5.4,3169,266703006.0,en,"28,12"
mv_0012,Movie 12,Overview 12,2023-09-19,8.5,3725,306255517.0,en,"28,12"
mv_0013,Movie 13,Overview 13,2024-02-23,1.1,2824,295619304.0,en,"28,12"
mv_0014,Movie 14,Overview 14,2020-04-13,2.6,1877,185788875.0,en,"28,12"
mv_0015,Movie 15,Overview 15,2020-03-21,5.7,1052,90879644.0,en,"28,12"
mv_0016,Movie 16,Overview 16,2023-12-15,7.7,1727,309934604.0,en,"28,12"
mv_0017,Movie 17,Overview 17,2025-09-05,2.4,8503,381804384.0,en,"28,12"
mv_0018,Movie 18,Overview 18,2020-07-16,8.8,8480,373536687.0,en,"28,12"
mv_0019,Movie 19,Overview 19,2022-10-08,1.8,6021,46265718.0,en,"28,12"
mv_0020,Movie 20,Overview 20,2021-07-12,1.9,6408,203806112.0,en,"28,12"
mv_0021,Movie 21,Overview 21,2022-09-01,3.4,5808,320503966.0,en,"28,12"
mv_0022,Movie 22,Overview 22,2023-02-23,8.7,7410,421974249.0,en,"28,12"
mv_0023,Movie 23,Overview 23,2020-04-19,2.0,9382,8641096.0,en,"28,12"
mv_0024,Movie 24,Overview 24,2021-11-19,8.4,7259,386322201.0,en,"28,12"
mv_0025,Movie 25,Overview 25,2024-03-31,9.0,2842,3678374.0,en,"28,12"
mv_0026,Movie 26,Overview 26,2023-09-01,8.6,9457,262541474.0,en,"28,12"
mv_0027,Movie 27,Overview 27,2022-07-22,7.3,98,157517570.0,en,"28,12"
mv_0028,Movie 28,Overview 28,2022-05-07,6.8,636,175441759.0,en,"28,12"
mv_0029,Movie 29,Overview 29,2023-02-01,6.5,1583,15622483.0,en,"28,12"
mv_0030,Movie 30,Overview 30,2020-07-30,1.9,3050,340590359.0,en,"28,12"
mv_0031,Movie 31,Overview 31,2020-08-08,9.0,332,25980268.0,en,"28,12"
mv_0032,Movie 32,Overview 32,2025-05-12,4.4,8224,280748309.0,en,"28,12"
mv_0033,Movie 33,Overview 33,2020-09-26,7.6,5572,164226022.0,en,"28,12"
mv_0034,Movie 34,Overview 34,2022-05-19,4.6,8911,498354277.0,en,"28,12"
mv_0035,Movie 35,Overview 35,2022-01-01,2.7,7827,142781086.0,en,"28,12"
mv_0036,Movie 36,Overview 36,2020-11-09,8.9,9163,493161507.0,en,"28,12"
mv_0037,Movie 37,Overview 37,2022-07-12,1.7,6319,337089427.0,en,"28,12"
mv_0038,Movie 38,Overview 38,2021-03-03,4.3,9826,156748256.0,en,"28,12"
mv_0039,Movie 39,Overview 39,2023-12-21,3.2,2637,222854866.0,en,"28,12"
mv_0040,Movie 40,Overview 40,2026-01-01,8.9,3690,146568488.0,en,"28,12"
mv_0041,Movie 41,Overview 41,2020-02-12,3.5,3054,380056682.0,en,"28,12"
mv_0042,Movie 42,Overview 42,2025-05-14,9.2,9426,184308224.0,en,"28,12"
mv_0043,Movie 43,Overview 43,2022-02-21,2.2,8505,337130659.0,en,"28,12"
mv_0044,Movie 44,Overview 44,2021-04-22,9.4,9071,367211576.0,en,"28,12"
mv_0045,Movie 45,Overview 45,2025-02-07,2.9,7309,146725640.0,en,"28,12"
mv_0046,Movie 46,Overview 46,2024-02-20,9.0,2083,15953174.0,en,"28,12"
mv_0047,Movie 47,Overview 47,2023-12-18,6.6,5553,24694812.0,en,"28,12"
mv_0048,Movie 48,Overview 48,2024-01-10,9.4,494,449419150.0,en,"28,12"
mv_0049,Movie 49,Overview 49,2025-07-17,5.4,4422,290247461.0,en,"28,12"
mv_0050,Movie 50,Overview 50,2023-12-07,4.9,3375,410318643.0,en,"28,12"
mv_0051,Movie 51,Overview 51,2023-12-27,6.1,3141,344912212.0,en,"28,12"
mv_0052,Movie 52,Overview 52,2021-10-08,6.0,2149,300560179.0,en,"28,12"
mv_0053,Movie 53,Overview 53,2023-06-19,6.6,4947,214995285.0,en,"28,12"
mv_0054,Movie 54,Overview 54,2020-07-09,4.3,1593,30734055.0,en,"28,12"
