movie_id,person_id,credit_type,character,job,order
mv_0047,pp_0046,crew,Character 0,Director,0
mv_0055,pp_0020,crew,Character 1,Director,1
mv_0085,pp_0012,cast,Character 2,Producer,2
mv_0006,pp_0101,crew,Character 3,Producer,3
mv_0130,pp_0130,cast,Character 4,Director,4
mv_0076,pp_0122,crew,Character 5,Producer,5
mv_0145,pp_0008,cast,Character 6,Director,6
mv_0087,pp_0139,cast,Character 7,Director,7
mv_0063,pp_0013,crew,Character 8,Producer,8
mv_0130,pp_0147,crew,Character 9,Director,9
mv_0087,pp_0088,crew,Character 10,Director,10
mv_0095,pp_0086,crew,Character 11,Director,11
mv_0122,pp_0137,crew,Character 12,Director,12
mv_0106,pp_0053,crew,Character 13,,13
mv_0013,pp_0032,crew,Character 14,Producer,14
mv_0068,pp_0034,crew,Character 15,Director,15
mv_0002,pp_0072,crew,Character 16,,16
mv_0137,pp_0092,cast,Character 17,Director,17
mv_0075,pp_0097,cast,Character 18,Producer,18
mv_0002,pp_0044,cast,Character 19,Director,19
mv_0094,pp_0116,crew,Character 20,,20
mv_0133,pp_0045,cast,Character 21,Director,21
mv_0009,pp_0020,crew,Character 22,Producer,22
mv_0031,pp_0052,crew,Character 23,Producer,23
mv_0139,pp_0053,cast,Character 24,Producer,24
mv_0136,pp_0030,cast,Character 25,,25
mv_0143,pp_0060,crew,Character 26,Director,26
mv_0015,pp_0116,cast,Character 27,,27
mv_0031,pp_0133,crew,Character 28,Producer,28
mv_0099,pp_0117,cast,Character 29,,29
mv_0034,pp_0067,cast,Character 30,Producer,30
mv_0089,pp_0145,crew,Character 31,Director,31
mv_0056,pp_0149,crew,Character 32,Director,32
mv_0117,pp_0019,crew,Character 33,Director,33
mv_0136,pp_0002,cast,Character 34,Director,34
mv_0038,pp_0125,cast,Character 35,,35
mv_0091,pp_0038,crew,Character 36,Director,36
mv_0113,pp_0060,crew,Character 37,,37
mv_0144,pp_0033,crew,Character 38,,38
mv_0116,pp_0035,crew,Character 39,Director,39
mv_0054,pp_0022,cast,Character 40,Producer,40
mv_0067,pp_0149,crew,Character 41,Director,41
mv_0016,pp_0128,cast,Character 42,,42
mv_0123,pp_0022,crew,Character 43,Director,43
mv_0149,pp_0037,crew,Character 44,,44
mv_0091,pp_0099,cast,Character 45,Producer,45
