id,name,overview,first_air_date,vote_average,vote_count,genre_ids,popularity,number_of_seasons,number_of_episodes
tv_0000,TV Show 0,Overview 0,2022-11-01,,3.9,1980,Returning Series,2,75
tv_0001,TV Show 1,Overview 1,2025-05-04,,9.6,1958,Returning Series,9,162
tv_0002,TV Show 2,Overview 2,2025-08-12,,1.0,2303,Returning Series,8,45
tv_0003,TV Show 3,Overview 3,2022-02-22,,5.6,3193,Returning Series,6,83
tv_0004,TV Show 4,Overview 4,2021-04-25,,1.8,2142,Ended,4,58
tv_0005,TV Show 5,Overview 5,2022-02-24,,1.6,1649,Ended,10,181
tv_0006,TV Show 6,Overview 6,2026-01-15,,1.7,1747,Ended,2,25
tv_0007,TV Show 7,Overview 7,2026-06-20,,5.2,659,Returning Series,5,114
tv_0008,TV Show 8,Overview 8,2026-03-11,,9.8,2888,Returning Series,7,193
tv_0009,TV Show 9,Overview 9,2026-07-13,,9.5,4359,Returning Series,4,147
tv_0010,TV Show 10,Overview 10,2025-04-18,,4.6,1143,Ended,1,9
tv_0011,TV Show 11,Overview 11,2020-08-01,,5.5,333,Ended,7,31
tv_0012,TV Show 12,Overview 12,2022-11-14,,9.9,4620,Ended,1,167
tv_0013,TV Show 13,Overview 13,2025-04-15,,8.4,789,Returning Series,5,136
tv_0014,TV Show 14,Overview 14,2021-01-11,,1.2,3987,Ended,7,148
tv_0015,TV Show 15,Overview 15,2020-01-03,,1.6,3953,Returning Series,1,180
tv_0016,TV Show 16,Overview 16,2020-02-03,,3.2,3829,Returning Series,7,122
tv_0017,TV Show 17,Overview 17,2021-02-26,,9.0,1121,Returning Series,5,54
tv_0018,TV Show 18,Overview 18,2020-12-18,,2.5,1231,Returning Series,1,60
tv_0019,TV Show 19,Overview 19,2025-08-16,,7.9,4733,Ended,8,130
tv_0020,TV Show 20,Overview 20,2023-01-01,,6.4,854,Ended,10,107
tv_0021,TV Show 21,Overview 21,2023-04-23,,5.9,2366,Ended,4,5
tv_0022,TV Show 22,Overview 22,2026-08-21,,5.4,302,Returning Series,3,3
tv_0023,TV Show 23,Overview 23,2021-01-03,,6.9,905,Returning Series,2,200
tv_0024,TV Show 24,Overview 24,2024-10-07,,2.5,3158,Ended,8,126
tv_0025,TV Show 25,Overview 25,2025-12-21,,7.3,3305,Returning Series,7,65
tv_0026,TV Show 26,Overview 26,2023-03-07,,8.8,715,Ended,6,50
tv_0027,TV Show 27,Overview 27,2023-02-25,,9.7,3926,Ended,9,137
tv_0028,TV Show 28,Overview 28,2024-06-28,,9.7,2098,Ended,9,181
