id,name,known_for_department,gender,popularity
pp_0000,Person 0,Directing,72.3,0
pp_0001,Person 1,Directing,26.0,0
pp_0002,Person 2,Acting,67.0,0
pp_0003,Person 3,Acting,62.2,2
pp_0004,Person 4,Acting,9.4,1
pp_0005,Person 5,Acting,5.5,0
pp_0006,Person 6,Acting,10.8,0
pp_0007,Person 7,Acting,52.5,1
pp_0008,Person 8,Acting,76.7,2
pp_0009,Person 9,Directing,52.5,2
pp_0010,Person 10,Acting,77.4,2
pp_0011,Person 11,Acting,39.1,2
pp_0012,Person 12,Acting,89.8,1
pp_0013,Person 13,Acting,47.7,1
pp_0014,Person 14,Acting,98.0,0
pp_0015,Person 15,Directing,19.8,1
pp_0016,Person 16,Acting,43.6,2
pp_0017,Person 17,Directing,73.3,2
pp_0018,Person 18,Acting,63.6,1
pp_0019,Person 19,Directing,90.3,2
pp_0020,Person 20,Directing,24.7,1
pp_0021,Person 21,Acting,55.6,2
pp_0022,Person 22,Acting,14.3,2
pp_0023,Person 23,Directing,61.0,2
pp_0024,Person 24,Directing,55.5,2
pp_0025,Person 25,Acting,29.0,1
pp_0026,Person 26,Directing,42.0,2
pp_0027,Person 27,Acting,81.7,1
pp_0028,Person 28,Acting,14.7,1
pp_0029,Person 29,Directing,74.4,2
pp_0030,Person 30,Directing,74.9,1
pp_0031,Person 31,Acting,37.7,0
pp_0032,Person 32,Acting,64.2,1
pp_0033,Person 33,Acting,33.0,2
pp_0034,Person 34,Directing,89.3,2
pp_0035,Person 35,Acting,36.5,1
pp_0036,Person 36,Directing,57.8,2
pp_0037,Person 37,Directing,97.8,1
pp_0038,Person 38,Directing,63.7,1
pp_0039,Person 39,Directing,56.9,0
pp_0040,Person 40,Directing,40.5,1
pp_0041,Person 41,Directing,62.6,2
pp_0042,Person 42,Acting,87.5,2
pp_0043,Person 43,Acting,49.4,2
pp_0044,Person 44,Directing,93.8,2
pp_0045,Person 45,Acting,97.4,0
pp_0046,Person 46,Directing,79.6,1
pp_0047,Person 47,Acting,93.8,0
pp_0048,Person 48,Acting,85.5,2
pp_0049,Person 49,Acting,73.7,0
pp_0050,Person 50,Directing,40.6,0
pp_0051,Person 51,Directing,63.4,0
pp_0052,Person 52,Acting,43.7,1
pp_0053,Person 53,Directing,24.6,2
pp_0054,Person 54,Acting,24.6,2
pp_0055,Person 55,Acting,92.4,1
pp_0056,Person 56,Acting,13.5,2
pp_0057,Person 57,Directing,72.5,1
pp_0058,Person 58,Directing,88.6,1
pp_0059,Person 59,Directing,77.4,0
pp_0060,Person 60,Directing,61.1,1
pp_0061,Person 61,Directing,95.7,1
pp_0062,Person 62,Acting,34.4,2
pp_0063,Person 63,Acting,41.3,2
pp_0064,Person 64,Acting,72.1,2
pp_0065,Person 65,Directing,51.9,2
pp_0066,Person 66,Directing,62.6,2
pp_0067,Person 67,Directing,59.6,1
pp_0068,Person 68,Directing,12.7,0
pp_0069,Person 69,Directing,36.9,1
pp_0070,Person 70,Directing,66.1,2
pp_0071,Person 71,Directing,57.1,1
pp_0072,Person 72,Acting,34.3,1
