date	client	task	hours	rate_usd	billable
2026-01-08	Pinnacle Collective	Logo concept route A	8.0	75	yes
2026-01-09	Pinnacle Collective	Logo concept routes B and C	9.0	75	yes
2026-01-12	Pinnacle Collective	Concept presentation prep	5.0	75	yes
2026-01-13	Pinnacle Collective	Client review and notes	4.0	75	yes
2026-01-15	Pinnacle Collective	Revision round 1	7.0	75	yes
2026-01-19	Pinnacle Collective	Revision round 2	7.0	75	yes
2026-01-20	Pinnacle Collective	Signage layout	9.0	75	yes
2026-01-22	Pinnacle Collective	Signage layout refinement	3.0	75	yes
2026-01-26	Pinnacle Collective	Signage print specs	6.0	75	yes
2026-01-27	Pinnacle Collective	Brand asset handoff	8.0	75	yes
2026-01-27	Pinnacle Collective	Brand style sheet	4.0	75	yes
2026-02-04	Verdant Provisions	Discovery and audit	5.0	75	yes
2026-02-06	Verdant Provisions	Mood board	4.5	75	yes
2026-02-11	Verdant Provisions	Color system	6.0	75	yes
2026-02-12	Bloom Skin Co	Spring label revisions	5.5	75	yes
2026-02-13	Bloom Skin Co	Print ready export	3.0	75	yes
