Service	Category	DurationMin	MainStreet	OrchardPlaza	Wheaton
Express Manicure	Manicure	20	30.00	28.00	30.00
Classic Manicure	Manicure	30	35.00	32.00	35.00
Gel Manicure	Manicure	45	45.00	42.00	45.00
Spa Pedicure	Pedicure	50	55.00	52.00	55.00
Express Pedicure	Pedicure	30	40.00	38.00	40.00
Full Set Acrylic	Enhancements	75	65.00	62.00	65.00
Acrylic Fill	Enhancements	45	40.00	38.00	40.00
Dip Powder	Enhancements	60	60.00	58.00	60.00
Nail Art (per nail)	Add On	5	4.00	4.00	4.00
Paraffin Treatment	Add On	15	12.00	12.00	12.00
Waxing (Brow)	Esthetics	15	0.00	0.00	18.00
Lash Extensions (Full)	Esthetics	90	0.00	0.00	120.00
