id,candidate_id,job_id,status,current_stage,applied_at,last_activity_at
app-4001,cand-7001,job-3001,active,Application Review,2026-04-02T10:05:00Z,2026-04-03T09:00:00Z
app-4002,cand-7005,job-3001,active,Interview,2026-04-15T08:25:00Z,2026-04-20T11:00:00Z
app-4003,cand-7002,job-3002,active,Interview,2026-04-05T11:35:00Z,2026-04-18T15:30:00Z
app-4004,cand-7003,job-3003,active,Offer,2026-04-09T09:20:00Z,2026-04-25T10:00:00Z
app-4005,cand-7007,job-3003,active,Application Review,2026-04-22T13:15:00Z,2026-04-23T08:00:00Z
app-4006,cand-7004,job-3004,active,Interview,2026-04-12T14:50:00Z,2026-04-21T09:30:00Z
app-4007,cand-7006,job-3005,active,Application Review,2026-04-18T16:05:00Z,2026-04-19T10:00:00Z
app-4008,cand-7008,job-3006,rejected,Interview,2026-02-01T10:00:00Z,2026-03-15T12:00:00Z
app-4009,cand-7008,job-3005,active,Interview,2026-07-26T17:01:40Z,2025-05-04T07:45:36Z
app-4010,cand-7003,job-3001,active,Offer,2024-06-06T19:11:05Z,2025-01-16T08:25:22Z
app-4011,cand-7001,job-3003,active,Application Review,2024-08-16T16:53:02Z,2026-02-24T19:17:37Z
app-4012,cand-7006,job-3001,active,Offer,2024-11-05T09:14:53Z,2026-09-22T06:18:51Z
app-4013,cand-7002,job-3001,active,Application Review,2024-12-23T16:37:14Z,2026-01-30T15:45:50Z
app-4014,cand-7001,job-3003,rejected,Application Review,2025-07-10T16:52:13Z,2026-06-03T07:21:30Z
app-4015,cand-7005,job-3003,active,Interview,2026-01-12T15:48:20Z,2026-07-18T06:30:51Z
app-4016,cand-7006,job-3003,active,Application Review,2024-11-07T19:05:42Z,2024-12-27T11:06:23Z
app-4017,cand-7005,job-3003,active,Application Review,2026-06-14T14:29:31Z,2026-03-09T18:18:33Z
app-4018,cand-7007,job-3003,rejected,Application Review,2025-02-14T15:59:21Z,2026-05-12T12:18:54Z
app-4019,cand-7008,job-3001,active,Interview,2026-02-24T16:48:30Z,2026-06-11T08:09:31Z
