id,doorbot_id,device_id,kind,created_at,answered,favorite,recording_status,snapshot_url,duration_seconds,cv_properties
rng_001,db_001,dev_001,motion,2026-09-30T02:15:00-04:00,False,False,ready,,30,person_detected
rng_002,db_001,dev_001,motion,2026-09-29T03:45:00-04:00,False,False,ready,,25,person_detected
rng_003,db_001,dev_001,ding,2026-09-30T11:00:00-04:00,True,False,ready,,15,
rng_004,db_001,dev_001,motion,2026-09-28T23:30:00-04:00,False,False,ready,,20,vehicle_detected
rng_0100,db_001,dev_001,motion,2026-09-19T19:10:00-04:00,True,False,ready,,24,vehicle_detected
rng_0101,db_001,dev_001,motion,2026-09-09T15:51:00-04:00,False,False,ready,,14,vehicle_detected
rng_0102,db_001,dev_001,ding,2026-09-23T02:23:00-04:00,False,False,ready,,55,
rng_0103,db_001,dev_001,ding,2026-09-01T23:24:00-04:00,False,False,ready,,33,animal_detected
rng_0104,db_001,dev_001,motion,2026-09-26T20:04:00-04:00,False,False,ready,,18,animal_detected
rng_0105,db_001,dev_001,ding,2026-09-23T21:11:00-04:00,True,False,ready,,48,vehicle_detected
rng_0106,db_001,dev_001,ding,2026-09-03T18:25:00-04:00,True,False,ready,,12,
rng_0107,db_001,dev_001,ding,2026-09-30T02:26:00-04:00,False,False,ready,,60,vehicle_detected
rng_0108,db_001,dev_001,ding,2026-09-10T09:14:00-04:00,True,False,ready,,35,person_detected
rng_0109,db_001,dev_001,ding,2026-09-07T15:09:00-04:00,True,False,ready,,47,
rng_0110,db_001,dev_001,motion,2026-09-28T03:22:00-04:00,False,False,ready,,51,
rng_0111,db_001,dev_001,ding,2026-09-21T03:09:00-04:00,False,False,ready,,46,vehicle_detected
rng_0112,db_001,dev_001,motion,2026-09-17T03:32:00-04:00,False,False,ready,,42,person_detected
rng_0113,db_001,dev_001,ding,2026-09-30T14:11:00-04:00,True,False,ready,,43,person_detected
rng_0114,db_001,dev_001,motion,2026-09-29T11:20:00-04:00,True,False,ready,,41,
rng_0115,db_001,dev_001,motion,2026-09-30T17:40:00-04:00,True,False,ready,,18,vehicle_detected
rng_0116,db_001,dev_001,ding,2026-09-28T13:37:00-04:00,True,False,ready,,30,vehicle_detected
rng_0117,db_001,dev_001,ding,2026-09-12T20:06:00-04:00,False,False,ready,,24,
rng_0118,db_001,dev_001,ding,2026-09-21T20:15:00-04:00,True,False,ready,,47,person_detected
rng_0119,db_001,dev_001,ding,2026-09-12T02:21:00-04:00,False,False,ready,,18,
rng_0120,db_001,dev_001,ding,2026-09-19T23:29:00-04:00,True,False,ready,,12,animal_detected
rng_0121,db_001,dev_001,ding,2026-09-14T00:54:00-04:00,False,False,ready,,54,
rng_0122,db_001,dev_001,motion,2026-09-22T11:31:00-04:00,True,False,ready,,52,person_detected
rng_0123,db_001,dev_001,motion,2026-09-11T06:11:00-04:00,False,False,ready,,36,person_detected
rng_0124,db_001,dev_001,ding,2026-09-16T01:09:00-04:00,True,False,ready,,46,vehicle_detected
rng_0125,db_001,dev_001,motion,2026-09-20T13:23:00-04:00,False,False,ready,,53,vehicle_detected
rng_0126,db_001,dev_001,ding,2026-09-07T11:35:00-04:00,False,False,ready,,42,
rng_0127,db_001,dev_001,ding,2026-09-18T02:39:00-04:00,True,False,ready,,26,vehicle_detected
rng_0128,db_001,dev_001,ding,2026-09-16T23:10:00-04:00,True,False,ready,,22,person_detected
rng_0129,db_001,dev_001,ding,2026-09-02T00:25:00-04:00,True,False,ready,,34,animal_detected
rng_0130,db_001,dev_001,motion,2026-09-27T19:21:00-04:00,False,False,ready,,31,vehicle_detected
rng_0131,db_001,dev_001,ding,2026-09-25T18:26:00-04:00,False,False,ready,,45,
rng_0132,db_001,dev_001,ding,2026-09-12T02:09:00-04:00,True,False,ready,,24,vehicle_detected
rng_0133,db_001,dev_001,motion,2026-09-09T05:58:00-04:00,False,False,ready,,38,vehicle_detected
rng_0134,db_001,dev_001,ding,2026-09-02T22:31:00-04:00,False,False,ready,,27,
rng_0135,db_001,dev_001,ding,2026-09-15T16:43:00-04:00,True,False,ready,,25,
