Task	Category	Deadline	Status	Notes_from_Eric
Research college options - make a list of 6 to 8 schools	Exploration	Oct 2026	Not started	Start with schools in Illinois. Check Lakeview. Also look at UIC and U of I. A few out of state too for reach.
Take PSAT (if still available) or full SAT	Test Prep	Oct 2026 SAT date	Not started	Check collegeboard.org for test dates. Register early - they fill up.
Talk to school counselor about college process	Guidance	Start of junior year	Not started	They have a checklist and know your school's deadlines. Do not wait for them to find you.
Request letters of recommendation	Recommendations	Oct 2026	Not started	Ask two teachers who actually know your work. Give them a note with your accomplishments. Give them time.
Create FSA ID for FAFSA	Financial Aid	Oct 2026	Not started	Go to studentaid.gov. You need your own FSA ID and Mom or Dad needs one too. Do this before October 1.
File FAFSA	Financial Aid	Oct 1, 2026 (opens)	Not started	File as early as October 1. Do not wait. Mom and Dad will need 2025 tax info. I will help you walk through this.
Research Illinois MAP Grant eligibility	Financial Aid	Oct 1, 2026	Not started	Illinois gives grant money to in-state students with financial need. Filing FAFSA early is how you get it.
Apply for local scholarships	Scholarships	Varies - start researching now	Not started	Ask counselor for a list. Cicero has community organizations that give money. Also check firstgenerationscholarships.org
Make Common App account	Applications	Oct 2026	Not started	commonapp.org - free to make, cheap to apply. Most schools use it.
Write personal statement draft	Applications	Nov 2026 first draft	Not started	Pick ONE specific story. Not a list of everything you have done. I will read drafts.
Complete individual school supplements	Applications	Dec 2026 / Jan 2027	Not started	Each school has short extra essays. Take them seriously.
Submit Early Action applications (if applicable)	Applications	Nov 1 - Nov 15, 2026	Not started	Non-binding. Almost always worth doing. Shows schools you care.
Submit Regular Decision applications	Applications	Jan 1 - Jan 15, 2027	Not started	Deadline varies. Use your tracking spreadsheet.
Check application status and portals	Applications	Rolling after submission	Not started	Most schools send a login to a portal after you apply. Check it. Reply to any requests immediately.
Compare financial aid offers	Decision	Mar - Apr 2027 (letters come)	Not started	Look at total cost after aid, not just sticker price. We will go through this together.
Make final decision and send deposit	Decision	May 1, 2027 (National Decision Day)	Not started	Deadline is May 1 every year. After that you lose your spot.
Inform other schools (decline offers)	Decision	May 1, 2027	Not started	Be polite and do it quickly. Other students are waiting.
Sign up for summer orientation	Transition	Summer 2027 after committing	Not started	Most schools require it. Register as soon as the link opens.
Apply for on-campus housing if desired	Transition	Spring 2027 after committing	Not started	Fills up fast. Act immediately after depositing.
Look into first-gen student resources at target schools	Ongoing	During research phase	Not started	Ask admissions if they have a first-gen program. Lakeview has one. Most good schools do now.
Talk to Eric whenever you have questions	Ongoing	Anytime	Ongoing	I am serious. Text me. I will answer. This is what big brothers are for.
