listing_id,title,city,country,room_type,price_per_night,cleaning_fee,beds,baths,max_guests,rating,review_count,host_id,instant_book
abl_0000,Property 0,Description,Private room,50,92,Tarpon Springs,FL,28.208,-82.8246,4,3,5,4.66
abl_0001,Property 1,Description,Entire home,299,30,Dunedin,FL,28.112,-82.7929,4,3,6,4.66
abl_0002,Property 2,Description,Private room,189,72,Clearwater,FL,28.153,-82.7995,3,2,8,3.87
abl_0003,Property 3,Description,Private room,77,29,Dunedin,FL,28.1174,-82.7694,2,1,5,3.54
abl_0004,Property 4,Description,Entire home,70,39,Clearwater,FL,28.1115,-82.8295,1,1,3,4.58
abl_0005,Property 5,Description,Entire home,112,56,Tarpon Springs,FL,28.2276,-82.7965,2,2,6,4.08
abl_0006,Property 6,Description,Entire home,107,52,Tarpon Springs,FL,28.0942,-82.767,4,2,8,4.11
abl_0007,Property 7,Description,Entire home,229,59,Clearwater,FL,28.1021,-82.7406,1,1,6,5.0
abl_0008,Property 8,Description,Entire home,237,42,Tarpon Springs,FL,28.2071,-82.8577,4,2,7,4.58
abl_0009,Property 9,Description,Entire home,140,85,Dunedin,FL,28.0541,-82.677,4,2,6,3.91
abl_0010,Property 10,Description,Private room,243,92,Tarpon Springs,FL,28.1081,-82.8599,3,3,6,4.24
abl_0011,Property 11,Description,Private room,225,74,Tarpon Springs,FL,28.1577,-82.8216,2,2,8,4.13
abl_0012,Property 12,Description,Private room,268,29,Tarpon Springs,FL,28.043,-82.7854,2,3,4,3.97
abl_0013,Property 13,Description,Entire home,119,25,Clearwater,FL,28.0889,-82.7944,3,2,4,3.99
abl_0014,Property 14,Description,Private room,279,58,Dunedin,FL,28.2118,-82.7931,4,2,2,4.27
abl_0015,Property 15,Description,Private room,267,42,Clearwater,FL,28.1608,-82.8588,2,2,2,4.74
abl_0016,Property 16,Description,Private room,167,83,Clearwater,FL,28.2357,-82.7229,3,2,7,4.76
abl_0017,Property 17,Description,Private room,110,60,Clearwater,FL,28.0428,-82.8139,2,2,8,4.77
abl_0018,Property 18,Description,Private room,245,66,Tarpon Springs,FL,28.1546,-82.8122,3,3,3,3.53
abl_0019,Property 19,Description,Entire home,222,54,Clearwater,FL,28.0417,-82.7103,2,1,7,4.73
abl_0020,Property 20,Description,Entire home,68,69,Dunedin,FL,28.1377,-82.851,3,1,3,3.79
abl_0021,Property 21,Description,Entire home,292,32,Dunedin,FL,28.14,-82.7503,2,1,5,4.41
abl_0022,Property 22,Description,Private room,62,28,Clearwater,FL,28.1168,-82.679,1,3,5,4.19
abl_0023,Property 23,Description,Entire home,284,91,Clearwater,FL,28.2189,-82.8514,4,2,2,4.75
abl_0024,Property 24,Description,Entire home,193,54,Dunedin,FL,28.1108,-82.8281,1,1,6,3.82
abl_0025,Property 25,Description,Entire home,244,82,Tarpon Springs,FL,28.1454,-82.802,4,1,2,4.99
abl_0026,Property 26,Description,Entire home,249,79,Tarpon Springs,FL,28.1096,-82.847,1,2,3,3.63
abl_0027,Property 27,Description,Private room,284,86,Dunedin,FL,28.1006,-82.8559,2,1,8,4.29
abl_0028,Property 28,Description,Entire home,177,86,Tarpon Springs,FL,28.0486,-82.7678,1,3,4,3.64
abl_0029,Property 29,Description,Private room,219,82,Clearwater,FL,28.1931,-82.7382,2,2,4,4.71
abl_0030,Property 30,Description,Private room,223,73,Clearwater,FL,28.0551,-82.8293,4,2,7,3.9
abl_0031,Property 31,Description,Private room,131,44,Dunedin,FL,28.1333,-82.8035,1,1,8,3.67
abl_0032,Property 32,Description,Entire home,220,37,Tarpon Springs,FL,28.1989,-82.721,3,3,4,4.29
abl_0033,Property 33,Description,Private room,63,26,Dunedin,FL,28.0796,-82.7296,2,2,6,4.79
abl_0034,Property 34,Description,Private room,223,37,Tarpon Springs,FL,28.0822,-82.6621,1,2,3,4.49
abl_0035,Property 35,Description,Entire home,165,95,Dunedin,FL,28.2231,-82.7799,2,2,7,3.72
abl_0036,Property 36,Description,Private room,220,63,Dunedin,FL,28.0824,-82.7777,1,2,4,4.99
