Category	Budgeted	Actual	Difference
Mortgage	2400.00	2400.00	0.00
Property Tax Escrow	520.00	520.00	0.00
Homeowner's Insurance	165.00	165.00	0.00
Groceries	850.00	823.47	26.53
Utilities	330.00	348.12	-18.12
Patricia Car Payment	420.00	420.00	0.00
Car Insurance (2 vehicles)	240.00	240.00	0.00
Gas	200.00	178.35	21.65
Marcus Jr. Activities	120.00	120.00	0.00
Health Insurance	280.00	280.00	0.00
Savings Transfer (HYSA)	800.00	800.00	0.00
Student Loan (Nelnet)	165.00	165.00	0.00
Streaming Services	45.00	45.00	0.00
Phone (2 lines)	140.00	140.00	0.00
Internet	85.00	85.00	0.00
Dining Out	150.00	127.50	22.50
Miscellaneous	200.00	163.20	36.80
			
TOTAL	7110.00	7020.64	89.36
