Market_Date	Jars_1lb	Jars_8oz	Comb_Sections	Beeswax_Bars	Cash_Sales	Card_Sales	Day_Total
2025-04-12	10	8	2	4	188.00	80.00	268.00
2025-04-26	12	6	3	3	204.00	87.00	291.00
2025-05-10	14	9	4	5	262.00	113.00	375.00
2025-05-31	18	12	5	6	336.00	144.00	480.00
2025-06-14	16	10	4	4	283.00	121.00	404.00
2025-06-28	13	8	3	5	234.00	101.00	335.00
2025-07-12	11	7	2	3	187.00	80.00	267.00
2025-07-26	9	6	2	4	167.00	71.00	238.00
2025-08-16	20	14	6	7	384.00	165.00	549.00
2025-08-30	17	11	5	5	316.00	135.00	451.00
2025-09-13	12	8	3	4	220.00	94.00	314.00
2025-09-27	10	7	2	3	177.00	76.00	253.00
2025-10-11	14	9	4	5	262.00	113.00	375.00
2025-10-25	8	5	2	4	151.00	65.00	216.00
TOTAL							4816.00
