Build_ID	Date_Started	Date_Completed	Item	Material	Quantity	Dimensions	For	Hours	Notes
WB-101	2025-01-12	2025-01-19	Deep hive bodies	Pine	6	19-7/8 x 16-1/4 x 9-5/8	Apiary, spring splits	9	Box joints, two coats exterior paint
WB-102	2025-02-02	2025-02-08	Frames, deep	Pine and basswood	60	Standard Langstroth deep	Apiary	6	Wired and waxed foundation
WB-103	2025-03-15	2025-03-22	Medium supers	Pine	8	19-7/8 x 16-1/4 x 6-5/8	Apiary, honey supers	10	Built ahead of the flow
WB-104	2025-11-03	2025-11-16	End grain cutting board	Walnut and maple	1	16 x 11 x 1-1/2	Mila, Christmas	7	First end grain board, came out clean
WB-105	2025-11-22	2025-12-01	Edge grain cutting board	Cherry	2	14 x 10 x 1	Katya and Andriy, Christmas	6	Mineral oil and beeswax finish
WB-106	2025-12-06	2025-12-14	Bottom boards	Cedar	4	Standard, screened	Apiary	5	Screened for mite drop counts
WB-107	2026-01-24	2026-02-01	Deep hive bodies	Pine	4	19-7/8 x 16-1/4 x 9-5/8	Apiary, replace weak boxes	7	Two are for H06 and H11 swap
WB-108	2026-02-07	2026-02-15	Frames, medium	Pine and basswood	40	Standard Langstroth medium	Apiary	4	Stockpile for the season
WB-109	2026-10-12	2026-10-25	End grain cutting boards	Walnut and maple	3	15 x 11 x 1-1/2	Christmas gifts	11	Planned, batch of three
WB-110	2026-11-09	2026-11-20	Serving boards	Cherry and maple	2	20 x 9 x 3/4	Thanksgiving table	5	Planned
