product_id,retailer_id,name,brand,category,unit_size,price,in_stock,sale_price,image_url
prd_0001,ret_001,Ground Beef,Store Brand,Grocery,1 unit,9.90,True,,
prd_0002,ret_001,Chicken Breast,Store Brand,Grocery,1 unit,10.78,True,,
prd_0003,ret_001,Bread,Store Brand,Grocery,1 unit,5.84,True,,
prd_0004,ret_001,Milk,Store Brand,Grocery,1 unit,2.85,True,,
prd_0005,ret_001,Eggs,Store Brand,Grocery,1 unit,2.91,True,,
prd_0006,ret_001,Cheese,Store Brand,Grocery,1 unit,6.16,True,,
prd_0007,ret_001,Tomatoes,Store Brand,Grocery,1 unit,7.14,True,,
prd_0008,ret_001,Lettuce,Store Brand,Grocery,1 unit,8.64,True,,
prd_0009,ret_001,Onions,Store Brand,Grocery,1 unit,6.83,True,,
prd_0010,ret_001,Potatoes,Store Brand,Grocery,1 unit,6.38,True,,
prd_0011,ret_001,BBQ Sauce,Store Brand,Grocery,1 unit,10.34,True,,
prd_0012,ret_001,Charcoal,Store Brand,Grocery,1 unit,6.40,True,,
prd_0013,ret_001,Paper Towels,Store Brand,Grocery,1 unit,10.06,True,,
prd_0014,ret_001,Dish Soap,Store Brand,Grocery,1 unit,2.19,True,,
prd_0015,ret_001,Coffee,Store Brand,Grocery,1 unit,8.07,True,,
prd_0016,ret_001,Orange Juice,Store Brand,Grocery,1 unit,7.96,True,,
prd_0017,ret_001,Bacon,Store Brand,Grocery,1 unit,10.50,True,,
prd_0018,ret_001,Butter,Store Brand,Grocery,1 unit,9.44,True,,
prd_0019,ret_001,Rice,Store Brand,Grocery,1 unit,2.79,True,,
prd_0020,ret_001,Pasta,Store Brand,Grocery,1 unit,9.40,True,,
