export_date	unit	vehicle	odometer_mi	status	fault_code
2026-02-15	SED-01	Toyota Camry 2021	98620	Active	none
2026-02-15	SED-02	Toyota Camry 2021	96340	Active	none
2026-02-15	SED-03	Toyota Camry 2022	71510	Active	none
2026-02-15	SED-04	Toyota Camry 2022	70120	Active	none
2026-02-15	SED-05	Toyota Camry 2020	121980	Active	none
2026-02-15	SED-06	Toyota Camry 2020	119240	Active	none
2026-02-15	SED-07	Toyota Camry 2023	44680	Active	none
2026-02-15	SED-08	Toyota Camry 2023	43020	Active	none
2026-02-15	VAN-01	Chrysler Pacifica 2022	83840	Active	none
2026-02-15	VAN-02	Chrysler Pacifica 2022	81460	Active	none
2026-02-15	VAN-03	Chrysler Pacifica 2023	58910	Active	none
2026-02-15	VAN-04	Chrysler Pacifica 2023	56120	Reserved	none
