page_id,property_name,property_type,value
pea790e4a248dab6ac4b6ae1854464f3,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464f3,Tags,multi_select,"opening, sicilian, black"
pea790e4a248dab6ac4b6ae1854464f4,Status,select,Studying
pea790e4a248dab6ac4b6ae1854464f4,Tags,multi_select,"opening, sicilian, black"
pea790e4a248dab6ac4b6ae1854464f5,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464f5,Tags,multi_select,"opening, black"
pea790e4a248dab6ac4b6ae1854464f6,Status,select,Studying
pea790e4a248dab6ac4b6ae1854464f6,Tags,multi_select,"opening, black"
pea790e4a248dab6ac4b6ae1854464f7,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464f7,Tags,multi_select,"opening, black"
pea790e4a248dab6ac4b6ae1854464f8,Status,select,Studying
pea790e4a248dab6ac4b6ae1854464f8,Tags,multi_select,"opening, white"
pea790e4a248dab6ac4b6ae1854464f9,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464f9,Tags,multi_select,"opening, white"
pea790e4a248dab6ac4b6ae1854464fa,Status,select,Studying
pea790e4a248dab6ac4b6ae1854464fa,Tags,multi_select,"opening, white"
pea790e4a248dab6ac4b6ae1854464fb,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464fb,Tags,multi_select,"opening, white"
pea790e4a248dab6ac4b6ae1854464fc,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464fc,Tags,multi_select,"opening, white"
pea790e4a248dab6ac4b6ae1854464fd,Status,select,Todo
pea790e4a248dab6ac4b6ae1854464fd,Tags,multi_select,"opening, sicilian, black"
pea790e4a248dab6ac4b6ae1854464fe,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464fe,Tags,multi_select,"post-mortem, opening"
pea790e4a248dab6ac4b6ae1854464ff,Status,select,Reviewed
pea790e4a248dab6ac4b6ae1854464ff,Tags,multi_select,"post-mortem, black"
pea790e4a248dab6ac4b6ae185446500,Status,select,Reviewed
pea790e4a248dab6ac4b6ae185446500,Tags,multi_select,"post-mortem, endgame"
pea790e4a248dab6ac4b6ae185446501,Status,select,Reviewed
pea790e4a248dab6ac4b6ae185446501,Tags,multi_select,post-mortem
pea790e4a248dab6ac4b6ae185446502,Status,select,Drafting
pea790e4a248dab6ac4b6ae185446502,Tags,multi_select,"tournament-prep, black"
pea790e4a248dab6ac4b6ae185446503,Status,select,Drafting
pea790e4a248dab6ac4b6ae185446503,Tags,multi_select,"tournament-prep, white"
pea790e4a248dab6ac4b6ae185446504,Status,select,Studying
pea790e4a248dab6ac4b6ae185446504,Tags,multi_select,endgame
pea790e4a248dab6ac4b6ae185446505,Status,select,Reviewed
pea790e4a248dab6ac4b6ae185446505,Tags,multi_select,endgame
pea790e4a248dab6ac4b6ae185446506,Status,select,Studying
pea790e4a248dab6ac4b6ae185446506,Tags,multi_select,endgame
pea790e4a248dab6ac4b6ae185446507,Status,select,Studying
pea790e4a248dab6ac4b6ae185446507,Tags,multi_select,"endgame, opening"
pea790e4a248dab6ac4b6ae185446508,Status,select,Todo
pea790e4a248dab6ac4b6ae185446508,Tags,multi_select,endgame
pea790e4a248dab6ac4b6ae185446509,Status,select,Drafting
pea790e4a248dab6ac4b6ae185446509,Tags,multi_select,tournament-prep
pea790e4a248dab6ac4b6ae18544650a,Status,select,Studying
pea790e4a248dab6ac4b6ae18544650a,Tags,multi_select,"opening, sicilian, white"
