Category	Item	Monthly_Budget_USD	Jan_2026_Actual	Feb_2026_Actual	Notes
Housing	Mortgage	2400	2400	2400	Fixed; 30yr
Housing	Property Tax and Insurance	480	480	480	Escrowed
Housing	Utilities incl solar lease	310	342	298	Higher Jan due to heating
Food	Groceries low-carb	380	371	395	Instacart plus Folsom Bike area shops
Legal	Alimony to Diane	1800	1800	1800	Auto-transfer 1st; ends Dec 2027
Transport	Tesla payment	450	450	450	Fixed
Transport	Car insurance	140	140	140	Fixed
Transport	EV charging home	45	38	41	Varies by mileage
Telecom	Phone plan	60	60	60	Fixed
Health	Employer health insurance	185	185	185	Payroll deduct
Health/Fitness	Gym and cycling club	85	85	85	Folsom CC plus home gym
Services	Subscriptions	58	63	58	Streaming plus minor SaaS
Food	Dining out	200	187	221	Thai Japanese Mediterranean
Other	Personal and misc	150	122	174	Sub-300 cycling gear misc
