Bike	Component	Brand	Model	Installed	Condition	Notes
Trek Domane SL6	Groupset	Shimano	Ultegra Di2 R8150	2022-04-01	Good	Battery charge monthly
Trek Domane SL6	Front Tire	Continental	GP5000 700x28c	2025-11-01	Good	Replaced Nov 2025
Trek Domane SL6	Rear Tire	Continental	GP5000 700x28c	2025-11-01	Good	Replaced Nov 2025
Trek Domane SL6	Chain	Shimano	CN-HG601-11sp	2025-12-15	Good	KMC Missing Link
Trek Domane SL6	Saddle	Fizik	Antares R3	2022-04-01	Good	Original; long days fine
Trek Domane SL6	Pedals	Look	Keo Classic 3	2022-04-01	Good	Cleat replaced 2025
Specialized Tarmac SL5	Groupset	Shimano	Ultegra R8000 Mech	2019-06-01	Worn	Di2 upgrade considered
Specialized Tarmac SL5	Bar Tape	Lizard Skins	DSP 3.2mm	2025-10-22	Good	Red; replaced Oct 2025
Specialized Tarmac SL5	Cassette	Shimano	Ultegra 11-28T	2025-09-10	Good	Replaced Sep 2025
Cannondale CAAD10	Front Tire	Continental	Gatorskin 700x25c	2025-08-05	Fair	Replace end of winter
Cannondale CAAD10	Groupset	Shimano	Tiagra 4700	2014-01-01	Fair	Original; trainer backup
All Bikes	Helmet	Giro	Aether MIPS white	2023-05-01	Good	Fit adjusted summer 2024
All Bikes	Shoes	Shimano	RC702 SPD-SL EU45	2023-09-01	Good	One pair for all three bikes
