Title	Author	Genre	Year	Status	Rating	Notes
Site Reliability Engineering	Beyer et al	Technical	2016	Finished	5	Core reference annotated
Designing Data-Intensive Applications	Kleppmann	Technical	2017	Finished	5	Very dense essential
The Three-Body Problem	Liu Cixin	Science Fiction	2006	Reading		Nightstand 60 percent through
Dune	Frank Herbert	Science Fiction	1965	Finished	5	Fourth re-read
A Fire Upon the Deep	Vernor Vinge	Science Fiction	1992	Finished	5	Recommended to Meredith
Sapiens	Yuval Noah Harari	History	2011	Finished	4	Audiobook on long rides
The Checklist Manifesto	Atul Gawande	Nonfiction	2009	Finished	4	Applied to SRE runbooks
The Pragmatic Programmer	Hunt and Thomas	Technical	1999	Finished	5	Gifted to Chen Wei
An Elegant Puzzle	Will Larson	Eng Management	2019	Finished	3	Mentoring context
Permutation City	Greg Egan	Science Fiction	1994	Want to Read		Kindle queue
The Power Broker	Robert Caro	History	1974	Want to Read		Long; saving for camping
Extreme Ownership	Willink Babin	Leadership	2015	Finished	3	Incident framing useful
