API_Name	Category	Status	Primary_Use	Auth	Persona_Reference
strava-api	Fitness	Active	Read-only ride history and training load from Garmin Edge 840	ReadOnly	Synced ride history and training load
plaid-api	Finance	Active	Read-only Schwab checking and brokerage balance aggregation	ReadOnly	Monthly balance reconciliation
quickbooks-api	Finance	Active	Monthly budget tracking by category	Read/Write	Structured monthly budget tracking
xero-api	Finance	Active	Parallel year-end ledger for tax prep	Read/Write	Parallel year-end ledger for tax prep
pagerduty-api	Monitoring	Active	Personal home-lab alerts only; not work on-call	Read	Personal home-lab alert routing
slack-api	Comms	Active	Road-cycling club and homelab community workspace	Read	Cycling club and homelab community workspace
openweather-api	Weather	Active	5:45 AM ride vs indoor trainer decision	Read	Early morning ride vs indoor trainer decision
github-api	Dev	Active	Personal reliability scripts; follow Meredith projects before Wednesday call	Read	Personal reliability scripts and project follows
datadog-api	Monitoring	Active	Uptime latency performance dashboards for homelab	Read	Homelab uptime and latency dashboards
spotify-api	Media	Active	Evening jazz and ambient; uptempo cycling playlist	Read	Evening jazz and ambient; cycling playlists
ring-api	Security	Active	Doorbell and driveway cameras while on long solo rides	Read	Doorbell and driveway cameras during long rides
airtable-api	Bikes	Active	Structured database of three road bikes components and maintenance log	Read/Write	Bike components and maintenance database
