Date	Meal	Food_Item	Carbs_g	Sugar_g	Protein_g	Fat_g	Notes
2026-01-05	Breakfast	Steel cut oats blueberries walnuts	27	8	5	3	Post-ride refuel
2026-01-05	Lunch	Grilled chicken salad no croutons	12	4	42	18	Olive oil dressing
2026-01-05	Dinner	Salmon roasted broccoli quinoa	31	3	44	22	Two glasses Pinot Noir
2026-01-05	Snack	Almonds dark chocolate 85 percent	14	6	8	28	Desk snack afternoon
2026-01-06	Breakfast	Scrambled eggs avocado toast	22	2	18	24	Rest day
2026-01-06	Lunch	Thai chicken larb ordered	18	5	38	14	Delivery from Thai Orchid
2026-01-06	Dinner	Stir-fry beef vegetables	16	6	36	20	Homemade low-carb soy
2026-01-07	Breakfast	Black coffee and protein bar	22	10	20	8	Pre-ride minimal
2026-01-07	Lunch	Ramen soft-boiled egg	48	3	22	12	Higher carb post-ride
2026-01-07	Dinner	Grilled chicken thighs green salad	8	3	44	20	Balancing lunch carbs
2026-01-07	Snack	Mixed nuts and cheese	5	1	12	22	Evening; bourbon neat after
