escalation_policy_id,name,num_loops,tier1_user_id,tier2_user_id
PEP0001,NNU ESFES EP,2,PU00001,PU00008
PEP0002,NNU WAITA EP,2,PU00002,PU00009
PEP0003,NNU Portal EP,2,PU00003,PU00010
PEP0004,NNU DB EP,2,PU00004,PU00011
PEP0005,NNU Greenhouse EP,2,PU00005,PU00012
PEP0006,NNU Backup EP,2,PU00006,PU00013
PEP0007,NNU CI EP,2,PU00007,PU00014
PEP0008,NNU Web EP,2,PU00008,PU00015
PEP0009,NNU Records EP,2,PU00009,PU00016
PEP0010,NNU HR EP,2,PU00010,PU00017
PEP0011,NNU Payroll EP,2,PU00011,PU00018
PEP0012,NNU Student EP,2,PU00012,PU00019
PEP0013,NNU Extension EP,2,PU00013,PU00020
PEP0014,NNU Finance EP,2,PU00014,PU00021
PEP0015,NNU Facilities EP,2,PU00015,PU00022
