service_id,name,description,status,escalation_policy_id,auto_resolve_timeout
PSV0001,nnu-esfes-1,NNU Crop Sci production service,active,PEP0001,14400
PSV0002,nnu-waita-1,NNU Crop Sci production service,active,PEP0002,14400
PSV0003,nnu-portal-1,NNU Crop Sci production service,active,PEP0003,14400
PSV0004,nnu-db-1,NNU Crop Sci production service,active,PEP0004,14400
PSV0005,nnu-gh-sensor-1,NNU Crop Sci production service,disabled,PEP0005,14400
PSV0006,nnu-backup-1,NNU Crop Sci production service,active,PEP0006,14400
PSV0007,nnu-ci-1,NNU Crop Sci production service,active,PEP0007,14400
PSV0008,nnu-web-1,NNU Crop Sci production service,active,PEP0008,14400
PSV0009,nnu-records-1,NNU Crop Sci production service,active,PEP0009,14400
PSV0010,nnu-hr-1,NNU Crop Sci production service,disabled,PEP0010,14400
PSV0011,nnu-payroll-1,NNU Crop Sci production service,active,PEP0011,14400
PSV0012,nnu-student-1,NNU Crop Sci production service,active,PEP0012,14400
PSV0013,nnu-extension-1,NNU Crop Sci production service,active,PEP0013,14400
PSV0014,nnu-finance-1,NNU Crop Sci production service,active,PEP0014,14400
PSV0015,nnu-facilities-1,NNU Crop Sci production service,disabled,PEP0015,14400
PSV0016,nnu-esfes-2,NNU Crop Sci production service,active,PEP0001,14400
PSV0017,nnu-waita-2,NNU Crop Sci production service,active,PEP0002,14400
PSV0018,nnu-portal-2,NNU Crop Sci production service,active,PEP0003,14400
PSV0019,nnu-db-2,NNU Crop Sci production service,active,PEP0004,14400
PSV0020,nnu-gh-sensor-2,NNU Crop Sci production service,disabled,PEP0005,14400
PSV0021,nnu-backup-2,NNU Crop Sci production service,active,PEP0006,14400
PSV0022,nnu-ci-2,NNU Crop Sci production service,active,PEP0007,14400
PSV0023,nnu-web-2,NNU Crop Sci production service,active,PEP0008,14400
PSV0024,nnu-records-2,NNU Crop Sci production service,active,PEP0009,14400
PSV0025,nnu-hr-2,NNU Crop Sci production service,disabled,PEP0010,14400
PSV0026,nnu-payroll-2,NNU Crop Sci production service,active,PEP0011,14400
PSV0027,nnu-student-2,NNU Crop Sci production service,active,PEP0012,14400
PSV0028,nnu-extension-2,NNU Crop Sci production service,active,PEP0013,14400
PSV0029,nnu-finance-2,NNU Crop Sci production service,active,PEP0014,14400
PSV0030,nnu-facilities-2,NNU Crop Sci production service,disabled,PEP0015,14400
PSV0031,nnu-esfes-3,NNU Crop Sci production service,active,PEP0001,14400
PSV0032,nnu-waita-3,NNU Crop Sci production service,active,PEP0002,14400
PSV0033,nnu-portal-3,NNU Crop Sci production service,active,PEP0003,14400
PSV0034,nnu-db-3,NNU Crop Sci production service,active,PEP0004,14400
PSV0035,nnu-gh-sensor-3,NNU Crop Sci production service,disabled,PEP0005,14400
PSV0036,nnu-backup-3,NNU Crop Sci production service,active,PEP0006,14400
PSV0037,nnu-ci-3,NNU Crop Sci production service,active,PEP0007,14400
PSV0038,nnu-web-3,NNU Crop Sci production service,active,PEP0008,14400
PSV0039,nnu-records-3,NNU Crop Sci production service,active,PEP0009,14400
PSV0040,nnu-hr-3,NNU Crop Sci production service,disabled,PEP0010,14400
PSV0041,nnu-payroll-3,NNU Crop Sci production service,active,PEP0011,14400
PSV0042,nnu-student-3,NNU Crop Sci production service,active,PEP0012,14400
PSV0043,nnu-extension-3,NNU Crop Sci production service,active,PEP0013,14400
PSV0044,nnu-finance-3,NNU Crop Sci production service,active,PEP0014,14400
PSV0045,nnu-facilities-3,NNU Crop Sci production service,disabled,PEP0015,14400
