id,subject,description,status,priority,requester_id,responder_id,type,tags,created_at,updated_at
fdt_0000,Ticket 0,Description 0,3,3,fdc_0096,fda_0100,Question,,2026-04-27T05:33:15Z,2026-01-11T09:33:59Z
fdt_0001,Ticket 1,Description 1,3,3,fdc_0147,fda_0003,Problem,,2026-07-27T02:13:18Z,2026-07-25T01:58:24Z
fdt_0002,Ticket 2,Description 2,2,2,fdc_0072,fda_0065,Problem,,2026-06-12T04:31:27Z,2026-08-27T19:00:52Z
fdt_0003,Ticket 3,Description 3,5,2,fdc_0072,fda_0108,Question,,2026-07-20T10:58:08Z,2026-04-01T23:34:58Z
fdt_0004,Ticket 4,Description 4,4,3,fdc_0056,fda_0120,Question,,2026-05-29T22:31:18Z,2026-02-06T03:44:53Z
fdt_0005,Ticket 5,Description 5,3,3,fdc_0040,fda_0051,Question,,2026-09-17T21:57:32Z,2026-04-18T16:42:45Z
fdt_0006,Ticket 6,Description 6,3,3,fdc_0043,fda_0117,Problem,,2026-02-14T06:05:23Z,2026-07-23T10:08:01Z
fdt_0007,Ticket 7,Description 7,4,3,fdc_0133,fda_0058,Question,,2026-06-25T17:51:01Z,2026-10-03T12:53:14Z
fdt_0008,Ticket 8,Description 8,5,2,fdc_0105,fda_0069,Problem,,2026-03-07T10:11:25Z,2026-09-13T07:12:43Z
fdt_0009,Ticket 9,Description 9,5,3,fdc_0148,fda_0019,Problem,,2026-04-14T11:27:51Z,2026-01-02T23:21:20Z
fdt_0010,Ticket 10,Description 10,2,3,fdc_0023,fda_0098,Question,,2026-09-24T01:17:50Z,2026-02-12T23:34:47Z
fdt_0011,Ticket 11,Description 11,2,2,fdc_0064,fda_0075,Incident,,2026-03-12T19:06:19Z,2026-07-04T08:58:49Z
fdt_0012,Ticket 12,Description 12,2,3,fdc_0057,fda_0137,Question,,2026-10-10T00:53:03Z,2026-05-27T13:47:30Z
fdt_0013,Ticket 13,Description 13,5,2,fdc_0101,fda_0103,Problem,,2026-07-13T21:14:43Z,2026-02-21T07:33:31Z
fdt_0014,Ticket 14,Description 14,2,2,fdc_0066,fda_0069,Problem,,2026-09-02T19:33:33Z,2026-03-11T05:10:24Z
fdt_0015,Ticket 15,Description 15,5,4,fdc_0071,fda_0122,Incident,,2026-03-19T14:15:04Z,2026-03-20T14:03:22Z
fdt_0016,Ticket 16,Description 16,3,1,fdc_0059,fda_0134,Incident,,2026-03-27T08:02:44Z,2026-08-22T21:22:37Z
fdt_0017,Ticket 17,Description 17,3,3,fdc_0041,fda_0122,Incident,,2026-05-30T13:56:37Z,2026-06-22T00:49:06Z
fdt_0018,Ticket 18,Description 18,5,1,fdc_0133,fda_0045,Incident,,2026-06-02T19:46:44Z,2026-08-25T03:57:25Z
fdt_0019,Ticket 19,Description 19,4,1,fdc_0101,fda_0034,Question,,2026-01-20T17:13:42Z,2026-03-06T00:14:57Z
fdt_0020,Ticket 20,Description 20,3,4,fdc_0077,fda_0143,Problem,,2026-01-07T10:24:26Z,2026-01-12T14:17:02Z
fdt_0021,Ticket 21,Description 21,4,1,fdc_0018,fda_0005,Problem,,2026-07-27T04:36:35Z,2026-03-31T02:35:30Z
fdt_0022,Ticket 22,Description 22,5,2,fdc_0062,fda_0147,Problem,,2026-08-08T10:25:19Z,2026-03-16T18:29:32Z
fdt_0023,Ticket 23,Description 23,3,2,fdc_0038,fda_0059,Problem,,2026-03-30T08:12:26Z,2026-10-10T06:33:09Z
fdt_0024,Ticket 24,Description 24,2,4,fdc_0099,fda_0136,Problem,,2026-06-28T05:18:52Z,2026-01-30T08:22:47Z
fdt_0025,Ticket 25,Description 25,5,4,fdc_0030,fda_0048,Question,,2026-03-28T09:38:57Z,2026-08-20T10:20:53Z
fdt_0026,Ticket 26,Description 26,2,3,fdc_0109,fda_0087,Incident,,2026-01-13T14:23:56Z,2026-01-28T08:24:18Z
fdt_0027,Ticket 27,Description 27,2,3,fdc_0066,fda_0105,Incident,,2026-03-08T19:46:14Z,2026-01-09T04:34:21Z
fdt_0028,Ticket 28,Description 28,3,2,fdc_0074,fda_0075,Question,,2026-09-16T14:56:49Z,2026-10-03T12:26:45Z
fdt_0029,Ticket 29,Description 29,5,4,fdc_0010,fda_0009,Question,,2026-04-09T16:55:46Z,2026-03-28T23:38:34Z
fdt_0030,Ticket 30,Description 30,3,2,fdc_0054,fda_0062,Question,,2026-02-10T07:57:42Z,2026-05-08T15:39:59Z
fdt_0031,Ticket 31,Description 31,2,3,fdc_0138,fda_0021,Incident,,2026-08-16T23:04:13Z,2026-05-02T20:11:39Z
fdt_0032,Ticket 32,Description 32,4,4,fdc_0148,fda_0061,Incident,,2026-09-24T07:23:11Z,2026-04-05T09:29:09Z
fdt_0033,Ticket 33,Description 33,4,1,fdc_0016,fda_0111,Question,,2026-06-29T17:58:00Z,2026-10-08T13:02:22Z
fdt_0034,Ticket 34,Description 34,5,1,fdc_0118,fda_0020,Problem,,2026-06-27T19:37:56Z,2026-01-31T23:10:37Z
fdt_0035,Ticket 35,Description 35,4,4,fdc_0138,fda_0008,Problem,,2026-09-25T23:50:30Z,2026-05-11T05:12:52Z
fdt_0036,Ticket 36,Description 36,3,2,fdc_0124,fda_0049,Problem,,2026-06-02T16:52:29Z,2026-01-15T23:36:46Z
fdt_0037,Ticket 37,Description 37,2,4,fdc_0040,fda_0027,Question,,2026-02-27T07:35:11Z,2026-10-01T22:34:21Z
fdt_0038,Ticket 38,Description 38,4,4,fdc_0050,fda_0017,Incident,,2026-09-04T19:37:21Z,2026-03-03T21:56:09Z
fdt_0039,Ticket 39,Description 39,2,1,fdc_0116,fda_0055,Problem,,2026-04-18T23:50:28Z,2026-06-10T13:55:17Z
fdt_0040,Ticket 40,Description 40,2,4,fdc_0086,fda_0119,Question,,2026-03-23T00:09:22Z,2026-06-27T11:46:39Z
fdt_0041,Ticket 41,Description 41,3,2,fdc_0118,fda_0137,Incident,,2026-10-04T14:46:27Z,2026-07-13T22:32:22Z
fdt_0042,Ticket 42,Description 42,3,2,fdc_0086,fda_0087,Question,,2026-07-26T22:17:54Z,2026-10-06T07:40:58Z
fdt_0043,Ticket 43,Description 43,4,3,fdc_0032,fda_0122,Incident,,2026-03-31T21:53:36Z,2026-08-27T19:15:55Z
fdt_0044,Ticket 44,Description 44,4,3,fdc_0020,fda_0108,Incident,,2026-08-10T03:39:46Z,2026-04-09T05:10:56Z
fdt_0045,Ticket 45,Description 45,4,3,fdc_0027,fda_0113,Problem,,2026-05-09T17:58:50Z,2026-02-16T19:08:55Z
fdt_0046,Ticket 46,Description 46,5,2,fdc_0019,fda_0126,Question,,2026-04-17T12:34:27Z,2026-08-17T04:52:49Z
fdt_0047,Ticket 47,Description 47,2,1,fdc_0040,fda_0031,Problem,,2026-04-07T21:06:52Z,2026-10-12T04:07:53Z
fdt_0048,Ticket 48,Description 48,4,2,fdc_0101,fda_0067,Question,,2026-07-02T20:56:45Z,2026-08-12T01:56:54Z
fdt_0049,Ticket 49,Description 49,3,2,fdc_0047,fda_0050,Question,,2026-08-05T17:21:22Z,2026-01-10T13:40:59Z
fdt_0050,Ticket 50,Description 50,4,3,fdc_0088,fda_0089,Question,,2026-02-14T03:50:21Z,2026-08-22T16:20:52Z
fdt_0051,Ticket 51,Description 51,3,4,fdc_0072,fda_0101,Problem,,2026-05-01T01:20:51Z,2026-07-30T02:51:40Z
fdt_0052,Ticket 52,Description 52,5,3,fdc_0044,fda_0071,Problem,,2026-06-28T04:23:37Z,2026-02-04T14:04:02Z
fdt_0053,Ticket 53,Description 53,4,2,fdc_0097,fda_0060,Problem,,2026-02-16T16:29:59Z,2026-10-06T15:11:31Z
fdt_0054,Ticket 54,Description 54,2,3,fdc_0020,fda_0015,Problem,,2026-07-18T23:47:39Z,2026-08-11T01:45:24Z
fdt_0055,Ticket 55,Description 55,4,4,fdc_0143,fda_0039,Problem,,2026-09-18T00:22:33Z,2026-09-24T16:44:37Z
fdt_0056,Ticket 56,Description 56,4,2,fdc_0078,fda_0058,Problem,,2026-06-28T04:21:27Z,2026-06-04T02:58:00Z
fdt_0057,Ticket 57,Description 57,2,1,fdc_0059,fda_0127,Question,,2026-07-12T18:21:25Z,2026-06-16T12:20:21Z
fdt_0058,Ticket 58,Description 58,3,3,fdc_0119,fda_0038,Problem,,2026-04-08T11:38:12Z,2026-08-27T22:53:23Z
fdt_0059,Ticket 59,Description 59,3,3,fdc_0135,fda_0050,Problem,,2026-02-11T10:54:08Z,2026-10-06T01:49:18Z
fdt_0060,Ticket 60,Description 60,3,3,fdc_0051,fda_0026,Incident,,2026-01-16T01:05:40Z,2026-02-03T03:40:37Z
fdt_0061,Ticket 61,Description 61,4,3,fdc_0144,fda_0080,Incident,,2026-01-31T13:24:07Z,2026-01-23T22:42:39Z
fdt_0062,Ticket 62,Description 62,5,1,fdc_0008,fda_0057,Incident,,2026-09-09T21:30:14Z,2026-07-14T22:09:19Z
fdt_0063,Ticket 63,Description 63,3,2,fdc_0115,fda_0096,Incident,,2026-07-05T10:19:38Z,2026-04-09T15:36:15Z
fdt_0064,Ticket 64,Description 64,5,1,fdc_0041,fda_0039,Problem,,2026-04-15T06:29:18Z,2026-01-24T13:43:44Z
fdt_0065,Ticket 65,Description 65,3,2,fdc_0104,fda_0091,Question,,2026-07-02T06:39:03Z,2026-10-01T06:31:13Z
fdt_0066,Ticket 66,Description 66,3,1,fdc_0140,fda_0075,Incident,,2026-04-09T11:20:06Z,2026-02-09T01:01:45Z
fdt_0067,Ticket 67,Description 67,2,2,fdc_0116,fda_0117,Problem,,2026-01-27T12:05:18Z,2026-08-03T09:19:06Z
fdt_0068,Ticket 68,Description 68,2,1,fdc_0141,fda_0024,Question,,2026-08-22T05:14:57Z,2026-09-17T22:20:03Z
fdt_0069,Ticket 69,Description 69,3,2,fdc_0128,fda_0129,Problem,,2026-09-16T07:10:20Z,2026-01-27T18:27:53Z
fdt_0070,Ticket 70,Description 70,4,3,fdc_0117,fda_0063,Problem,,2026-08-24T15:38:58Z,2026-07-23T03:37:58Z
fdt_0071,Ticket 71,Description 71,4,2,fdc_0142,fda_0088,Question,,2026-07-01T05:13:20Z,2026-03-31T09:51:36Z
fdt_0072,Ticket 72,Description 72,4,4,fdc_0070,fda_0096,Question,,2026-03-02T20:03:59Z,2026-06-04T01:03:00Z
fdt_0073,Ticket 73,Description 73,4,2,fdc_0139,fda_0011,Problem,,2026-05-08T02:23:14Z,2026-03-05T00:59:57Z
fdt_0074,Ticket 74,Description 74,5,4,fdc_0040,fda_0133,Problem,,2026-05-08T02:32:33Z,2026-01-04T14:44:20Z
fdt_0075,Ticket 75,Description 75,5,3,fdc_0068,fda_0146,Incident,,2026-03-04T11:57:00Z,2026-03-21T00:51:59Z
fdt_0076,Ticket 76,Description 76,2,3,fdc_0122,fda_0075,Incident,,2026-07-23T05:26:01Z,2026-02-06T16:28:22Z
fdt_0077,Ticket 77,Description 77,2,4,fdc_0062,fda_0128,Problem,,2026-05-20T00:54:27Z,2026-08-30T05:22:59Z
fdt_0078,Ticket 78,Description 78,3,2,fdc_0127,fda_0054,Question,,2026-01-03T04:39:28Z,2026-06-12T21:43:29Z
