cohort_id,midwives_in_cohort,module,contact_hours_per_midwife,backfill_hours_per_midwife,total_hours_conservative,total_hours_stretched,assumption_notes
A,12,M1_evidence_and_parameter_changes,3.5,2.5,72,72,"Cohort A is the first cohort so no mentor overlap credit applies. Backfill drawn from internal float pool. Conservative equals stretched because no overlap credit is claimed."
A,12,M2_water_temperature_management,3.5,2.5,72,72,"Practical drill on Pool A."
A,12,M3_fetal_monitoring_in_pool,3.5,2.5,72,72,"Auscultation cadence refresh. Primiparous 90-minute clarification covered here."
A,12,M4_escalation_to_obstetrics,3.5,2.5,72,72,"Co-facilitated by working group obstetrician. Scenario-based."
A,12,M5_pool_hygiene_and_biomed,3.5,2.5,72,72,"Depends on Pool B readiness for practical component. Contingency in RR-EQ-001."
A,12,M6_consolidation_and_signoff,3.5,2.5,72,72,"Sign-off by senior midwife. Case-based conversation."
B,12,M1_evidence_and_parameter_changes,3.5,2.5,58,72,"Conservative applies the 20 percent mentor overlap credit from Cohort A shift leads. Stretched drops the credit if it does not hold."
B,12,M2_water_temperature_management,3.5,2.5,58,72,"Overlap credit as above for the conservative figure. Stretched assumes no credit."
B,12,M3_fetal_monitoring_in_pool,3.5,2.5,58,72,"Overlap credit as above for the conservative figure. Stretched assumes no credit."
B,12,M4_escalation_to_obstetrics,3.5,2.5,58,72,"Overlap credit as above for the conservative figure. Stretched assumes no credit."
B,12,M5_pool_hygiene_and_biomed,3.5,2.5,58,72,"Overlap credit as above. Pool B operational from January 12 2027 following biomed sign-off November 24 2026 (RR-EQ-001). Stretched assumes no credit."
B,12,M6_consolidation_and_signoff,3.5,2.5,58,72,"Sign-off by Cohort A member acting as assessor. Stretched assumes no credit."
C,10,M1_evidence_and_parameter_changes,3.5,2.5,48,60,"Cohort C is smaller so newly qualified and recently rotated-in staff can be paired closely with Cohort A assessors during sign-off. Conservative applies 20 percent overlap credit. Stretched drops it."
C,10,M2_water_temperature_management,3.5,2.5,48,60,"Includes mentorship pilot cohort mentees. Stretched assumes no overlap credit."
C,10,M3_fetal_monitoring_in_pool,3.5,2.5,48,60,"Overlap credit applied for the conservative figure. Stretched assumes no credit."
C,10,M4_escalation_to_obstetrics,3.5,2.5,48,60,"Overlap credit applied for the conservative figure. Stretched assumes no credit."
C,10,M5_pool_hygiene_and_biomed,3.5,2.5,48,60,"Both pools operational. Stretched assumes no overlap credit."
C,10,M6_consolidation_and_signoff,3.5,2.5,48,60,"Sign-off by Cohort A or B member acting as assessor. Stretched assumes no credit."
TOTAL_CONSERVATIVE,,,,,1068,,"Conservative scenario total across all cohorts and modules. Contact hours 624 plus backfill hours 444, with the 20 percent Cohort A overlap credit applied to Cohorts B and C."
TOTAL_STRETCHED,,,,,,1224,"Stretched scenario total if the 20 percent overlap credit does not hold for Cohorts B and C. Grows by up to 156 hours over the conservative figure of 1068."
