pilot_id,pairing_status,contact_frequency_last_30d,mentee_rating_1to5,theme_tag,flag_for_review
P-01,active,2,5,reflective_practice_working,no
P-02,paused,0,4,short_term_absence,no
P-03,active,2,4,case_discussion_useful,no
P-04,active,1,3,mentor_availability_thin,yes
P-05,active,2,5,changeover_window_valued,no
P-06,active,2,4,protocol_recall_balanced,no
P-07,dissolved,0,4,mutual_agreement_context_shift,no
P-08,active,2,5,reflective_practice_working,no
P-09,active,1,3,mentor_availability_thin,yes
P-10,active,2,4,case_discussion_useful,no
P-11,active,2,3,too_much_protocol_recall_not_enough_reflection,yes
P-12,active,2,5,changeover_window_valued,no
