applicant_id,applied_date,source_channel,current_role,seniority_years,cohort_status,pairing_id_if_selected,notes
APP-01,2026-08-14,greenhouse_internal,newly_qualified_midwife,0.4,selected,P-01,"First round intake. Reflective-practice interest strong in application."
APP-02,2026-08-14,greenhouse_internal,rotated_in_from_antenatal,1.2,selected,P-02,"Currently on short-term absence since November 14 2026. Pairing paused."
APP-03,2026-08-15,greenhouse_internal,newly_qualified_midwife,0.7,selected,P-03,"Strong case-discussion interest in application."
APP-04,2026-08-16,greenhouse_internal,newly_qualified_midwife,0.5,selected,P-04,"Flagged for review at mid-cycle. Mentor availability thin."
APP-05,2026-08-18,greenhouse_internal,rotated_in_from_neonatal,2.1,selected,P-05,"Cross-domain background. Values the changeover-window sessions."
APP-06,2026-08-20,greenhouse_internal,newly_qualified_midwife,0.8,selected,P-06,"Balanced protocol-recall and reflective interest."
APP-07,2026-08-22,greenhouse_internal,rotated_in_from_antenatal,1.5,dissolved,P-07,"Pairing dissolved November 22 2026 by mutual agreement after applicant moved to antenatal ward."
APP-08,2026-08-24,greenhouse_internal,newly_qualified_midwife,0.3,selected,P-08,"Strongest first-round reflective-practice application in cohort."
APP-09,2026-08-25,greenhouse_internal,newly_qualified_midwife,0.6,selected,P-09,"Flagged for review at mid-cycle. Mentor availability thin."
APP-10,2026-08-27,greenhouse_internal,rotated_in_from_postpartum,1.9,selected,P-10,"Case-discussion format cited as most useful."
APP-11,2026-08-28,greenhouse_internal,newly_qualified_midwife,0.4,selected,P-11,"Feedback describes conversations as too protocol-focused. Mentor needs reflective-practice refresh."
APP-12,2026-08-30,greenhouse_internal,rotated_in_from_neonatal,2.4,selected,P-12,"Values changeover-window sessions."
APP-13,2026-08-31,greenhouse_internal,newly_qualified_midwife,0.2,waitlist,,"Applied late in first-round window. Considered for second cohort in 2027."
APP-14,2026-09-01,greenhouse_internal,rotated_in_from_antenatal,1.6,waitlist,,"Strong application. Waitlisted only because first cohort was capped at twelve pairings."
APP-15,2026-09-02,greenhouse_external_referral,newly_qualified_midwife_incoming,0.0,waitlist,,"Referred by Astrid Nilsson from Göteborg Central. Awaiting start date at Västra Götaland."
APP-16,2026-09-03,greenhouse_internal,newly_qualified_midwife,0.5,declined,,"Withdrew after being offered a place. Cited weekend childcare pressures."
APP-17,2026-09-04,greenhouse_internal,rotated_in_from_postpartum,2.7,declined,,"Withdrew citing IBCLC study load."
APP-18,2026-09-06,greenhouse_internal,newly_qualified_midwife,0.9,declined,,"Withdrew after conversation with team lead about shift overlap concerns."
APP-19,2026-09-07,greenhouse_internal,rotated_in_from_antenatal,1.8,not_selected,,"Application incomplete on reflective-practice section. Encouraged to reapply for 2027 cohort."
APP-20,2026-09-08,greenhouse_internal,newly_qualified_midwife,0.6,not_selected,,"Application late. First-round window closed."
APP-21,2026-09-10,greenhouse_internal,newly_qualified_midwife,0.3,not_selected,,"Application indicated a preference for a supervisor rather than a mentor. Not aligned with pilot design."
APP-22,2026-09-11,greenhouse_internal,rotated_in_from_neonatal,3.1,not_selected,,"Applied on the closing day and withdrew before the first review pass."
APP-23,2026-09-12,greenhouse_internal,newly_qualified_midwife,0.4,not_selected,,"Applied to be a mentor rather than a mentee. Retained on the mentor-side reserve list for 2027."
