evidence_log_row_id,study_year,study_type,sample_size,outcome_domain,finding_summary,methodological_weight,used_in_synthesis
EL-0072,2019,prospective_cohort,1420,maternal_perineal_trauma,Reduction in third and fourth degree perineal trauma in water birth cohort versus land birth,A,yes
EL-0074,2014,retrospective_cohort,612,maternal_perineal_trauma,Numerical reduction in severe perineal trauma but confidence interval wide,C,no
EL-0079,2015,case_series,84,water_quality,Descriptive report on pool cleaning cadence in a single-centre setting,C,no
EL-0082,2016,prospective_cohort,940,neonatal_thermoregulation,No significant thermal instability difference at wider temperature range,B,no
EL-0085,2017,systematic_review,3200,maternal_perineal_trauma,Pooled analysis of eight studies pre-2017 supports directional benefit,B,no
EL-0088,2020,randomised_controlled_trial,624,maternal_perineal_trauma,Reduction in third degree trauma statistically significant,A,yes
EL-0089,2022,prospective_cohort,1180,neonatal_infection_72h,No significant difference in early onset infection when exclusion criteria applied,A,yes
EL-0091,2022,prospective_cohort,380,neonatal_infection_beyond_28d,Long horizon follow up limited by sample size,C,partial_held_open
EL-0093,2018,retrospective_cohort,708,postpartum_haemorrhage,No significant PPH difference under standard escalation,B,no
EL-0097,2019,case_control,412,neonatal_thermoregulation,Higher variance in neonatal temperature at wider pool range,B,no
EL-0102,2023,prospective_cohort,1560,neonatal_infection_72h,Confirms no early onset infection difference with exclusion criteria,A,yes
EL-0104,2023,prospective_cohort,890,postpartum_haemorrhage,Second stage duration up to 90 minutes in primiparous cohort not associated with increased PPH,B,yes
EL-0106,2020,systematic_review,4200,water_quality,Reviews infection control practices across European centres,B,no
EL-0110,2022,randomised_controlled_trial,780,maternal_perineal_trauma,Confirms perineal trauma reduction with narrower temperature range,A,yes
EL-0113,2021,case_series,120,neonatal_thermoregulation,Descriptive report from a single unit,C,no
EL-0117,2024,prospective_cohort,2140,neonatal_thermoregulation,Narrower temperature range (36.8-37.5 C) associated with lower thermal instability rates,A,yes
EL-0119,2024,prospective_cohort,1830,maternal_perineal_trauma,Consistent perineal trauma reduction across multi-centre cohort,A,yes
EL-0121,2024,prospective_cohort,1450,neonatal_thermoregulation,Independent replication of narrower range benefit,A,yes
EL-0122,2024,prospective_cohort,1120,postpartum_haemorrhage,Primiparous second stage clarification at 90 minutes not associated with increased PPH,B,yes
EL-0124,2018,case_series,68,water_quality,Anecdotal report on filter maintenance,C,no
EL-0126,2023,prospective_cohort,1370,maternal_perineal_trauma,Perineal trauma reduction confirmed in Nordic setting,A,yes
EL-0128,2025,prospective_cohort,1720,neonatal_infection_72h,No early onset infection difference confirmed with narrower temperature range,A,yes
EL-0130,2025,consensus_document,na,water_quality,European infection control consensus on pool hygiene cadence,A,yes
EL-0132,2016,retrospective_cohort,530,postpartum_haemorrhage,Older cohort with methodological limitations,C,no
EL-0134,2025,systematic_review,5800,neonatal_thermoregulation,Pooled analysis confirms narrower temperature range benefit,A,yes
EL-0135,2025,prospective_cohort,1240,postpartum_haemorrhage,Second stage duration up to 90 minutes primiparous confirmed safe under standard escalation,B,yes
EL-0138,2021,case_control,340,neonatal_thermoregulation,Older study superseded by 2024 cohorts,C,no
EL-0139,2024,prospective_cohort,1610,maternal_perineal_trauma,Meta-analytic replication in Nordic multi-centre setting,A,yes
EL-0141,2025,prospective_cohort,310,neonatal_infection_beyond_28d,Long horizon follow up limited by sample size,C,partial_held_open
EL-0143,2015,commentary,na,water_quality,Editorial commentary not used for synthesis,C,no
EL-0144,2017,prospective_cohort,880,maternal_perineal_trauma,Older study with directional consistency,B,no
EL-0146,2019,retrospective_cohort,1020,neonatal_infection_72h,Older cohort superseded by 2022-2023 studies,B,no
EL-0148,2020,case_series,150,water_quality,Descriptive report,C,no
EL-0150,2022,systematic_review,2900,postpartum_haemorrhage,Pooled analysis of second stage duration and PPH,B,no
EL-0152,2023,case_control,470,neonatal_thermoregulation,Case control weaker than 2024 cohorts,B,no
EL-0155,2024,prospective_cohort,690,neonatal_infection_72h,Confirms no early onset infection difference,B,no
EL-0157,2018,case_series,92,neonatal_infection_beyond_28d,Descriptive only,C,no
EL-0159,2016,prospective_cohort,560,maternal_perineal_trauma,Older cohort superseded,C,no
EL-0161,2021,systematic_review,3400,neonatal_thermoregulation,Pooled analysis mostly pre-2020 studies,B,no
EL-0163,2025,commentary,na,neonatal_infection_beyond_28d,Editorial calls for larger long horizon studies,C,partial_held_open
EL-0165,2022,retrospective_cohort,780,water_quality,Older cadence recommendations,C,no
EL-0168,2026,protocol_registration,na,neonatal_infection_beyond_28d,Registered protocol for planned large cohort not yet reporting,B,no
