Date	Amount	Method	Memo
2025-01-14	400.00	ACH transfer	Monthly support, Mom
2025-02-14	400.00	ACH transfer	Monthly support, Mom
2025-03-14	400.00	ACH transfer	Monthly support, Mom
2025-04-14	400.00	ACH transfer	Monthly support, Mom
2025-05-14	400.00	ACH transfer	Monthly support, Mom
2025-06-14	400.00	ACH transfer	Monthly support, Mom
2025-07-14	400.00	ACH transfer	Monthly support, Mom
2025-08-14	400.00	ACH transfer	Monthly support plus 50 for meds
2025-09-14	450.00	ACH transfer	Monthly support plus 50 for meds
2025-10-14	400.00	ACH transfer	Monthly support, Mom
2025-11-14	400.00	ACH transfer	Monthly support, Mom
2025-12-14	500.00	ACH transfer	Support plus Christmas
2026-01-14	400.00	ACH transfer	Monthly support, Mom
2026-02-14	400.00	ACH transfer	Monthly support, Mom
