Date	Location	Trail	Distance_mi	Duration_min	Pace_min_per_mi	Elevation_ft	Conditions	Notes
2026-01-04	Green Lakes State Park	Morley Loop	4.8	54	11:15	312	Cold, clear	First run of 2026
2026-01-08	Clark Reservation	South Ridge Trail	4.2	48	11:26	285	Overcast 28F	Icy near creek
2026-01-11	Green Lakes State Park	Morley Loop	5.1	57	11:10	318	Clear 22F	Deer near the lake
2026-01-14	Clark Reservation	Full Loop	4.5	50	11:06	290	Snow on trail	Careful on descent
2026-01-18	Green Lakes State Park	Morley Loop + East Shore	6.0	68	11:20	401	Cold windy	Weekend long run
2026-01-22	Clark Reservation	South Ridge Trail	4.2	49	11:40	285	Clear 18F	Birthday run
2026-01-25	Green Lakes State Park	Morley Loop	4.8	53	11:03	312	Overcast	Felt strong
2026-01-29	Clark Reservation	Full Loop	5.0	57	11:24	340	Clear 20F	Good week
2026-02-01	Green Lakes State Park	Morley Loop	4.8	55	11:27	312	Clear cold	
2026-02-05	Clark Reservation	South Ridge Trail	4.2	47	11:11	285	Partly cloudy	Faster today
2026-02-08	Green Lakes State Park	Morley Loop	5.5	63	11:27	355	Clear	Stretched the loop
2026-02-12	Clark Reservation	Full Loop	5.0	56	11:12	340	Sunny 32F	Felt like spring
2026-02-15	Green Lakes State Park	Morley Loop + West Trail	6.2	70	11:17	420	Clear	Pre-Malone morning run
2026-02-19	Clark Reservation	South Ridge Trail	4.2	48	11:26	285	Overcast 26F	
2026-02-22	Green Lakes State Park	Morley Loop	5.0	56	11:12	312	Clear	Jackie ran together - her birthday
2026-02-26	Clark Reservation	Full Loop	4.5	51	11:20	290	Windy 24F	
