sys_id,number,short_description,description,state,priority,assigned_to,opened_by,opened_at,related_incident
sys-prob-1,PRB0001001,Recurring VPN drops,Root cause investigation.,Open,3,it-agent-2,greg,2026-11-03,INC0091255
sys-prob-2,PRB0001002,Problem 0,Root cause analysis.,In Progress,2,it-agent-2,user-0,2026-01-01,
sys-prob-3,PRB0001003,Problem 1,Root cause analysis.,Open,3,it-agent-2,user-1,2026-02-02,
sys-prob-4,PRB0001004,Problem 2,Root cause analysis.,Resolved,3,it-agent-2,user-2,2026-03-03,
sys-prob-5,PRB0001005,Problem 3,Root cause analysis.,In Progress,2,it-agent-2,user-3,2026-04-04,
sys-prob-6,PRB0001006,Problem 4,Root cause analysis.,Resolved,3,it-agent-2,user-4,2026-05-05,
sys-prob-7,PRB0001007,Problem 5,Root cause analysis.,In Progress,2,it-agent-2,user-5,2026-06-06,
sys-prob-8,PRB0001008,Problem 6,Root cause analysis.,Open,3,it-agent-2,user-6,2026-07-07,
sys-prob-9,PRB0001009,Problem 7,Root cause analysis.,In Progress,4,it-agent-2,user-7,2026-08-08,
sys-prob-10,PRB0001010,Problem 8,Root cause analysis.,Open,4,it-agent-2,user-8,2026-09-09,
sys-prob-11,PRB0001011,Problem 9,Root cause analysis.,Open,4,it-agent-2,user-9,2026-10-10,
sys-prob-12,PRB0001012,Problem 10,Root cause analysis.,In Progress,3,it-agent-2,user-10,2026-11-11,
sys-prob-13,PRB0001013,Problem 11,Root cause analysis.,Open,3,it-agent-2,user-11,2026-01-12,
sys-prob-14,PRB0001014,Problem 12,Root cause analysis.,Open,2,it-agent-2,user-12,2026-02-13,
sys-prob-15,PRB0001015,Problem 13,Root cause analysis.,Resolved,3,it-agent-2,user-13,2026-03-14,
sys-prob-16,PRB0001016,Problem 14,Root cause analysis.,In Progress,4,it-agent-2,user-14,2026-04-15,
sys-prob-17,PRB0001017,Problem 15,Root cause analysis.,In Progress,4,it-agent-2,user-15,2026-05-16,
sys-prob-18,PRB0001018,Problem 16,Root cause analysis.,Resolved,3,it-agent-2,user-16,2026-06-17,
sys-prob-19,PRB0001019,Problem 17,Root cause analysis.,Resolved,2,it-agent-2,user-17,2026-07-18,
sys-prob-20,PRB0001020,Problem 18,Root cause analysis.,In Progress,4,it-agent-2,user-18,2026-08-19,
sys-prob-21,PRB0001021,Problem 19,Root cause analysis.,In Progress,3,it-agent-2,user-19,2026-09-20,
sys-prob-22,PRB0001022,Problem 20,Root cause analysis.,Resolved,3,it-agent-2,user-20,2026-10-21,
sys-prob-23,PRB0001023,Problem 21,Root cause analysis.,Open,4,it-agent-2,user-21,2026-11-22,
sys-prob-24,PRB0001024,Problem 22,Root cause analysis.,Resolved,3,it-agent-2,user-22,2026-01-23,
sys-prob-25,PRB0001025,Problem 23,Root cause analysis.,Open,4,it-agent-2,user-23,2026-02-24,
sys-prob-26,PRB0001026,Problem 24,Root cause analysis.,Resolved,2,it-agent-2,user-24,2026-03-25,
sys-prob-27,PRB0001027,Problem 25,Root cause analysis.,Open,4,it-agent-2,user-25,2026-04-26,
sys-prob-28,PRB0001028,Problem 26,Root cause analysis.,In Progress,2,it-agent-2,user-26,2026-05-27,
sys-prob-29,PRB0001029,Problem 27,Root cause analysis.,Open,2,it-agent-2,user-27,2026-06-01,
sys-prob-30,PRB0001030,Problem 28,Root cause analysis.,In Progress,4,it-agent-2,user-28,2026-07-02,
sys-prob-31,PRB0001031,Problem 29,Root cause analysis.,In Progress,4,it-agent-2,user-29,2026-08-03,
sys-prob-32,PRB0001032,Problem 30,Root cause analysis.,In Progress,2,it-agent-2,user-30,2026-09-04,
sys-prob-33,PRB0001033,Problem 31,Root cause analysis.,Open,4,it-agent-2,user-31,2026-10-05,
sys-prob-34,PRB0001034,Problem 32,Root cause analysis.,Open,2,it-agent-2,user-32,2026-11-06,
sys-prob-35,PRB0001035,Problem 33,Root cause analysis.,In Progress,2,it-agent-2,user-33,2026-01-07,
sys-prob-36,PRB0001036,Problem 34,Root cause analysis.,In Progress,3,it-agent-2,user-34,2026-02-08,
sys-prob-37,PRB0001037,Problem 35,Root cause analysis.,In Progress,2,it-agent-2,user-35,2026-03-09,
sys-prob-38,PRB0001038,Problem 36,Root cause analysis.,Resolved,4,it-agent-2,user-36,2026-04-10,
sys-prob-39,PRB0001039,Problem 37,Root cause analysis.,Open,4,it-agent-2,user-37,2026-05-11,
sys-prob-40,PRB0001040,Problem 38,Root cause analysis.,In Progress,4,it-agent-2,user-38,2026-06-12,
sys-prob-41,PRB0001041,Problem 39,Root cause analysis.,Open,2,it-agent-2,user-39,2026-07-13,
sys-prob-42,PRB0001042,Problem 40,Root cause analysis.,Open,3,it-agent-2,user-40,2026-08-14,
sys-prob-43,PRB0001043,Problem 41,Root cause analysis.,Open,4,it-agent-2,user-41,2026-09-15,
sys-prob-44,PRB0001044,Problem 42,Root cause analysis.,Resolved,3,it-agent-2,user-42,2026-10-16,
sys-prob-45,PRB0001045,Problem 43,Root cause analysis.,Open,2,it-agent-2,user-43,2026-11-17,
