id,event_id,name,quantity_total,quantity_sold,cost,fee,free,sales_start,sales_end
tc_madras_open4d,evt_cbra_madras_2026,Open 4D Entry,90,78,8500,320,False,2026-08-12T19:00:00Z,2026-10-18T07:00:00Z
tc_madras_youth,evt_cbra_madras_2026,Youth Entry,60,41,6500,280,False,2026-08-12T19:00:00Z,2026-10-18T07:00:00Z
tc_madras_spectator,evt_cbra_madras_2026,Spectator,70,54,1500,120,False,2026-09-01T19:00:00Z,2026-10-24T17:00:00Z
tc_pendleton_open4d,evt_cbra_pendleton_2026,Open 4D Entry,90,87,8500,320,False,2026-07-01T19:00:00Z,2026-09-14T07:00:00Z
tc_burns_open4d,evt_cbra_burns_2026,Open 4D Entry,80,72,7500,300,False,2026-05-15T19:00:00Z,2026-08-17T07:00:00Z
tc_auto_0001,evt_auto_0163,Vendor Booth,70,65,12000,500,False,2026-07-02T19:00:00.000Z,2026-09-12T07:00:00.000Z
tc_auto_0002,evt_auto_0117,Spectator,80,79,1500,120,False,2025-10-17T19:00:00.000Z,2025-12-18T07:00:00.000Z
tc_auto_0003,evt_auto_0183,Open 4D Entry,100,70,8500,320,False,2026-02-19T19:00:00.000Z,2026-04-16T07:00:00.000Z
tc_auto_0004,evt_auto_0089,Youth Entry,60,45,6500,280,False,2026-03-22T19:00:00.000Z,2026-06-03T07:00:00.000Z
tc_auto_0005,evt_auto_0101,Pee Wee Entry,90,52,4500,200,False,2025-06-27T19:00:00.000Z,2025-09-07T07:00:00.000Z
tc_auto_0006,evt_auto_0066,Spectator,60,41,1500,120,False,2025-04-23T19:00:00.000Z,2025-07-19T07:00:00.000Z
tc_auto_0007,evt_auto_0108,Spectator,70,32,1500,120,False,2025-05-11T19:00:00.000Z,2025-06-23T07:00:00.000Z
tc_auto_0008,evt_auto_0114,Senior 4D Entry,60,53,8000,310,False,2025-11-09T19:00:00.000Z,2026-01-11T07:00:00.000Z
tc_auto_0009,evt_auto_0091,Open 4D Entry,100,76,8500,320,False,2025-08-30T19:00:00.000Z,2025-10-14T07:00:00.000Z
tc_auto_0010,evt_auto_0138,Youth Entry,80,50,6500,280,False,2025-05-13T19:00:00.000Z,2025-07-30T07:00:00.000Z
tc_auto_0011,evt_auto_0186,Senior 4D Entry,80,36,8000,310,False,2026-06-30T19:00:00.000Z,2026-09-24T07:00:00.000Z
tc_auto_0012,evt_auto_0025,Senior 4D Entry,70,46,8000,310,False,2025-06-20T19:00:00.000Z,2025-08-01T07:00:00.000Z
tc_auto_0013,evt_auto_0115,Youth Entry,90,76,6500,280,False,2026-06-25T19:00:00.000Z,2026-09-20T07:00:00.000Z
tc_auto_0014,evt_auto_0140,Youth Entry,100,53,6500,280,False,2025-10-05T19:00:00.000Z,2025-12-06T07:00:00.000Z
tc_auto_0015,evt_auto_0159,Vendor Booth,90,45,12000,500,False,2026-03-21T19:00:00.000Z,2026-05-17T07:00:00.000Z
