id,name,address1,city,region,postal_code,country,latitude,longitude
ven_madras_sage_grounds,Madras Sage Rodeo Grounds,1280 SE Fairgrounds Loop,Madras,OR,97741,US,44.6334,-121.1295
ven_pendleton_grounds,Pendleton Round-Up Grounds,1205 SW Court Ave,Pendleton,OR,97801,US,45.6717,-118.7886
ven_burns_arena,Harney County Fairgrounds,69 W D St,Burns,OR,97720,US,43.5862,-119.0567
ven_redmond_arena,Deschutes County Fair & Expo,3800 SW Airport Way,Redmond,OR,97756,US,44.254,-121.1697
ven_sisters_arena,Sisters Rodeo Grounds,67637 US-20,Sisters,OR,97759,US,44.2901,-121.5236
ven_lapine_arena,La Pine Rodeo Grounds,51615 Huntington Rd,La Pine,OR,97739,US,43.6704,-121.5036
ven_prineville_arena,Crook County Fairgrounds,1280 S Main St,Prineville,OR,97754,US,44.279,-120.8345
ven_auto_001,Culver Event Grounds,5666 Main St,Culver,OR,97734,US,44.5746,-121.175
ven_auto_002,Culver Event Grounds,4943 Main St,Culver,OR,97734,US,44.4825,-121.2259
ven_auto_003,Powell Butte Event Grounds,6640 Main St,Powell Butte,OR,97753,US,44.2935,-120.9876
ven_auto_004,Terrebonne Event Grounds,8194 Main St,Terrebonne,OR,97760,US,44.3365,-121.2074
ven_auto_005,Bend Event Grounds,6409 Main St,Bend,OR,97701,US,44.0891,-121.3066
ven_auto_006,Terrebonne Event Grounds,7995 Main St,Terrebonne,OR,97760,US,44.3727,-121.1823
ven_auto_007,Bend Event Grounds,6019 Main St,Bend,OR,97701,US,44.1056,-121.2671
ven_auto_008,Terrebonne Event Grounds,2500 Main St,Terrebonne,OR,97760,US,44.3492,-121.1852
ven_auto_009,Terrebonne Event Grounds,1240 Main St,Terrebonne,OR,97760,US,44.37,-121.168
ven_auto_010,Bend Event Grounds,8862 Main St,Bend,OR,97701,US,44.0637,-121.2831
ven_auto_011,Powell Butte Event Grounds,189 Main St,Powell Butte,OR,97753,US,44.2887,-120.9425
ven_auto_012,Terrebonne Event Grounds,149 Main St,Terrebonne,OR,97760,US,44.3823,-121.1726
ven_auto_013,Terrebonne Event Grounds,7452 Main St,Terrebonne,OR,97760,US,44.3638,-121.1475
ven_auto_014,Bend Event Grounds,5572 Main St,Bend,OR,97701,US,44.0679,-121.3302
ven_auto_015,Culver Event Grounds,9954 Main St,Culver,OR,97734,US,44.4895,-121.1812
ven_auto_016,Bend Event Grounds,4709 Main St,Bend,OR,97701,US,44.0463,-121.3172
ven_auto_017,Bend Event Grounds,7952 Main St,Bend,OR,97701,US,44.0319,-121.3026
ven_auto_018,Terrebonne Event Grounds,7461 Main St,Terrebonne,OR,97760,US,44.3554,-121.1916
ven_auto_019,Bend Event Grounds,8293 Main St,Bend,OR,97701,US,44.1066,-121.3278
ven_auto_020,Culver Event Grounds,2696 Main St,Culver,OR,97734,US,44.4908,-121.1823
ven_auto_021,Terrebonne Event Grounds,7389 Main St,Terrebonne,OR,97760,US,44.333,-121.1529
ven_auto_022,Powell Butte Event Grounds,8380 Main St,Powell Butte,OR,97753,US,44.2912,-120.9494
ven_auto_023,Culver Event Grounds,648 Main St,Culver,OR,97734,US,44.5599,-121.192
ven_auto_024,Culver Event Grounds,4624 Main St,Culver,OR,97734,US,44.501,-121.2195
ven_auto_025,Bend Event Grounds,3631 Main St,Bend,OR,97701,US,44.0758,-121.3327
ven_auto_026,Powell Butte Event Grounds,5010 Main St,Powell Butte,OR,97753,US,44.2698,-120.9713
ven_auto_027,Terrebonne Event Grounds,1841 Main St,Terrebonne,OR,97760,US,44.3819,-121.1703
ven_auto_028,Culver Event Grounds,1328 Main St,Culver,OR,97734,US,44.551,-121.1822
ven_auto_029,Culver Event Grounds,3815 Main St,Culver,OR,97734,US,44.5706,-121.2302
ven_auto_030,Bend Event Grounds,684 Main St,Bend,OR,97701,US,44.0418,-121.2714
ven_auto_031,Culver Event Grounds,7815 Main St,Culver,OR,97734,US,44.57,-121.2512
ven_auto_032,Terrebonne Event Grounds,927 Main St,Terrebonne,OR,97760,US,44.3061,-121.1554
ven_auto_033,Culver Event Grounds,6103 Main St,Culver,OR,97734,US,44.5598,-121.2482
ven_auto_034,Powell Butte Event Grounds,4159 Main St,Powell Butte,OR,97753,US,44.2605,-120.9781
ven_auto_035,Powell Butte Event Grounds,6468 Main St,Powell Butte,OR,97753,US,44.2814,-120.957
ven_auto_036,Powell Butte Event Grounds,9437 Main St,Powell Butte,OR,97753,US,44.2467,-120.9702
ven_auto_037,Powell Butte Event Grounds,3066 Main St,Powell Butte,OR,97753,US,44.2938,-120.9806
ven_auto_038,Terrebonne Event Grounds,8738 Main St,Terrebonne,OR,97760,US,44.3725,-121.1748
ven_auto_039,Bend Event Grounds,8807 Main St,Bend,OR,97701,US,44.0345,-121.3592
ven_auto_040,Bend Event Grounds,461 Main St,Bend,OR,97701,US,44.0411,-121.2828
ven_auto_041,Culver Event Grounds,1702 Main St,Culver,OR,97734,US,44.4992,-121.2282
ven_auto_042,Bend Event Grounds,8103 Main St,Bend,OR,97701,US,44.0819,-121.3066
ven_auto_043,Culver Event Grounds,5989 Main St,Culver,OR,97734,US,44.5497,-121.1818
ven_auto_044,Terrebonne Event Grounds,2768 Main St,Terrebonne,OR,97760,US,44.3941,-121.2048
ven_auto_045,Powell Butte Event Grounds,742 Main St,Powell Butte,OR,97753,US,44.2,-120.9305
ven_auto_046,Bend Event Grounds,6509 Main St,Bend,OR,97701,US,44.0164,-121.2659
ven_auto_047,Bend Event Grounds,9293 Main St,Bend,OR,97701,US,44.0263,-121.3312
ven_auto_048,Powell Butte Event Grounds,1525 Main St,Powell Butte,OR,97753,US,44.2948,-120.9745
ven_auto_049,Terrebonne Event Grounds,3798 Main St,Terrebonne,OR,97760,US,44.318,-121.2101
ven_auto_050,Bend Event Grounds,5191 Main St,Bend,OR,97701,US,44.0627,-121.2797
ven_auto_051,Terrebonne Event Grounds,5112 Main St,Terrebonne,OR,97760,US,44.3256,-121.1286
ven_auto_052,Bend Event Grounds,9385 Main St,Bend,OR,97701,US,44.0474,-121.3539
ven_auto_053,Culver Event Grounds,8855 Main St,Culver,OR,97734,US,44.5293,-121.255
ven_auto_054,Bend Event Grounds,7622 Main St,Bend,OR,97701,US,44.0405,-121.2688
ven_auto_055,Culver Event Grounds,3331 Main St,Culver,OR,97734,US,44.5086,-121.166
ven_auto_056,Powell Butte Event Grounds,5284 Main St,Powell Butte,OR,97753,US,44.2587,-120.9387
ven_auto_057,Powell Butte Event Grounds,3662 Main St,Powell Butte,OR,97753,US,44.2551,-120.9817
ven_auto_058,Powell Butte Event Grounds,3947 Main St,Powell Butte,OR,97753,US,44.2923,-120.9347
ven_auto_059,Bend Event Grounds,3383 Main St,Bend,OR,97701,US,44.1072,-121.363
ven_auto_060,Bend Event Grounds,7969 Main St,Bend,OR,97701,US,44.1065,-121.329
ven_auto_061,Powell Butte Event Grounds,2942 Main St,Powell Butte,OR,97753,US,44.2484,-121.0145
ven_auto_062,Culver Event Grounds,1291 Main St,Culver,OR,97734,US,44.5633,-121.2435
ven_auto_063,Culver Event Grounds,1377 Main St,Culver,OR,97734,US,44.5208,-121.2082
ven_auto_064,Terrebonne Event Grounds,717 Main St,Terrebonne,OR,97760,US,44.3886,-121.1632
ven_auto_065,Culver Event Grounds,3189 Main St,Culver,OR,97734,US,44.5321,-121.1833
ven_auto_066,Terrebonne Event Grounds,1984 Main St,Terrebonne,OR,97760,US,44.3728,-121.1989
ven_auto_067,Bend Event Grounds,3676 Main St,Bend,OR,97701,US,44.0656,-121.3175
ven_auto_068,Culver Event Grounds,3557 Main St,Culver,OR,97734,US,44.5749,-121.1802
ven_auto_069,Culver Event Grounds,6115 Main St,Culver,OR,97734,US,44.5141,-121.2547
ven_auto_070,Terrebonne Event Grounds,2059 Main St,Terrebonne,OR,97760,US,44.3258,-121.1295
ven_auto_071,Culver Event Grounds,2096 Main St,Culver,OR,97734,US,44.5075,-121.1757
ven_auto_072,Powell Butte Event Grounds,1819 Main St,Powell Butte,OR,97753,US,44.2175,-120.9775
