Date	Store	Category	Key_Items	Total	Payment	Notes
2025-10-04	Kessler's	Weekly groceries	Eggs, bread, chicken breast, tomato soup, bananas, saltines, cheddar cheese, coffee grounds	$78.42	Visa 4477	
2025-10-11	Kessler's	Weekly groceries	Pork chops, canned soup, potatoes, carrots, onions, milk, butter, apple juice	$82.17	Visa 4477	
2025-10-18	Walmart	Weekly groceries and supplies	Cereal, orange juice, toilet paper, paper towels, chicken thighs, frozen peas, bread, canned beans	$91.33	Visa 4477	Paper goods needed
2025-10-25	Kessler's	Weekly groceries	Ground beef, hamburger buns, lettuce, tomato, cheese, chips, Coke (6-pack), apples	$68.90	Visa 4477	
2025-11-01	Kessler's	Weekly groceries	Chicken soup ingredients, crackers, oatmeal, bananas, coffee, cheddar, eggs, bread	$74.50	Cash	
2025-11-08	Kessler's	Weekly groceries	Pork roast, canned corn, canned green beans, potatoes, onions, garlic, apple	$77.80	Visa 4477	
2025-11-15	Walmart	Weekly groceries and household	Cleaning supplies, laundry detergent, eggs, bread, soup variety pack, cereal, bananas	$98.44	Visa 4477	Stocked up
2025-11-22	Kessler's	Thanksgiving groceries	Turkey breast, stuffing mix, canned cranberry, yams, butter, cream, rolls, pumpkin pie	$112.30	Visa 4477	Thanksgiving week shop
2025-11-29	Kessler's	Weekly groceries	Eggs, coffee, bread, soup, apples, saltines, cheddar, lunch meat	$65.20	Visa 4477	Quiet week after holiday
2025-12-06	Kessler's	Weekly groceries	Chicken, potatoes, carrots, onion soup mix, baking goods, butter, milk	$79.10	Visa 4477	
2025-12-13	Kessler's	Weekly groceries	Beef roast (pot roast for Christmas), vegetables, eggs, bread, coffee, cheddar	$84.60	Visa 4477	
2025-12-20	Walmart	Christmas grocery run	Chuck roast 4 lb, carrots, celery, potatoes, onions, rolls, butter, apple cider, cookies for Karen kids	$131.40	Visa 4477	Christmas dinner supplies
2025-12-27	Kessler's	Post-Christmas groceries	Soup, bread, eggs, coffee, apples, crackers, cheese	$61.80	Cash	Quiet week
