id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
lin_001,HOME-12,12,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,3,2,state_backlog,user_midori,team_home,,,,,100,midori/home-12-shed-stain,2026-09-04T08:00:00Z,2026-10-12T08:00:00Z,,,
lin_002,HOME-13,13,Get firewood delivered before snow,Order 2 cords from Cascade Firewood,2,3,state_todo,user_midori,team_home,,,,,200,midori/home-13-firewood,2026-09-08T08:00:00Z,2026-10-19T08:00:00Z,,,
lin_003,HOME-14,14,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,2,2,state_todo,user_midori,team_home,,,,,300,midori/home-14-plow-blade,2026-09-18T08:00:00Z,2026-10-12T08:00:00Z,,,
lin_004,GRE-04,4,Book test seat - March 28,Reserve ETS slot in Portland morning,1,1,state_done,user_midori,team_gre,,,,2026-03-28,400,midori/gre-04-book-seat,2026-08-12T08:00:00Z,2026-08-22T08:00:00Z,2026-08-12T09:00:00Z,2026-08-22T07:30:00Z,
lin_005,GRE-08,8,PowerPrep 1 - timed,Sunday morning timed practice test,2,5,state_in_progress,user_midori,team_gre,,,,2026-12-05,500,midori/gre-08-powerprep-1,2026-10-04T08:00:00Z,2026-10-22T08:00:00Z,2026-10-19T07:00:00Z,,
lin_011,HOME-11,11,Renew vet tech license,Submit CE hours and renewal fee,2,4,state_backlog,user_midori,team_home,,,,2025-11-04,1100,midori/home-11-renew-vet,2025-10-20T08:00:00.000Z,2025-12-11T08:00:00.000Z,,,
lin_012,HOME-12,12,Fix barn gutter,Replace bent section on east side,3,1,state_todo,user_midori,team_home,,,,2025-11-07,1200,midori/home-12-fix-barn,2025-10-29T08:00:00.000Z,2026-05-03T08:00:00.000Z,,,
lin_013,HOME-13,13,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,3,4,state_done,user_midori,team_home,,,,,1300,midori/home-13-schedule-shed,2025-11-09T08:00:00.000Z,2026-04-25T08:00:00.000Z,2025-11-10T09:00:00.000Z,2026-04-25T07:30:00.000Z,
lin_014,HOME-14,14,Fix barn gutter,Replace bent section on east side,1,1,state_done,user_midori,team_home,,,,,1400,midori/home-14-fix-barn,2025-11-04T08:00:00.000Z,2026-08-02T08:00:00.000Z,2025-11-05T09:00:00.000Z,2026-08-02T07:30:00.000Z,
lin_015,HOME-15,15,Winterize trailer,"Drain water, check tires, grease bearings",4,2,state_todo,user_midori,team_home,,,,2026-02-26,1500,midori/home-15-winterize-trailer,2026-01-31T08:00:00.000Z,2026-02-07T08:00:00.000Z,,,
lin_016,GRE-16,16,Manhattan 5lb - quant ch 12,Sections 12.1-12.4 ratios/percent,1,5,state_todo,user_midori,team_gre,,,,2026-06-08,1600,midori/gre-16-manhattan-5lb,2026-05-15T08:00:00.000Z,2026-09-28T08:00:00.000Z,,,
lin_017,GRE-17,17,Reading comp drills,3 passages timed,1,2,state_done,user_midori,team_gre,,,,2026-05-25,1700,midori/gre-17-reading-comp,2026-05-16T08:00:00.000Z,2026-09-11T08:00:00.000Z,2026-05-17T09:00:00.000Z,2026-09-11T07:30:00.000Z,
