id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
1,Red Rock loop segment,Run,1054,3.0,22.15,2501,1914,0,Gallup,NM
2,Copper trail segment,Hike,1043,10.42,4.96,2914,2219,4,Gallup,NM
3,Red Rock loop segment,Hike,833,7.33,5.9,2331,2002,3,Gallup,NM
4,El Malpais boundary hike segment,Hike,3089,10.63,9.45,2593,2021,0,Gallup,NM
5,El Malpais boundary hike segment,Hike,2479,1.7,20.75,1862,1591,1,Gallup,NM
6,Red Rock loop segment,Run,1867,7.62,4.45,1886,2315,4,Gallup,NM
7,Copper trail segment,Hike,1279,1.16,9.84,2192,1541,3,Gallup,NM
8,Zuni Mountains ridge line segment,Hike,870,8.36,11.12,2810,1664,0,Gallup,NM
9,Zuni Mountains ridge line segment,Hike,2285,11.28,21.53,2656,1741,3,Gallup,NM
10,El Malpais boundary hike segment,Hike,3680,3.4,23.14,2968,2177,1,Gallup,NM
11,Church Rock hike segment,Run,1089,5.57,20.89,2951,1734,3,Gallup,NM
12,Kai training run segment,Hike,2208,8.85,8.33,2267,1651,0,Gallup,NM
13,Gallup dawn 5k segment,Hike,3250,4.25,9.07,2739,1722,2,Gallup,NM
14,Church Rock hike segment,Run,649,11.08,7.95,2016,2015,1,Gallup,NM
15,Zuni Mountains ridge line segment,Run,3260,11.84,23.88,2955,1704,1,Gallup,NM
16,Sunday morning walk segment,Run,3554,9.87,5.54,2007,1900,3,Gallup,NM
17,Kai training run segment,Run,2104,3.75,8.29,1827,1922,4,Gallup,NM
18,El Malpais boundary hike segment,Hike,2342,1.35,5.08,2564,2166,0,Gallup,NM
19,El Malpais boundary hike segment,Hike,1348,4.61,13.81,1846,2007,4,Gallup,NM
20,Zuni Mountains ridge line segment,Hike,657,5.15,9.61,1904,2368,1,Gallup,NM
21,Fort Wingate trail segment,Run,2158,10.16,8.02,2137,1967,4,Gallup,NM
22,El Malpais boundary hike segment,Hike,2696,1.61,14.97,2616,1726,3,Gallup,NM
23,Church Rock hike segment,Run,646,8.2,22.13,2867,2260,0,Gallup,NM
24,Bluewater Lake loop segment,Hike,2839,7.97,21.4,2437,1905,0,Gallup,NM
25,Copper trail segment,Hike,2347,10.63,15.86,1898,2257,2,Gallup,NM
26,Gallup dawn 5k segment,Hike,2874,3.06,16.15,2572,2326,3,Gallup,NM
27,Church Rock hike segment,Run,2293,7.92,14.53,2252,2097,2,Gallup,NM
28,Gallup dawn 5k segment,Run,1756,1.82,18.44,2019,2099,4,Gallup,NM
29,Gallup dawn 5k segment,Run,1041,8.58,11.78,2089,1793,4,Gallup,NM
30,Zuni Mountains ridge line segment,Run,2759,11.42,9.89,2578,2399,0,Gallup,NM
31,Fort Wingate trail segment,Hike,3201,9.9,17.79,2995,1670,2,Gallup,NM
32,Red Rock loop segment,Run,3383,8.3,8.37,2868,1824,1,Gallup,NM
33,Church Rock hike segment,Run,1996,3.69,22.33,1979,1850,1,Gallup,NM
34,Gallup dawn 5k segment,Run,1895,1.64,18.52,2213,1958,2,Gallup,NM
35,Zuni Mountains ridge line segment,Run,1813,2.38,16.5,2099,2433,4,Gallup,NM
36,El Malpais boundary hike segment,Hike,1708,10.4,20.14,2332,1738,0,Gallup,NM
37,El Malpais boundary hike segment,Run,3991,4.92,7.28,2854,1807,1,Gallup,NM
38,El Malpais boundary hike segment,Hike,3144,1.32,14.73,2332,1731,0,Gallup,NM
39,Sunday morning walk segment,Run,2762,9.63,13.27,2804,1937,4,Gallup,NM
40,Gallup dawn 5k segment,Hike,2896,1.17,11.92,2183,1961,2,Gallup,NM
41,Bluewater Lake loop segment,Hike,1798,11.32,5.05,2299,2258,2,Gallup,NM
42,Sunday morning walk segment,Hike,3532,10.26,6.28,2140,2317,1,Gallup,NM
43,Sunday morning walk segment,Run,3267,6.19,9.4,2483,1513,1,Gallup,NM
44,Sunday morning walk segment,Run,1206,1.04,16.53,2005,1510,3,Gallup,NM
45,Gallup dawn 5k segment,Hike,3269,11.67,10.51,2436,2155,0,Gallup,NM
46,Zuni Mountains ridge line segment,Run,2010,7.14,19.74,1841,1944,3,Gallup,NM
47,Copper trail segment,Hike,1275,5.48,9.49,2158,1765,0,Gallup,NM
48,Red Rock loop segment,Hike,2205,4.34,14.45,1896,2018,1,Gallup,NM
49,Gallup dawn 5k segment,Hike,3967,9.13,10.98,2185,1536,4,Gallup,NM
50,Red Rock loop segment,Hike,2438,8.08,17.51,2831,2199,1,Gallup,NM
51,El Malpais boundary hike segment,Hike,1252,1.23,10.17,2069,2034,1,Gallup,NM
52,Copper trail segment,Run,2117,4.5,9.36,2963,2207,2,Gallup,NM
53,Kai training run segment,Run,1564,10.59,15.01,2195,2232,3,Gallup,NM
54,Red Rock loop segment,Hike,3385,1.97,5.63,2192,2498,0,Gallup,NM
55,Church Rock hike segment,Hike,2464,4.81,17.21,1877,2268,0,Gallup,NM
56,Sunday morning walk segment,Hike,3519,2.54,13.76,1984,1872,3,Gallup,NM
57,Kai training run segment,Hike,3783,4.38,22.71,2048,1608,2,Gallup,NM
58,Bluewater Lake loop segment,Run,3772,5.96,16.71,2035,2123,4,Gallup,NM
59,Gallup dawn 5k segment,Run,3841,6.58,12.43,2792,1589,2,Gallup,NM
60,Zuni Mountains ridge line segment,Hike,1535,9.4,16.97,2549,1797,3,Gallup,NM
61,Sunday morning walk segment,Run,3810,5.19,17.67,2542,2474,1,Gallup,NM
62,Gallup dawn 5k segment,Run,2326,5.98,19.57,2514,1551,4,Gallup,NM
63,Copper trail segment,Run,1467,10.47,11.31,2085,1833,2,Gallup,NM
64,Gallup dawn 5k segment,Hike,1247,7.13,22.77,1862,2144,0,Gallup,NM
65,Bluewater Lake loop segment,Run,2513,1.37,18.21,2613,1914,4,Gallup,NM
66,Sunday morning walk segment,Hike,3631,7.49,13.03,2302,1966,3,Gallup,NM
67,Fort Wingate trail segment,Hike,1213,7.43,21.3,2062,1995,1,Gallup,NM
68,Kai training run segment,Run,698,10.93,15.62,2128,1561,4,Gallup,NM
69,Fort Wingate trail segment,Hike,760,6.09,22.53,2987,2490,0,Gallup,NM
70,Church Rock hike segment,Hike,571,5.46,16.44,2663,2317,2,Gallup,NM
71,Fort Wingate trail segment,Hike,2891,7.36,14.43,2537,2023,2,Gallup,NM
72,Bluewater Lake loop segment,Run,621,2.85,17.79,2593,1875,3,Gallup,NM
73,Kai training run segment,Run,2503,1.4,10.73,2231,1621,1,Gallup,NM
74,Sunday morning walk segment,Hike,2486,6.75,21.84,2020,1698,4,Gallup,NM
75,Red Rock loop segment,Hike,1858,5.16,10.24,1874,2415,2,Gallup,NM
76,Gallup dawn 5k segment,Hike,2527,2.17,22.96,2679,2285,1,Gallup,NM
77,Fort Wingate trail segment,Run,649,11.46,12.34,2586,2225,3,Gallup,NM
78,Copper trail segment,Hike,959,1.61,4.28,2029,1627,3,Gallup,NM
79,Copper trail segment,Run,2239,8.91,14.67,2159,2053,4,Gallup,NM
80,Fort Wingate trail segment,Hike,695,6.45,16.71,2843,2077,1,Gallup,NM
81,Red Rock loop segment,Run,3901,1.88,9.85,1895,2478,0,Gallup,NM
82,Gallup dawn 5k segment,Hike,2664,5.65,22.22,2531,2003,2,Gallup,NM
