purchase_date	customer_id	title_purchased	category	qty	unit_price_sek	subtotal_sek	payment_method	discount_pct	staff_note
2024-01-10	CUST-175	Mio min Mio	Children	1	199	199	Kort	0	
2024-01-20	CUST-050	The White Book	International	3	269	807	Kort	0	
2024-01-30	CUST-096	Selected Poems	Poetry	1	319	319	Kort	0	
2024-01-31	CUST-077	Selected Poems	Poetry	1	279	279	Kort	0	recommendation
2024-02-09	CUST-150	Den svenska historien	Non-fiction	1	239	239	Kort	0	request
2024-02-14	CUST-035	The Very Hungry Caterpillar	Children	1	215	215	Kort	0	regular
2024-02-17	CUST-120	Mumin och havet	Children	1	269	269	Kort	0	
2024-02-17	CUST-179	Andra ord	Literary Fiction	1	289	289	Swish	0	request
2024-02-21	CUST-039	The Iliad	International	1	319	319	Kort	0	recommendation
2024-02-29	CUST-091	Leva med forlust	Non-fiction	1	199	199	Kort	0	recommendation
2024-03-01	CUST-103	Nattetid	Poetry	2	159	318	Kort	0	
2024-03-02	CUST-059	Convenience Store Woman	International	1	329	329	Kort	0	recommendation
2024-03-08	CUST-169	Selected Poems	Poetry	2	249	498	Kort	0	
2024-03-09	CUST-049	The Story of a New Name	International	1	215	215	Swish	0	
2024-03-12	CUST-028	My Brilliant Friend	International	2	319	574	Kort	10	
2024-03-12	CUST-123	The Gruffalo	Children	3	239	645	Kort	10	recommendation
2024-03-13	CUST-083	Mumin och havet	Children	1	349	349	Swish	0	request
2024-03-19	CUST-055	The Corrections	Literary Fiction	1	249	249	Kort	0	
2024-03-26	CUST-044	Andra ord	Literary Fiction	2	179	358	Kort	0	
2024-03-27	CUST-021	Drömfakulteten	Literary Fiction	1	299	299	Kort	0	
2024-03-28	CUST-056	Tingens ordning	Literary Fiction	1	229	229	Kort	0	
2024-03-29	CUST-068	A Little Life	Literary Fiction	1	269	242	Kort	10	regular
2024-04-06	CUST-006	The Vegetarian	International	2	349	628	Kort	10	
2024-04-09	CUST-089	Alfons Aberg	Children	3	249	672	Kort	10	recommendation
2024-04-13	CUST-073	Nattetid	Poetry	1	279	251	Kort	10	request
2024-04-16	CUST-106	Vinterviken	Literary Fiction	2	279	558	Kort	0	request
2024-04-16	CUST-039	The Iliad	International	1	289	289	Kort	0	
2024-04-17	CUST-065	Stadsvandringar i Uppsala	Non-fiction	1	159	159	Kort	0	
2024-04-19	CUST-032	Emil i Lonneberga	Children	1	239	239	Swish	0	
2024-04-19	CUST-003	Pedro Paramo	International	1	179	179	Swish	0	request
2024-04-20	CUST-062	Tingens ordning	Literary Fiction	1	229	229	Kort	0	
2024-04-20	CUST-152	Drift	Poetry	1	199	199	Kort	0	gift
2024-04-23	CUST-052	Circe	International	1	349	349	Swish	0	request
2024-04-25	CUST-073	Eremit	Poetry	2	249	498	Swish	0	
2024-04-26	CUST-173	Just Kids	Non-fiction	1	279	279	Kort	0	regular
2024-04-30	CUST-151	Educated	Non-fiction	1	289	289	Kort	0	regular
2024-04-30	CUST-025	Kafka on the Shore	International	1	239	239	Swish	0	regular
2024-05-04	CUST-020	The Body Keeps the Score	Non-fiction	1	229	229	Kort	0	regular
2024-05-07	CUST-104	The White Book	International	1	239	239	Kort	0	gift
2024-05-08	CUST-160	Leva med forlust	Non-fiction	1	329	329	Kort	0	
2024-05-08	CUST-057	Emil i Lonneberga	Children	3	269	807	Kort	0	gift
2024-05-09	CUST-048	The Buried Giant	Literary Fiction	2	269	484	Swish	10	
2024-05-10	CUST-060	Den svenska historien	Non-fiction	1	289	289	Kort	0	request
2024-05-16	CUST-060	Karlsson pa taket	Children	1	319	319	Kort	0	request
2024-05-17	CUST-021	Glansen	Literary Fiction	2	239	478	Kort	0	gift
2024-05-22	CUST-078	The Gruffalo	Children	2	229	412	Swish	10	regular
2024-05-25	CUST-124	Kafka on the Shore	International	1	229	229	Kort	0	
2024-05-31	CUST-047	The Memory Police	International	1	229	229	Kort	0	
2024-06-05	CUST-014	The Sun and Her Flowers	Poetry	1	189	189	Swish	0	recommendation
2024-06-07	CUST-139	Kafka on the Shore	International	1	239	239	Kort	0	
2024-06-08	CUST-067	Convenience Store Woman	International	1	269	269	Kort	0	request
2024-06-15	CUST-018	The Corrections	Literary Fiction	1	289	289	Kort	0	regular
2024-06-19	CUST-100	Human Acts	International	1	299	299	Swish	0	recommendation
2024-06-19	CUST-076	Stadsvandringar i Uppsala	Non-fiction	1	289	289	Kort	0	gift
2024-06-19	CUST-050	Tingens ordning	Literary Fiction	2	179	358	Kort	0	
2024-06-19	CUST-127	Leva med forlust	Non-fiction	1	319	287	Swish	10	request
2024-06-20	CUST-033	Mumin och havet	Children	2	189	378	Kontant	0	
2024-06-20	CUST-030	Mumin och havet	Children	1	329	329	Kort	0	
2024-06-22	CUST-119	Dikter	Poetry	3	179	483	Kort	10	regular
2024-06-28	CUST-069	Milk and Honey	Poetry	3	299	897	Kort	0	
2024-07-02	CUST-177	Kafka on the Shore	International	1	349	349	Kort	0	
2024-07-04	CUST-176	Stadsvandringar i Uppsala	Non-fiction	1	239	239	Kort	0	request
2024-07-09	CUST-006	Normal People	Literary Fiction	2	199	398	Swish	0	regular
2024-07-19	CUST-129	Kafka on the Shore	International	1	349	349	Kort	0	regular
2024-07-23	CUST-057	Andra ord	Literary Fiction	1	229	229	Kort	0	
2024-07-26	CUST-032	The White Book	International	2	179	358	Swish	0	regular
2024-07-26	CUST-056	Beautiful World Where Are You	Literary Fiction	1	179	179	Kontant	0	
2024-07-30	CUST-027	Just Kids	Non-fiction	1	229	229	Kort	0	
2024-07-31	CUST-139	Eremit	Poetry	1	159	159	Kort	0	
2024-07-31	CUST-004	The Gruffalo	Children	1	269	269	Kort	0	request
2024-08-01	CUST-046	Stadsvandringar i Uppsala	Non-fiction	1	239	239	Swish	0	regular
2024-08-01	CUST-134	The Vegetarian	International	1	189	189	Kort	0	recommendation
2024-08-02	CUST-023	Inuti labyrinten	Poetry	1	329	296	Kort	10	gift
2024-08-14	CUST-073	Milk and Honey	Poetry	2	249	498	Swish	0	gift
2024-08-16	CUST-114	A Little Life	Literary Fiction	1	299	299	Kort	0	
2024-08-16	CUST-173	Educated	Non-fiction	2	159	318	Kort	0	
2024-08-21	CUST-180	Just Kids	Non-fiction	2	279	502	Kort	10	recommendation
2024-08-23	CUST-105	Tystnadens geografi	Non-fiction	2	249	498	Kort	0	request
2024-08-24	CUST-099	Den svenska historien	Non-fiction	2	179	358	Kort	0	
2024-08-27	CUST-157	Mio min Mio	Children	1	159	143	Kort	10	
2024-08-29	CUST-120	Becoming	Non-fiction	1	349	349	Kort	0	
2024-08-30	CUST-114	The Vegetarian	International	2	319	638	Kort	0	
2024-08-31	CUST-153	Tystnadens geografi	Non-fiction	2	249	498	Swish	0	gift
2024-08-31	CUST-031	The Vegetarian	International	3	279	837	Kontant	0	
2024-09-05	CUST-080	Karlsson pa taket	Children	1	279	279	Swish	0	regular
2024-09-06	CUST-064	The Sun and Her Flowers	Poetry	1	189	189	Kort	0	recommendation
2024-09-12	CUST-018	Emil i Lonneberga	Children	1	329	329	Kort	0	
2024-09-13	CUST-026	Leva med forlust	Non-fiction	2	199	398	Kort	0	gift
2024-09-19	CUST-119	Pippi Langstrump	Children	2	269	538	Kort	0	gift
2024-10-01	CUST-073	Sapiens	Non-fiction	1	349	349	Kort	0	request
2024-10-01	CUST-079	A Gentleman in Moscow	International	2	249	498	Kort	0	regular
2024-10-10	CUST-009	Kafka on the Shore	International	3	215	645	Kort	0	gift
2024-10-16	CUST-063	Human Acts	International	1	289	289	Kort	0	
2024-10-18	CUST-039	Ronia the Robber's Daughter	Literary Fiction	2	279	558	Swish	0	
2024-10-19	CUST-008	Year of Magical Thinking	Non-fiction	2	179	358	Kort	0	
2024-10-24	CUST-042	Mio min Mio	Children	2	249	448	Kort	10	
2024-10-25	CUST-141	The Story of a New Name	International	2	299	598	Swish	0	regular
2024-10-26	CUST-180	Convenience Store Woman	International	1	249	249	Kort	0	gift
2024-10-31	CUST-101	The Sun and Her Flowers	Poetry	1	269	242	Kort	10	request
2024-10-31	CUST-142	Where the Wild Things Are	Children	1	229	229	Kort	0	
2024-11-08	CUST-045	The Very Hungry Caterpillar	Children	2	349	698	Kort	0	recommendation
2024-11-09	CUST-143	The Very Hungry Caterpillar	Children	1	189	189	Kort	0	recommendation
2024-11-09	CUST-089	The Sun and Her Flowers	Poetry	1	319	319	Kort	0	gift
2024-11-15	CUST-164	Human Acts	International	2	215	430	Kort	0	request
2024-11-16	CUST-005	Sapiens	Non-fiction	2	239	478	Kort	0	
2024-11-26	CUST-032	Crush	Poetry	3	279	837	Kort	0	request
2024-11-27	CUST-092	One Hundred Years of Solitude	International	2	159	318	Kort	0	request
2024-11-27	CUST-164	Becoming	Non-fiction	2	179	358	Kort	0	
2024-12-04	CUST-065	Drömfakulteten	Literary Fiction	1	159	159	Swish	0	
2024-12-07	CUST-061	Mumin och havet	Children	2	199	398	Swish	0	
2024-12-07	CUST-179	Where the Wild Things Are	Children	1	229	229	Kort	0	
2024-12-13	CUST-034	Where the Wild Things Are	Children	1	299	299	Kort	0	
2024-12-20	CUST-013	One Hundred Years of Solitude	International	1	239	239	Kort	0	request
2024-12-21	CUST-123	Emil i Lonneberga	Children	1	249	249	Kort	0	
2024-12-26	CUST-039	Leva med forlust	Non-fiction	2	299	598	Swish	0	request
2024-12-28	CUST-058	The Corrections	Literary Fiction	2	229	458	Swish	0	
2025-01-01	CUST-074	Goliat	Literary Fiction	1	159	159	Swish	0	
2025-01-01	CUST-151	A Little Life	Literary Fiction	2	299	598	Kort	0	recommendation
2025-01-10	CUST-044	One Hundred Years of Solitude	International	2	249	498	Kort	0	
2025-01-16	CUST-016	Educated	Non-fiction	1	189	189	Kort	0	
2025-01-17	CUST-128	The Gruffalo	Children	1	199	199	Swish	0	
2025-01-21	CUST-070	Mumin och havet	Children	1	189	189	Kort	0	regular
2025-01-21	CUST-052	Stadsvandringar i Uppsala	Non-fiction	1	269	269	Swish	0	recommendation
2025-01-29	CUST-140	Mio min Mio	Children	1	299	299	Kort	0	
2025-02-07	CUST-017	Vinterviken	Literary Fiction	1	215	215	Kort	0	
2025-02-07	CUST-093	Mio min Mio	Children	2	215	430	Kort	0	gift
2025-02-11	CUST-152	Mumin och havet	Children	3	329	987	Swish	0	
2025-02-12	CUST-057	Beautiful World Where Are You	Literary Fiction	3	329	987	Swish	0	gift
2025-02-13	CUST-103	Karlsson pa taket	Children	2	229	412	Kort	10	
2025-02-14	CUST-164	Circe	International	1	215	215	Kort	0	request
2025-02-15	CUST-167	A Gentleman in Moscow	International	1	319	319	Kort	0	regular
2025-02-21	CUST-103	The Buried Giant	Literary Fiction	1	179	179	Kort	0	recommendation
2025-02-22	CUST-013	Ariel	Poetry	2	299	598	Kort	0	recommendation
2025-03-06	CUST-073	Klara and the Sun	Literary Fiction	2	319	638	Kort	0	
2025-03-12	CUST-008	Andra ord	Literary Fiction	1	229	229	Kort	0	
2025-03-13	CUST-090	Kafka on the Shore	International	1	279	279	Kort	0	regular
2025-03-14	CUST-119	The Story of a New Name	International	1	239	239	Swish	0	
2025-03-19	CUST-054	Ronia the Robber's Daughter	Literary Fiction	1	319	319	Kontant	0	
2025-03-19	CUST-080	Klara and the Sun	Literary Fiction	1	329	329	Kort	0	request
2025-03-22	CUST-073	Dikter	Poetry	2	179	358	Kort	0	
2025-03-25	CUST-051	The Vegetarian	International	1	199	199	Kort	0	regular
2025-03-25	CUST-001	Klara and the Sun	Literary Fiction	1	279	251	Kort	10	gift
2025-03-25	CUST-094	Kafka on the Shore	International	1	189	189	Swish	0	
2025-03-28	CUST-029	Normal People	Literary Fiction	1	189	189	Kort	0	
2025-04-01	CUST-128	Kafka on the Shore	International	3	289	867	Kort	0	regular
2025-04-02	CUST-095	Circe	International	1	279	279	Kort	0	
2025-04-09	CUST-098	Hamnet	Literary Fiction	1	349	349	Swish	0	
2025-04-09	CUST-048	Stadsvandringar i Uppsala	Non-fiction	1	179	179	Kort	0	regular
2025-04-11	CUST-038	Goliat	Literary Fiction	1	279	279	Kort	0	
2025-04-12	CUST-110	Selected Poems	Poetry	2	239	430	Kontant	10	request
2025-04-15	CUST-061	The Body Keeps the Score	Non-fiction	1	215	215	Swish	0	regular
2025-04-17	CUST-034	Eremit	Poetry	1	349	349	Kort	0	
2025-04-19	CUST-070	The White Book	International	2	229	458	Kort	0	
2025-04-25	CUST-063	Ronia the Robber's Daughter	Literary Fiction	1	189	189	Swish	0	
2025-04-25	CUST-096	Where the Wild Things Are	Children	1	215	215	Swish	0	request
2025-04-29	CUST-175	One Hundred Years of Solitude	International	2	215	430	Swish	0	regular
2025-05-07	CUST-081	Ronia the Robber's Daughter	Literary Fiction	1	289	260	Kort	10	
2025-05-08	CUST-090	Milk and Honey	Poetry	1	179	179	Kort	0	
2025-05-09	CUST-044	The Body Keeps the Score	Non-fiction	1	239	215	Kort	10	
2025-05-09	CUST-059	Normal People	Literary Fiction	1	299	299	Kort	0	
2025-05-13	CUST-173	Where the Wild Things Are	Children	1	319	319	Swish	0	request
2025-05-14	CUST-033	The Sun and Her Flowers	Poetry	2	329	592	Swish	10	request
2025-05-20	CUST-089	The Gruffalo	Children	1	229	206	Kort	10	
2025-05-21	CUST-096	Pachinko	Literary Fiction	2	199	398	Swish	0	
2025-05-22	CUST-019	The Body Keeps the Score	Non-fiction	1	189	189	Kontant	0	
2025-05-22	CUST-065	The Buried Giant	Literary Fiction	1	239	239	Kort	0	recommendation
2025-05-23	CUST-011	Stadsvandringar i Uppsala	Non-fiction	1	239	239	Kort	0	
2025-05-24	CUST-126	The Vegetarian	International	1	239	239	Kort	0	regular
2025-05-24	CUST-018	The Gruffalo	Children	2	329	658	Kort	0	
2025-05-27	CUST-062	En man som heter Ove	Literary Fiction	1	179	179	Swish	0	gift
2025-06-03	CUST-014	Beautiful World Where Are You	Literary Fiction	2	299	598	Kort	0	regular
2025-06-05	CUST-016	Klara and the Sun	Literary Fiction	2	329	658	Swish	0	recommendation
2025-06-06	CUST-061	Lansen	Children	2	229	458	Kort	0	gift
2025-06-07	CUST-061	Vinterviken	Literary Fiction	1	239	239	Kort	0	
2025-06-10	CUST-086	Mumin och havet	Children	1	319	319	Kort	0	
2025-06-10	CUST-112	The Buried Giant	Literary Fiction	1	239	239	Kort	0	
2025-06-21	CUST-154	Den svenska historien	Non-fiction	1	229	229	Swish	0	recommendation
2025-06-28	CUST-165	The White Book	International	1	319	319	Kort	0	
2025-07-04	CUST-011	Stadsvandringar i Uppsala	Non-fiction	1	299	299	Kort	0	recommendation
2025-07-05	CUST-015	Selected Poems	Poetry	1	249	249	Kort	0	request
2025-07-08	CUST-164	The Iliad	International	3	249	747	Kort	0	
2025-07-15	CUST-116	Lansen	Children	2	279	558	Kort	0	regular
2025-07-26	CUST-037	The Body Keeps the Score	Non-fiction	3	179	537	Kort	0	
2025-07-31	CUST-031	Normal People	Literary Fiction	1	329	329	Kort	0	gift
