event_date	event_title	author_name	publisher	format	rsvp_count	actual_attendance	no_shows	door_count	author_fee_sek	catering_cost_sek	equipment_sek	door_sales_sek	net_result_sek	notes
2019-02-14	Valentinkvalll med poesi	Sara Stridsberg	Norstedts	Poetry night	32	29	3	5	3500	1000	800	2119	-3181	Technical issue with mic
2019-04-09	Vardagens skonhet - essaer	Karin Larsson	Wahlstrom Widstrand	Solo reading	24	18	6	8	2500	1500	0	3165	-835	
2019-06-11	Sommarlasning - panelsamtal	Anders Lilja	Piratforlaget	Panel discussion	28	24	4	8	0	1500	300	1109	-691	
2019-09-17	Hostens bocker - presentationer	Nora Clement	Alfabeta	Solo reading	35	27	8	3	4000	1500	500	3871	-2129	Co-hosted with Uppsala Uni
2019-10-22	Krimlansering - signeringskvalll	Sofia Nyman	Ekblad Forlag	Book launch	41	34	7	7	5500	1500	300	2140	-5160	Popular event - waiting list
2019-11-19	Poesikvall med gastforfattare	Multiple	Various	Poetry night	22	20	2	3	1500	2000	300	3400	-400	
2020-01-28	Nyarslasning - rekommendationer	Karin Larsson	Wahlstrom Widstrand	Panel discussion	19	18	1	7	0	2200	0	4059	1859	First time author
2020-02-18	Karlek och litteratur	Sara Stridsberg	Norstedts	Solo reading	38	33	5	5	4500	1500	0	2826	-3174	Co-hosted with Uppsala Uni
2020-09-15	Hostlansering	Anders Lilja	Piratforlaget	Book launch	44	40	4	6	6000	1200	500	3167	-4533	Ran slightly long
2020-10-20	Berattarkvall	Nora Clement	Alfabeta	Solo reading	27	21	6	9	3000	2200	200	4462	-938	
2020-11-10	Poesi och tystnad	Multiple	Various	Poetry night	18	18	0	2	0	800	0	3364	2564	Media coverage
2021-02-09	Vinterlasning	Sofia Nyman	Ekblad Forlag	Solo reading	31	29	2	3	3500	2200	0	2607	-3093	Media coverage
2021-04-20	Var och fornyelse - essaer	Karin Larsson	Wahlstrom Widstrand	Panel discussion	26	24	2	8	2000	1000	800	1340	-2460	
2021-09-07	Bokhostens start	Anders Lilja	Piratforlaget	Book launch	39	35	4	4	5000	2200	200	1182	-6218	
2021-10-12	Internationell litteratur	Sara Stridsberg	Norstedts	Panel discussion	33	29	4	6	4000	800	200	3521	-1479	
2021-11-23	Poesi under advents	Multiple	Various	Poetry night	21	18	3	2	0	1500	800	2051	-249	Technical issue with mic
2022-02-15	Karlek i litteraturen	Sara Stridsberg	Norstedts	Solo reading	29	24	5	3	3500	2000	0	804	-4696	Technical issue with mic
2022-04-05	Debutantkvall	Emma Lindqvist	Alfabeta	Book launch	22	18	4	3	0	1000	500	1726	226	First time author
2022-06-07	Sommarboken 2022	Panel	Various	Panel discussion	36	29	7	9	0	800	0	3649	2849	Publisher co-sponsored
2022-09-20	Hostlanseringsfest	Sofia Nyman	Ekblad Forlag	Book launch	48	40	8	3	7000	2200	300	3642	-5858	Ran slightly long
2022-10-11	Barnbokskvall	Malin Berg	Raben Sjogren	Book club	24	19	5	3	1500	1000	300	1165	-1635	Good atmosphere
2022-11-15	Poesikvall november	Multiple	Various	Poetry night	19	18	1	7	800	1200	200	1361	-839	Strong book sales after
2022-12-06	Julbocker och glogg	Karin Larsson	Wahlstrom Widstrand	Panel discussion	51	43	8	4	2000	2000	800	1385	-3415	Good atmosphere
2023-02-14	Valentinspoesi 2023	Sara Stridsberg	Norstedts	Poetry night	34	28	6	2	4000	1800	800	1472	-5128	Media coverage
2023-04-18	Debuten - nya roster	Lars Falk	Ekblad Forlag	Book launch	23	19	4	5	0	2000	800	1420	-1380	Strong book sales after
2023-06-13	Forsommarens bocker	Anders Lilja	Piratforlaget	Panel discussion	31	25	6	9	0	2200	0	1155	-1045	Good atmosphere
2023-09-19	Uppsala Litteraturfest	Nora Clement	Alfabeta	Solo reading	42	39	3	3	6500	1800	800	2372	-6728	Publisher co-sponsored
2023-10-10	Kriminalkvall	Sofia Nyman	Ekblad Forlag	Book club	38	33	5	7	5000	2200	0	1814	-5386	Co-hosted with Uppsala Uni
2023-11-21	Poesi och musik	Multiple	Various	Poetry night	25	18	7	3	1200	1000	500	3261	561	Popular event - waiting list
2023-12-05	Julbocker 2023	Karin Larsson	Wahlstrom Widstrand	Panel discussion	47	40	7	6	2500	2200	800	909	-4591	
2024-02-13	Valentinskvall 2024	Sara Stridsberg	Norstedts	Poetry night	36	32	4	5	4500	1800	500	2887	-3913	Technical issue with mic
2024-04-09	Nytt debutantband	Hanna Voss	Alfabeta	Book launch	20	18	2	8	0	1200	800	1023	-977	Technical issue with mic
2024-06-04	Sommarlasning 2024	Panel	Various	Panel discussion	28	23	5	8	0	800	0	2846	2046	
