date_finished	title	author	original_language	read_in_language	format	pages	personal_rating	category	currently_recommending	notes
2020-01-08	Sprickorna i muren	Nora Clement	Swedish	Swedish	Paperback	341	4	Literary Fiction	Y	Read ahead of her visit to the shop
2020-01-09	Butcher's Crossing	John Williams	English	English	Paperback	338	4	Literary Fiction	Sometimes	
2020-01-10	I Know Why the Caged Bird Sings	Maya Angelou	English	English	Paperback	246	5	Non-fiction	Y	
2020-01-16	Becoming	Michelle Obama	English	Swedish	Hardback	448	4	Non-fiction	Y	Read in Swedish. Strong translation.
2020-02-07	The Tin Drum	Gunter Grass	German	English	Paperback	589	4	International	Sometimes	
2020-02-29	Havet inom	Anders Lilja	Swedish	Swedish	Paperback	296	4	Literary Fiction	Sometimes	
2020-03-03	The Odyssey (trans. Emily Wilson)	Homer	Ancient Greek	English	Hardback	582	5	International	Y	Read Iliad first then this. Perfect pair.
2020-03-04	Siddhartha	Hermann Hesse	German	German	Paperback	152	3	Literary Fiction	N	Too schematic for my taste
2020-03-07	The Blue Fox	Sjon	Icelandic	English	Paperback	115	4	International	Y	Short and strange. Perfect.
2020-03-19	The Rings of Saturn	W.G. Sebald	German	English	Paperback	296	5	Non-fiction	Y	Walked the route mentally
2020-03-20	The Castle	Franz Kafka	German	English	Paperback	298	4	International	Sometimes	Less satisfying than The Trial
2020-03-26	Invisible	Paul Auster	English	English	Paperback	308	3	Literary Fiction	N	
2020-03-31	Cloud Atlas	David Mitchell	English	English	Paperback	509	5	Literary Fiction	Y	Audacious structure
2020-03-31	When We Were Orphans	Kazuo Ishiguro	English	English	Paperback	335	3	Literary Fiction	N	His weakest in my view
2020-04-03	Books of Jacob	Olga Tokarczuk	Polish	English	Hardback	912	4	International	N	Very long. Important. Not for casual reading.
2020-04-08	Pedro Paramo	Juan Rulfo	Spanish	English	Paperback	124	5	International	Y	Stunningly short. Reread immediately.
2020-04-10	Drömfakulteten	Sara Stridsberg	Swedish	Swedish	Paperback	298	5	Literary Fiction	Y	Reread for the third time. Always find something new.
2020-04-14	The Dharma Bums	Jack Kerouac	English	English	Paperback	244	3	Literary Fiction	N	Better than On the Road but still
2020-04-23	The Vegetarian	Han Kang	Korean	English	Paperback	188	4	International	Y	
2020-05-07	The Botany of Desire	Michael Pollan	English	English	Paperback	271	4	Non-fiction	Sometimes	
2020-05-13	Den allvarsamma leken	Hjalmar Söderberg	Swedish	Swedish	Paperback	186	4	Literary Fiction	Sometimes	
2020-05-22	The Story of the Lost Child	Elena Ferrante	Italian	English	Paperback	473	5	Literary Fiction	Y	Finished the Neapolitan quartet. Perfect ending.
2020-05-27	Under the Glacier	Halldor Laxness	Icelandic	English	Paperback	228	4	International	Sometimes	Stranger and funnier than Independent People
2020-05-29	Purple Hibiscus	Chimamanda Ngozi Adichie	English	English	Paperback	307	4	Literary Fiction	Sometimes	First novel - strong
2020-06-06	David Copperfield	Charles Dickens	English	English	Hardback	882	4	Literary Fiction	Sometimes	
2020-06-10	The Stranger	Albert Camus	French	English	Paperback	123	4	Literary Fiction	Sometimes	
2020-06-13	Arthur and George	Julian Barnes	English	English	Paperback	421	3	Literary Fiction	N	Fine but not his best
2020-06-16	Moon Palace	Paul Auster	English	English	Paperback	307	4	Literary Fiction	Sometimes	
2020-06-20	Brons	Peter Fröberg Idling	Swedish	Swedish	Paperback	312	4	Literary Fiction	Sometimes	Strong Swedish debut
2020-06-24	The Blind Assassin	Margaret Atwood	English	English	Paperback	521	5	Literary Fiction	Y	
2020-06-27	Freedom	Jonathan Franzen	English	English	Paperback	562	3	Literary Fiction	N	Long. Not as good as Corrections.
2020-07-17	The Committed	Viet Thanh Nguyen	English	English	Paperback	382	4	International	Sometimes	Good sequel
2020-07-31	Checkout 19	Claire-Louise Bennett	English	English	Paperback	242	4	Literary Fiction	Sometimes	Experimental and interesting
2020-08-04	The Corrections	Jonathan Franzen	English	English	Paperback	568	4	Literary Fiction	Sometimes	Dense but rewarding
2020-08-05	Wild	Cheryl Strayed	English	English	Paperback	315	4	Non-fiction	Sometimes	
2020-08-07	Collected Poems	W.H. Auden	English	English	Hardback	924	4	Poetry	Sometimes	Dipping in and out. Huge.
2020-08-15	Writing Down the Bones	Natalie Goldberg	English	English	Paperback	224	4	Non-fiction	Y	Good for writers workshop advice
2020-08-27	Beloved	Toni Morrison	English	English	Paperback	324	5	Literary Fiction	Y	
2020-09-12	Vinterviken	Mats Wahl	Swedish	Swedish	Paperback	241	4	Literary Fiction	Sometimes	Reread - still strong
2020-09-12	Great Expectations	Charles Dickens	English	English	Paperback	505	4	Literary Fiction	Sometimes	
2020-09-16	Just Kids	Patti Smith	English	English	Paperback	298	5	Non-fiction	Y	
2020-09-19	I Cheerfully Refuse	Leif Enger	English	English	Hardback	326	4	Literary Fiction	Sometimes	
2020-09-23	The Gene	Siddhartha Mukherjee	English	English	Hardback	592	5	Non-fiction	Y	
2020-09-29	The Essential Neruda	Pablo Neruda	Spanish	English	Paperback	186	5	Poetry	Y	
2020-10-07	Homo Deus	Yuval Noah Harari	English	English	Paperback	450	3	Non-fiction	N	Less convincing than Sapiens
2020-10-09	Ariel	Sylvia Plath	English	English	Paperback	86	5	Poetry	Y	
2020-10-20	Crime and Punishment	Dostoevsky	Russian	English	Paperback	671	4	International	Sometimes	
2020-10-21	Midnatt i Uppsala	Karin Alvtegen	Swedish	Swedish	Paperback	364	3	Literary Fiction	N	Good plot but not my style
2020-10-22	The Sense of an Ending	Julian Barnes	English	English	Paperback	150	5	Literary Fiction	Y	Short masterpiece
2020-10-22	Die Leiden des jungen Werthers	Goethe	German	German	Paperback	144	3	Literary Fiction	N	Classic but distant
2020-10-30	Shy	Max Porter	English	English	Paperback	138	4	Literary Fiction	Sometimes	
2020-10-31	Love in the Time of Cholera	Garcia Marquez	Spanish	English	Paperback	348	4	International	N	Preferred Solitude
2020-11-11	A Gentleman in Moscow	Amor Towles	English	English	Paperback	462	5	Literary Fiction	Y	Pure pleasure
2020-11-19	Sult	Knut Hamsun	Norwegian	English	Paperback	176	4	International	Sometimes	Strange and compelling
2020-12-02	The Trial	Franz Kafka	German	English	Paperback	176	5	International	Y	
2021-01-05	Go Set a Watchman	Harper Lee	English	English	Hardback	278	2	Literary Fiction	N	Better left as a draft
2021-01-14	Lanny	Max Porter	English	English	Paperback	178	4	Literary Fiction	Y	
2021-01-30	Sommardansen	Karin Larsson	Swedish	Swedish	Paperback	268	4	Literary Fiction	Y	Read before her event
2021-02-03	How to Live: A Life of Montaigne	Sarah Bakewell	English	English	Paperback	389	5	Non-fiction	Y	Wonderful companion
2021-02-12	The Notebooks of Malte Laurids Brigge	Rainer Maria Rilke	German	German	Paperback	214	4	Literary Fiction	Sometimes	Read in German. Worthwhile.
2021-02-16	Finn Family Moomintroll	Tove Jansson	Swedish	English	Paperback	176	5	Children	Y	
2021-02-17	Selected Essays	Montaigne	French	English	Paperback	480	5	Non-fiction	Y	Reading slowly. Will take years.
2021-03-04	The Bell Jar	Sylvia Plath	English	English	Paperback	296	4	Literary Fiction	Sometimes	
2021-03-06	The New York Trilogy	Paul Auster	English	English	Paperback	308	5	Literary Fiction	Y	
2021-03-20	For Whom the Bell Tolls	Ernest Hemingway	English	English	Paperback	480	4	Literary Fiction	Sometimes	
2021-03-31	Midvinterblot	Goran Sonnevi	Swedish	Swedish	Paperback	88	4	Poetry	Sometimes	Hard going but worthwhile
2021-04-01	Lincoln in the Bardo	George Saunders	English	English	Paperback	343	4	Literary Fiction	Y	Experimental form works well
2021-04-07	Den svenska historien del 1	Dick Harrison	Swedish	Swedish	Hardback	487	4	Non-fiction	Sometimes	Good reference. Read slowly.
2021-04-10	Kometen kommer	Tove Jansson	Swedish	Swedish	Paperback	192	4	Children	Sometimes	
2021-04-16	Doktor Glas	Hjalmar Söderberg	Swedish	Swedish	Paperback	192	5	Literary Fiction	Y	Perfect Swedish novel
2021-04-22	Trollvinter	Tove Jansson	Swedish	Swedish	Paperback	160	5	Children	Y	More melancholy than I expected
2021-04-27	Night Sky with Exit Wounds	Ocean Vuong	English	English	Paperback	88	5	Poetry	Y	
2021-04-30	number9dream	David Mitchell	English	English	Paperback	424	4	Literary Fiction	Sometimes	
2021-05-01	Season of Migration to the North	Tayeb Salih	Arabic	English	Paperback	139	5	International	Y	Short and shattering
2021-05-07	Howl and Other Poems	Allen Ginsberg	English	English	Paperback	44	4	Poetry	Sometimes	Short but important historically
2021-05-08	Bröderna Lejonhjärta	Astrid Lindgren	Swedish	Swedish	Paperback	256	5	Children	Y	Wept rereading it
2021-05-14	Im Westen nichts Neues	Erich Maria Remarque	German	German	Paperback	280	5	Literary Fiction	Y	Read in German. Still powerful.
2021-05-18	If This Is a Man	Primo Levi	Italian	English	Paperback	187	5	Non-fiction	Y	Essential. Devastating. Important.
2021-05-19	Flights	Olga Tokarczuk	Polish	English	Paperback	403	5	International	Y	Unusual structure. Loved it.
2021-05-22	Tender Is the Night	F. Scott Fitzgerald	English	English	Paperback	412	3	Literary Fiction	N	Overlong
2021-05-22	Gilgamesh (trans. Andrew George)	Anon	Akkadian	English	Paperback	118	5	International	Y	Astonishing that this survives
2021-05-25	The Snowman	Jo Nesbo	Norwegian	Swedish	Paperback	550	3	Literary Fiction	N	Read in Swedish. Fine thriller but not my usual genre.
2021-05-28	One Hundred Years of Solitude	Gabriel Garcia Marquez	Spanish	English	Paperback	422	5	International	Sometimes	Needed a second reading. Extraordinary.
2021-05-28	The Overstory	Richard Powers	English	English	Paperback	502	5	Literary Fiction	Y	Changed how I think about trees
