event_date	author	event_type	attendance	author_fee_sek	travel_subsidy_sek	catering_sek	marketing_sek	equipment_sek	total_cost_sek	door_wine_contribution_sek	book_sales_uplift_est_sek	sponsor_contribution_sek	net_event_sek
2022-02-15	Sara Stridsberg	Poetry reading	24	3500	500	1200	400	0	5600	1666	3683	1500	1249
2022-04-05	Emma Lindqvist	Book launch debut	18	0	200	800	300	0	1300	1372	2882	0	2954
2022-06-07	Panel - summer books	Panel discussion	29	0	0	1500	200	300	2000	1729	2196	0	1925
2022-09-20	Sofia Nyman	Book launch	40	7000	800	2000	600	500	10900	634	6960	0	-3306
2022-10-11	Malin Berg	Children event	19	1500	0	600	200	0	2300	1108	2808	0	1616
2022-11-15	Multiple poets	Poetry night	18	800	0	900	150	200	2050	892	3325	0	2167
2022-12-06	Karin Larsson	Panel discussion	43	2000	0	2200	300	0	4500	1715	7038	0	4253
2023-02-14	Sara Stridsberg	Valentine poetry	28	4000	500	1400	400	0	6300	1672	3094	1500	-34
2023-04-18	Lars Falk	Debut launch	19	0	300	800	250	0	1350	481	3381	0	2512
2023-06-13	Anders Lilja	Summer panel	25	0	0	1200	200	200	1600	1057	3348	0	2805
2023-09-19	Nora Clement	Solo reading	39	6500	700	1800	500	300	9800	632	4578	0	-4590
2023-10-10	Sofia Nyman	Book club evening	33	5000	600	1600	400	400	8000	925	4902	2000	-173
2023-11-21	Multiple poets	Poetry and music	18	1200	0	1100	200	400	2900	979	1575	0	-346
2023-12-05	Karin Larsson	Christmas panel	40	2500	0	2400	350	0	5250	1458	7755	0	3963
2024-02-13	Sara Stridsberg	Valentine 2024	32	4500	500	1500	400	0	6900	1167	4500	1500	267
2024-04-09	Hanna Voss	Debut launch	18	0	200	700	200	0	1100	1441	2340	0	2681
2024-06-04	Panel	Summer reading	23	0	0	1100	150	200	1450	1396	1820	0	1766
2024-09-17	Nora Clement	Season opener	39	7000	700	2000	550	400	10650	1007	7830	2000	187
2024-10-15	Sofia Nyman	Book club	30	3500	400	1400	350	300	5950	1734	2772	0	-1444
2024-11-19	Multiple poets	Poetry dark season	21	1500	0	1200	200	300	3200	1056	3375	0	1231
2024-12-10	Karin Larsson	Christmas 2024	47	3000	0	2600	400	0	6000	568	3528	0	-1904
2025-02-11	Sara Stridsberg	Valentine 2025	36	5000	600	1600	450	0	7650	742	6004	2000	1096
2025-04-08	Viktor Holm	Debut spring	21	0	250	750	200	0	1200	1501	2688	0	2989
2025-06-10	Panel	Midsommar reads	24	0	0	1000	150	0	1150	415	3360	0	2625
2025-09-23	Anders Lilja	Autumn launch	38	7500	800	2100	600	400	11400	534	3956	2500	-4410
2025-11-18	Multiple poets	Poetry night autumn	22	1800	0	1300	250	300	3650	836	4930	0	2116
2025-12-09	Karin Larsson	Christmas 2025	51	3500	0	2800	450	0	6750	1268	8466	0	2984
2026-02-10	Sara Stridsberg	Valentine 2026	35	4500	500	1500	400	0	6900	612	3010	1500	-1778
2026-02-24	Maja Eriksson	Spring debut	19	0	200	700	150	0	1050	1501	3154	0	3605
