date,title,type,est_cost_usd
2027-01-18,Dermatology - Dr. Okonkwo,health,45.00
2027-01-01,Progressive auto renewal effective,insurance,0.00
2027-02-01,"Lease renewal effective (new rent $1,095)",housing,0.00
2027-03-01,Lemonade renters renewal,insurance,0.00
2027-04-13,Dental cleaning - Dr. Jansen,health,25.00
2027-04-19,Dermatology - Dr. Okonkwo,health,45.00
2027-06-04,Kalamazoo trip (through 06-06),travel,115.00
2027-07-19,Dermatology - Dr. Okonkwo,health,45.00
2027-09-15,Maple annual workup,pet,145.00
2027-10-18,Dermatology - Dr. Okonkwo,health,45.00
2027-11-10,Annual physical - Dr. Lindstrom,health,0.00
