Service	Category	Monthly Cost	Annual Cost	Renewal Date	Account Email	Auto-Renew	Notes
Adobe Creative Cloud	Software/Design	55.00	660.00	2025-10-14	jesse.page@finthesiss.ai	Yes	Includes Lightroom, Photoshop, Bridge, Acrobat. Primary editing suite.
Squarespace	Website	16.00	192.00	2025-03-02	jesse.page@finthesiss.ai	Yes	Portfolio hosting at jessepagephotography.com. Business plan.
Oscar Health Insurance	Health Insurance	380.00	4560.00	2026-01-01	jesse.page@finthesiss.ai	Yes	Policy MKT-HLT-JP-2025-4491. Individual marketplace plan, Brooklyn coverage.
TCP Camera Insurance	Equipment Insurance	48.00	576.00	2025-11-10	jesse.page@finthesiss.ai	Yes	Policy TCP-2024-JLP-0847. Covers Sony A7IV, both lenses, and accessories.
Lotus Flow Studio	Fitness	130.00	1560.00	Rolling monthly	jesse.page@finthesiss.ai	Yes	Monthly membership, unlimited classes, Williamsburg location.
NYC MetroCard	Transportation	33.00	396.00	Monthly	jesse.page@finthesiss.ai	No	Refilled manually each month, 30-day unlimited.
Verizon Phone Plan	Phone	75.00	900.00	Monthly	jesse.page@finthesiss.ai	Yes	Individual postpaid plan, iPhone 15 Pro on plan.
Ridgeline Streaming	Entertainment	14.00	168.00	2026-02-08	jesse.page@finthesiss.ai	Yes	Film and documentary streaming, used regularly for research and downtime.
Ferris and Cole	Entertainment	11.00	132.00	2025-05-19	jesse.page@finthesiss.ai	Yes	Culinary and food media channel subscription, research tool.
Dropbox	Cloud Storage	12.00	144.00	2025-06-22	jesse.page@finthesiss.ai	Yes	Plus plan 2TB, secondary backup for shoot archives.
Notion	Productivity	16.00	192.00	2025-08-04	jesse.page@finthesiss.ai	Yes	Personal and business project management, shoot planning, invoice tracking.
Capture One	Software/Editing	24.00	288.00	2025-09-17	jesse.page@finthesiss.ai	Yes	Pro subscription, used for tethered shooting on location.
