Date	Description	Amount	Type	Balance
2025-01-01	Opening Balance			7000.00
2025-01-31	Transfer from Business Checking	1200.00	Deposit	8200.00
2025-02-28	Transfer from Business Checking	1000.00	Deposit	9200.00
2025-03-31	Transfer from Business Checking	1500.00	Deposit	10700.00
2025-04-30	Transfer from Business Checking	1800.00	Deposit	12500.00
2025-05-31	Transfer from Business Checking	1000.00	Deposit	13500.00
2025-06-30	Transfer from Business Checking	800.00	Deposit	14300.00
2025-07-15	Equipment Fund Transfer - Sony Lens	-2000.00	Withdrawal	12300.00
2025-07-31	Transfer from Business Checking	700.00	Deposit	13000.00
2025-08-31	Transfer from Business Checking	500.00	Deposit	13500.00
2025-09-30	Transfer from Business Checking	600.00	Deposit	14100.00
2025-10-31	Transfer from Business Checking	-500.00	Withdrawal	13600.00
2025-11-30	Transfer from Business Checking	400.00	Deposit	14000.00
2025-12-31	Year-End Balance Adjustment	-2500.00	Withdrawal	11500.00
