Month	Rent	Utilities	Groceries	Dining/Research	Yoga	MetroCard	Phone	Adobe CC	Squarespace	Health Insurance	Equipment/Props	Oat Milk Lattes	Streaming	Misc	Total
January	1400	124	495	565	130	33	75	55	16	380	180	88	25	62	3628
February	1400	122	500	570	130	33	75	55	16	380	150	87	25	45	3588
March	1400	118	510	620	130	33	75	55	16	380	200	90	25	78	3730
April	1400	105	505	640	130	33	75	55	16	380	160	91	25	55	3670
May	1400	98	490	635	130	33	75	55	16	380	120	92	25	40	3589
June	1400	96	485	600	130	33	75	55	16	380	100	93	25	35	3523
July	1400	95	500	590	130	33	75	55	16	380	95	94	25	30	3518
August	1400	97	495	585	130	33	75	55	16	380	110	92	25	42	3535
September	1400	102	500	615	130	33	75	55	16	380	140	91	25	58	3620
October	1400	108	505	640	130	33	75	55	16	380	175	90	25	70	3702
November	1400	118	510	630	130	33	75	55	16	380	160	89	25	85	3706
December	1400	122	505	605	130	33	75	55	16	380	120	88	25	95	3649
