Restaurant	Neighborhood	Borough	Visit Date	Natural Light (1-5)	Dairy-Free Options (Y/Partial/N)	Kitchen Access (Y/N)	Ambiance Notes	Overall Rating (1-5)	Follow-Up (Y/N)
Estrela	Williamsburg	Brooklyn	2024-11-12	4	Y	Y	Warm wood tones, abundant west-facing windows, intimate dining room with open kitchen. Perfect afternoon light 2-4pm.	5	Y
Ivan Ramen	Lower East Side	Manhattan	2024-11-20	3	Partial	N	Cozy counter seating, warm incandescent bulbs, narrow space limits wide angles but broth shots are excellent.	4	Y
Ugly Baby	Carroll Gardens	Brooklyn	2024-12-04	2	Partial	N	Dark interior with moody red accent lighting. Better for editorial atmosphere shots than product work. Very photogenic plating.	4	Y
Los Tacos No. 1	Chelsea	Manhattan	2024-12-11	3	Y	N	Open-air market feel, bright halogen overhead, lots of movement. Great for documentary style, tough for controlled shots.	3	Y
Golden Harvest Palace	Sunset Park	Brooklyn	2024-12-18	3	Partial	N	Large dining room, natural light from east side windows, dim sum carts add kinetic energy. Best light before 11am.	4	Y
Sweetleaf	Long Island City	Queens	2025-01-08	4	Y	N	Industrial-chic coffee bar, floor-to-ceiling windows, beautiful morning diffuse light. Oat milk bar ready and accommodating.	5	Y
Colonie	Brooklyn Heights	Brooklyn	2025-01-15	4	Y	Y	Exposed brick, good midday light from front windows, farm-to-table aesthetic translates well to camera.	4	Y
Cafe Mogador	East Village	Manhattan	2025-01-22	3	Partial	N	Moroccan-influenced decor, warm lamp light competes with window light. Works best on overcast days.	3	N
Insa	Gowanus	Brooklyn	2025-02-05	2	Partial	N	Karaoke bar aesthetic, neon-heavy, low natural light but fun for editorial mood shots. Gochujang dishes plate beautifully.	3	Y
Lilia	Williamsburg	Brooklyn	2025-02-12	4	Partial	N	Stunning high ceilings, large industrial windows. Afternoon light floods the pasta station. Hard to get kitchen access.	5	Y
Maison Premiere	Williamsburg	Brooklyn	2025-02-19	3	N	N	Edwardian garden bar vibes, beautiful glassware, low natural light but gorgeous for cocktail and oyster shots.	4	N
Olmsted	Prospect Heights	Brooklyn	2025-03-05	5	Partial	Y	Incredible back garden, best natural light of any Brooklyn spot. Greenhouse seating in spring is exceptional.	5	Y
Llama Inn	Williamsburg	Brooklyn	2025-03-12	4	Partial	N	Rooftop terrace available in warm months, beautiful skyline backdrop, good light most of the day.	4	Y
Emily	Clinton Hill	Brooklyn	2025-03-19	3	Partial	N	Brick oven focal point, warm amber light, compact space. Pizza and salad shots excellent, limited table staging.	3	N
Roman's	Fort Greene	Brooklyn	2025-03-26	4	Y	N	Natural wood tables, uncomplicated aesthetic, consistent diffuse light from street-facing windows. Very prop-friendly layout.	4	Y
Wren Brooklyn	Williamsburg	Brooklyn	2025-04-02	4	Y	N	Converted warehouse feel, great north light, flexible table arrangements. Staff very accommodating for shoots.	5	Y
Forager	Williamsburg	Brooklyn	2025-04-09	4	Y	Y	Plant-heavy decor, earthy tones, excellent natural light corridor along the bar. Full dairy-free menu available.	5	Y
Saraghina	Bed-Stuy	Brooklyn	2025-04-16	3	Partial	N	Garden courtyard beautiful in spring, interior is darker but charming. Neapolitan pizza looks excellent on camera.	4	Y
Frenchette	Tribeca	Manhattan	2025-04-23	3	Partial	N	Classic bistro tile floors, warm brasserie lighting, limited window light but elegant atmosphere for editorial.	3	N
Agi's Counter	Crown Heights	Brooklyn	2025-04-30	4	Y	N	Bright white counter, California-diner aesthetic, excellent window light all morning. Grain bowls and salads very photogenic.	4	Y
Greenpoint Oyster	Greenpoint	Brooklyn	2025-05-07	4	Y	N	Raw bar counter has beautiful overhead natural light, clean aesthetic, oysters on ice very photogenic.	5	Y
Alma Cocina	Williamsburg	Brooklyn	2025-05-14	3	Y	Y	Latin-inspired decor, warm afternoon light, accommodating team. Full access for brand shoot confirmed.	4	Y
Lena Kitchen	Greenpoint	Brooklyn	2025-05-21	4	Y	N	Scandinavian minimalist interior, huge windows, beautiful grain wood tables. Best light 11am to 2pm.	5	Y
Win Son	East Williamsburg	Brooklyn	2025-05-28	3	Partial	N	Taiwanese-American diner feel, neon signs, mix of warm and cool light. Plating is artistic and colorful.	4	Y
Misi	Williamsburg	Brooklyn	2025-06-04	4	Partial	N	Clean white walls, narrow format but excellent window light, handmade pasta looks stunning on camera.	4	Y
Cafe Rosi	Williamsburg	Brooklyn	2025-06-11	3	Y	N	Cozy Italian-American spot, modest natural light but warm aesthetic, seasonal plates very photogenic.	3	Y
Palo Santo	Park Slope	Brooklyn	2025-06-18	4	Y	Y	Tropical plant decor, excellent natural light from garden-facing windows, fully plant-based menu accessible.	5	Y
Threes Brewing	Gowanus	Brooklyn	2025-07-09	3	Partial	N	Industrial taproom, large windows face west, best late afternoon. Beer and food pairings look great.	3	N
Lupe	Greenpoint	Brooklyn	2025-07-16	4	Y	N	Bright corner location, big windows, solid dairy-free Mexican dishes. Casual but very photogenic for editorial.	4	Y
Zizi Limona	Williamsburg	Brooklyn	2025-07-23	3	Partial	N	Middle Eastern-inspired interior, warm lamp tones, limited natural light but plating is elaborate and beautiful.	3	N
