Month	Followers (end)	New Followers	Posts	Avg Likes	Avg Comments	Eng Rate %	Top Post Likes	Monthly Reach	Impressions
January	42500	500	5	1380	48	3.3	3240	16200	38400
February	43000	500	4	1410	51	3.3	2980	15800	36900
March	43600	600	5	1450	54	3.4	3410	17500	41200
April	44100	500	5	1480	57	3.4	3320	18400	43500
May	44700	600	6	1510	59	3.4	3580	20100	47800
June	45200	500	5	1540	62	3.4	4120	22600	53400
July	45700	500	5	1560	65	3.4	3870	23800	56100
August	46200	500	6	1590	67	3.5	4360	25200	59700
September	46800	600	6	1620	70	3.5	4980	26500	62800
October	47300	500	5	1650	72	3.5	4210	24900	58900
November	47700	400	5	1670	74	3.5	3940	22300	52600
December	48000	300	4	1620	68	3.4	3750	19800	46700
