Date	Yoga Class (Y/N)	Walking Miles	Sleep Hours	Energy Level (1-5)	Notes
2025-01-01	N	3.2	8.0	3	New year, quiet day at home, light walk to the park and back
2025-01-02	N	4.8	7.5	3	Grocery run and afternoon wander through Williamsburg
2025-01-03	N	5.1	7.5	4	Good studio prep day, walked to B&H for cable
2025-01-04	Y	4.4	7.0	4	Saturday class with Marta, really good flow sequence today
2025-01-05	N	3.8	8.0	3	Slow Sunday, read recipes, short walk along the waterfront
2025-01-06	N	5.2	7.5	4	Shoot prep for Tangerine
2025-01-07	Y	4.6	7.0	4	Tuesday class, felt tight in the hips but finished strong
2025-01-08	N	6.1	6.5	3	Long shoot day, on my feet all day, tired but good
2025-01-09	N	4.5	7.5	4	Editing day, broke it up with a walk to Sweetleaf
2025-01-10	N	4.2	7.5	4	Good energy, got ahead on edits
2025-01-11	Y	5.0	7.0	4	Saturday yoga, then fridge raid for recipe research
2025-01-12	N	3.5	8.5	3	Very cold, stayed mostly inside, short walk for coffee
2025-01-13	N	5.3	7.5	4	Catch-up emails and archive organization
2025-01-14	Y	4.8	7.0	4	Tuesday class, good energy coming in after the weekend
2025-01-15	N	5.6	7.5	3	Cold snap hit hard, wore every layer I own on the walk
2025-01-16	N	4.1	7.5	4	Studio day, color calibration and gear check
2025-01-17	N	5.0	7.0	4	Long editing stretch, took a loop through McCarren Park mid-afternoon
2025-01-18	Y	4.5	7.0	5	Saturday class really energizing, sunny and cold outside
2025-01-19	N	4.2	8.0	3	Lazy Sunday, Mateo made breakfast
2025-01-20	N	5.8	7.5	4	Productive, invoiced Tangerine and Oatly
2025-01-21	Y	4.6	7.0	4	Tuesday class, hip opener sequence, needed it
2025-01-22	N	6.4	6.5	3	Estrela shoot, lots of standing and moving around kitchen
2025-01-23	N	4.8	8.0	4	Sore from yesterday but good, started editing Estrela set
2025-01-24	N	4.3	7.5	4	Finished first round of Estrela edits
2025-01-25	Y	5.1	7.0	5	Saturday class with Marta again, best class in weeks
2025-01-26	N	3.9	8.0	3	Slow Sunday, called Mom
2025-01-27	N	5.4	7.5	4	Sent Estrela selects, good response from Ana
2025-01-28	Y	4.7	7.0	4	Tuesday class, back to the flow after a rough Monday
2025-02-01	N	4.9	7.5	4	Cold but sunny, good editing day
2025-02-02	N	5.2	8.0	3	Slow start, oat latte helped
2025-02-03	N	5.5	7.5	4	Invoiced Oatly for February, prep notes for Savor shoot
2025-02-04	Y	4.8	7.0	4	Tuesday class, good momentum going into shoot week
2025-02-05	N	6.2	6.5	3	Day one of Savor two-day shoot, long but productive
2025-02-06	N	6.0	7.0	3	Day two of Savor shoot, feet are sore, great results
2025-02-07	N	4.5	8.0	4	Recovery day after two-day shoot, lots of couch and editing
2025-02-08	Y	4.6	7.0	5	Saturday class, body needed the stretch after shoot days
2025-02-09	N	4.0	8.0	4	Quiet Sunday, walked to Grand Army Plaza greenmarket
2025-02-10	N	5.1	7.5	4	Back to editing, good flow
2025-02-11	Y	4.8	7.0	4	Tuesday class, teacher subbed in, liked her style
2025-02-12	N	5.4	7.5	4	Lilia scouting visit, gorgeous space
2025-02-13	N	4.3	7.5	3	Cold and gray, energy a bit low
2025-02-14	N	5.0	8.0	4	Valentine's dinner with Mateo at home, cooked together
2025-02-15	Y	4.7	7.0	4	Saturday class, then long editing afternoon
2025-02-16	N	3.8	8.5	3	Low-energy Sunday, read cookbooks and napped
2025-02-17	N	5.6	7.5	4	Good productive start to the week
2025-02-18	Y	4.9	7.0	4	Tuesday class, felt really good today
2025-02-19	N	5.8	7.5	4	Edgewater shoot, quick half day at studio
2025-02-20	N	5.3	8.0	4	Edited Edgewater set, done by afternoon
2025-02-21	N	4.6	7.5	4	Admin catch-up, insurance renewal paperwork for Oscar
2025-02-22	Y	5.0	7.0	5	Saturday class, solid session
2025-02-23	N	3.5	8.5	3	Easy Sunday, cold walk for coffee, watched a film
2025-02-24	N	5.4	7.5	4	Week started well, new Savor edits approved
2025-02-25	Y	4.8	7.0	4	Tuesday class
2025-02-26	N	5.1	7.5	4	Research day, cookbook notes
2025-02-27	N	5.0	7.5	4	Q1 tax estimate prep with Ravi
2025-02-28	N	4.4	8.0	3	February wrap-up, saved some extra to HYSA
2025-03-01	N	5.2	7.5	4	March feels lighter already, good start
2025-03-02	N	5.6	7.5	4	Gear check for upcoming shoots, tested new diffuser
2025-03-03	N	4.8	7.5	4	Oatly March retainer invoiced and processed
2025-03-04	Y	5.0	7.0	4	Tuesday class, energy high
2025-03-05	N	5.4	7.5	4	Olmsted scouting visit, that garden is unreal
2025-03-06	N	5.1	8.0	4	Rest day, catch-up on Instagram scheduling
2025-03-07	N	4.7	7.5	4	Editing and research
2025-03-08	Y	5.0	7.0	5	Saturday class, one of those rare great energy days
2025-03-09	N	4.2	8.0	3	Sunday with Mateo, walked the flea at Brooklyn Flea preview
2025-03-10	N	6.5	6.5	3	Greenpoint Oyster shoot, half day but intense prep
2025-03-11	Y	4.9	7.0	4	Tuesday class, legs tired from yesterday
2025-03-12	N	5.3	7.5	4	Edited oyster set, very happy with these
2025-03-13	N	5.0	7.5	4	Wren Brooklyn pre-shoot scout
2025-03-14	N	4.8	7.5	4	Good Friday, March light starting to feel different
2025-03-15	Y	5.1	7.0	4	Saturday class
2025-03-16	N	4.5	8.0	3	Long walk through South Williamsburg
2025-03-17	N	5.4	7.5	4	St. Patrick's Day, avoided the bars, edited instead
2025-03-18	Y	5.0	7.0	4	Tuesday class
2025-03-19	N	6.1	6.5	3	Wren Brooklyn shoot, half day, really beautiful natural light
2025-03-20	N	4.9	8.0	4	First day of spring, celebrated with a long walk
2025-03-21	N	5.2	7.5	4	Edited Wren set, delivered on time
2025-03-22	Y	5.0	7.0	4	Saturday class
2025-03-23	N	4.6	8.0	3	Slow Sunday, called Kevin and Priya about Lily
2025-03-24	N	5.5	7.5	4	Prep for Tangerine Markets feature
2025-03-25	Y	4.8	7.0	4	Tuesday class
2025-03-26	N	6.0	7.0	4	Tangerine spring markets shoot, fantastic light at Newtown Creek
2025-03-27	N	4.7	7.5	4	Editing spring markets set
