Shoot Date	Client	Project Type	Rate	Deliverables	Location	Invoice No	Status
2025-01-08	Tangerine Magazine	Editorial	2000.00	20 final edited images, print and digital rights	Studio BK Rentals, 45 Johnson Ave, Brooklyn NY 11206	JP-2025-002	Completed
2025-01-22	Estrela	Restaurant Menu	1400.00	30 final edited images, restaurant license	84 Berry St, Williamsburg, NY 11211	JP-2025-003	Completed
2025-02-05	Savor Quarterly	Editorial	4400.00	40 final edited images over 2 days, print and digital rights	Studio BK Rentals, 45 Johnson Ave, Brooklyn NY 11206	JP-2025-005	Completed
2025-02-19	Edgewater Food Journal	Editorial	1800.00	18 final edited images, digital rights	Studio BK Rentals, 45 Johnson Ave, Brooklyn NY 11206	JP-2025-006	Completed
2025-03-10	Greenpoint Oyster	Restaurant Menu	1400.00	25 final edited images, restaurant license	321 Franklin St, Greenpoint, NY 11222	JP-2025-008	Completed
2025-03-19	Wren Brooklyn	Restaurant Menu	1400.00	25 final edited images, restaurant license	10 Hope St, Williamsburg, NY 11211	JP-2025-009	Completed
2025-03-26	Tangerine Magazine	Editorial	2200.00	22 final edited images, print and digital rights	Newtown Creek Market, Greenpoint, Brooklyn	JP-2025-010	Completed
2025-04-09	Edgewater Food Journal	Editorial	2000.00	20 final edited images, digital rights	Jackson Heights, Queens NY 11372	JP-2025-013	Completed
2025-04-23	Forager	Restaurant Menu and Social	1500.00	30 final edited images plus 10 social crops, restaurant license	171 Wythe Ave, Brooklyn, NY 11249	JP-2025-014	Completed
2025-05-07	Savor Quarterly	Editorial	2200.00	22 final edited images, print and digital rights	Studio BK Rentals, 45 Johnson Ave, Brooklyn NY 11206	JP-2025-016	Completed
2025-05-14	Alma Cocina	Restaurant Menu	1400.00	25 final edited images, restaurant license	218 Bedford Ave, Brooklyn, NY 11249	JP-2025-017	Completed
2025-05-28	Lena Kitchen	Restaurant Menu Launch	1500.00	35 final edited images, restaurant license and social rights	54 Meserole Ave, Brooklyn, NY 11222	JP-2025-018	Completed
2025-06-11	Cafe Rosi	Restaurant Menu	1500.00	30 final edited images, restaurant license	203 Grand St, Williamsburg, NY 11211	JP-2025-020	Completed
2025-06-18	Alma Cocina	Brand Identity	3200.00	50 final edited images, full brand usage license	218 Bedford Ave, Brooklyn, NY 11249	JP-2025-021	Completed
2025-06-25	Estrela	Seasonal Menu Reshoot	1500.00	25 final edited images, restaurant license	84 Berry St, Williamsburg, NY 11211	JP-2025-022	Completed
2025-07-02	Edgewater Food Journal	Editorial	2000.00	20 final edited images, digital rights	Multiple ramen shops, Brooklyn NY	JP-2025-023	Completed
2025-07-09	Wren Brooklyn	Seasonal Menu Update	1200.00	20 final edited images, restaurant license	10 Hope St, Williamsburg, NY 11211	JP-2025-025	Completed
2025-07-30	Forager	Summer Menu	1200.00	20 final edited images, restaurant license	171 Wythe Ave, Brooklyn, NY 11249	JP-2025-026	Completed
2025-08-06	Savor Quarterly	Editorial	2000.00	20 final edited images, print and digital rights	Studio BK Rentals, 45 Johnson Ave, Brooklyn NY 11206	JP-2025-028	Completed
2025-08-13	Kikkoman	Brand Campaign	4000.00	60 final edited images over 2 days, full commercial license	Prospect Studios, 320 Wythe Ave, Brooklyn NY 11249	JP-2025-029	Completed
2025-08-20	Palo Santo	Restaurant Menu	1200.00	22 final edited images, restaurant license	652 Union St, Brooklyn, NY 11215	JP-2025-030	Completed
2025-08-27	Estrela	Summer Menu Phase 2	1400.00	25 final edited images, restaurant license	84 Berry St, Williamsburg, NY 11211	JP-2025-031	Completed
2025-09-10	Tangerine Magazine	Editorial	3600.00	36 final edited images over 2 days, print and digital rights	Various Brooklyn farm market locations	JP-2025-033	Completed
2025-09-17	Greenpoint Oyster	Fall Menu	1200.00	20 final edited images, restaurant license	321 Franklin St, Greenpoint, NY 11222	JP-2025-034	Completed
2025-09-24	Alma Cocina	Fall Menu Update	1500.00	25 final edited images, restaurant license	218 Bedford Ave, Brooklyn, NY 11249	JP-2025-035	Completed
2025-10-01	Edgewater Food Journal	Editorial	1800.00	18 final edited images, digital rights	Various NYC night market locations	JP-2025-037	Completed
2025-10-08	Savor Quarterly	Editorial	2200.00	22 final edited images, print and digital rights	Studio BK Rentals, 45 Johnson Ave, Brooklyn NY 11206	JP-2025-038	Completed
2025-10-22	Lena Kitchen	Fall Menu Update	1400.00	22 final edited images, restaurant license	54 Meserole Ave, Brooklyn, NY 11222	JP-2025-039	Completed
2025-11-05	Tangerine Magazine	Editorial	2200.00	22 final edited images, print and digital rights	Studio BK Rentals, 45 Johnson Ave, Brooklyn NY 11206	JP-2025-041	Completed
2025-11-12	Estrela	Fall/Winter Menu	1500.00	25 final edited images, restaurant license	84 Berry St, Williamsburg, NY 11211	JP-2025-042	Completed
2025-11-19	Cafe Rosi	Holiday Menu	1400.00	22 final edited images, restaurant license	203 Grand St, Williamsburg, NY 11211	JP-2025-043	Completed
2025-12-03	Palo Santo	End-of-Year Menu	1500.00	25 final edited images, restaurant license	652 Union St, Brooklyn, NY 11215	JP-2025-045	Completed
2025-12-10	Edgewater Food Journal	Editorial	2000.00	20 final edited images, digital rights	Industry City, 220 36th St, Brooklyn NY 11232	JP-2025-046	Completed
