Date	Restaurant	Neighborhood	Borough	Dish Tried	Dairy-Free Safe (Y/N/Partial)	Taste Notes	Photo Taken (Y/N)	Rating (1-5)	Return (Y/N)
2025-01-05	Sweetleaf	Long Island City	Queens	Oat milk latte and avocado toast	Y	Toast came with olive oil not butter, clean and bright flavor, beautiful plating on slate board	Y	5	Y
2025-01-08	Estrela	Williamsburg	Brooklyn	Grilled octopus with smoked paprika aioli (aioli on side)	Y	Charred edges, great texture, smoky and tender, aioli skipped and still outstanding	Y	5	Y
2025-01-12	Sweetleaf	Long Island City	Queens	Oat milk cortado and granola bowl	Y	Granola with coconut milk instead of cream, crunchy and not too sweet	Y	4	Y
2025-01-15	Golden Harvest Palace	Sunset Park	Brooklyn	Har gow, turnip cake, steamed chicken feet	Partial	Turnip cake fried in shared oil with egg dishes, har gow pure shrimp and clean, chicken feet deeply savory	Y	4	Y
2025-01-19	Ivan Ramen	Lower East Side	Manhattan	Shio ramen, rye noodle bowl, vegetable gyoza	Partial	Asked about dairy, server confirmed broth is clean. Gyoza might share fryer. Noodles have incredible chew.	Y	5	Y
2025-01-22	Sweetleaf	Long Island City	Queens	Oat milk latte	Y	Perfect extraction today, creamy and balanced	N	5	Y
2025-01-26	Lupe	Greenpoint	Brooklyn	Black bean tacos with pickled onion and avocado	Y	Bright and fresh, good char on the tortilla, guac made in-house with just lime and salt	Y	4	Y
2025-01-29	Golden Harvest Palace	Sunset Park	Brooklyn	Char siu bao steamed, turnip cake, rice noodle rolls	Partial	Steamed bao clean but baked version has butter glaze. Rice noodle rolls confirmed no dairy.	Y	4	Y
2025-02-02	Sweetleaf	Long Island City	Queens	Oat latte and banana bread	Partial	Banana bread has butter, skipped that, latte on point as usual	N	4	Y
2025-02-05	Forager	Williamsburg	Brooklyn	Grain bowl with roasted cauliflower and tahini dressing	Y	Entirely plant-based restaurant, completely dairy-free safe, tahini dressing rich and nutty	Y	5	Y
2025-02-09	Golden Harvest Palace	Sunset Park	Brooklyn	Shrimp dumpling soup, taro cake, soy-braised pork belly	Partial	Broth clear and clean, taro cake fried but confirmed no dairy, pork belly soy-based	Y	4	Y
2025-02-12	Lilia	Williamsburg	Brooklyn	Mafaldine with pink peppercorn and parmigiano (observed only, did not eat)	N	Cheese central to almost every dish, very hard to eat dairy-free here. Beautiful to shoot though.	Y	4	N
2025-02-16	Sweetleaf	Long Island City	Queens	Oat latte and chia pudding	Y	Chia pudding made with oat milk and coconut, clean and simple	Y	5	Y
2025-02-19	Colonie	Brooklyn Heights	Brooklyn	Roasted carrot salad with pistachios and citrus	Y	Asked kitchen directly, no dairy in the carrot dish, dressing was citrus-based, very clean flavors	Y	4	Y
2025-02-23	Golden Harvest Palace	Sunset Park	Brooklyn	Egg tart (shared), chive and shrimp dumpling, sticky rice in lotus leaf	Partial	Egg tart has butter pastry. Skipped. The sticky rice lotus leaf parcel was clean and filling.	Y	4	Y
2025-03-02	Sweetleaf	Long Island City	Queens	Oat milk latte and tahini cookie	Y	Cookie confirmed dairy-free, tahini and oat base, not too sweet	Y	5	Y
2025-03-05	Olmsted	Prospect Heights	Brooklyn	Vegetable tasting portion, roasted beet and walnut cream (cream on side)	Partial	Walnut cream is dairy-free but rich, beautiful earthy dish, greenhouse setting stunning	Y	5	Y
2025-03-09	Golden Harvest Palace	Sunset Park	Brooklyn	Turnip cake, congee with ginger and scallion, shrimp dumpling	Y	Congee confirmed no dairy, ginger and scallion version clean and warming, great on a cold Sunday	Y	5	Y
2025-03-12	Llama Inn	Williamsburg	Brooklyn	Ceviche leche de tigre, causa with aji amarillo	Partial	Leche de tigre has no dairy, causa had no cream filling this version, great fresh acidity	Y	4	Y
2025-03-16	Sweetleaf	Long Island City	Queens	Oat latte and fruit plate	Y	Simple and clean, fruit plate seasonal	N	4	Y
2025-03-19	Wren Brooklyn	Williamsburg	Brooklyn	Grilled king trumpet mushroom with herbs, roasted squash bowl	Y	Staff confirmed both dishes fully dairy-free, mushroom had great char, squash with olive oil and herbs	Y	5	Y
2025-03-23	Golden Harvest Palace	Sunset Park	Brooklyn	Dim sum spread with focus on steamed items	Partial	Staying with steamed only, safe and delicious, very relaxed brunch vibe with Mateo	Y	4	Y
2025-03-26	Win Son	East Williamsburg	Brooklyn	Fried rice with lap cheong and scallion, smashed cucumber salad	Y	Checked no dairy in the fried rice, lap cheong is pork sausage, clean and satisfying	Y	4	Y
2025-03-30	Ivan Ramen	Lower East Side	Manhattan	Shoyu ramen with extra noodles	Partial	Shoyu broth confirmed dairy-free, soft egg added which is fine, noodles chewy and rich	Y	5	Y
2025-04-02	Sweetleaf	Long Island City	Queens	Oat latte, avocado toast	Y	Spring menu added radish and microgreens to the toast, even better now	Y	5	Y
2025-04-06	Golden Harvest Palace	Sunset Park	Brooklyn	Sticky rice lotus leaf, shrimp rice noodle rolls, turnip cake	Y	Server confirmed lotus leaf parcel no dairy this prep, good morning for photography too	Y	4	Y
2025-04-09	Forager	Williamsburg	Brooklyn	Roasted beet tart with walnut crust, spring green salad	Y	Walnut crust confirmed vegan, beet sweet and earthy, salad with lemon vinaigrette	Y	5	Y
2025-04-13	Sweetleaf	Long Island City	Queens	Oat cortado and almond croissant (confirmed dairy-free batch)	Y	Bakery supplier does a dairy-free almond croissant twice a week, managed to catch one	Y	5	Y
