Item ID	Name	Category	Material/Color	Acquired From	Approx Year	Condition	Storage Location	Notes
PROP-001	Matte White Dinner Plate Large	Ceramic	Matte white	Muji	2022	Excellent	Shelf A, Box 1	Workhorse plate, used in almost every editorial shoot
PROP-002	Matte Cream Dinner Plate Large	Ceramic	Matte cream/off-white	Brooklyn Flea	2021	Good	Shelf A, Box 1	Slight lip chip, not visible on camera from above
PROP-003	Speckled Gray Salad Plate	Ceramic	Speckled gray and white	Brooklyn Flea	2023	Excellent	Shelf A, Box 1	Very photogenic, popular in Oatly campaigns
PROP-004	Terracotta Pasta Bowl	Ceramic	Warm terracotta	L Train Vintage	2022	Good	Shelf A, Box 2	Earthy tones great for grain and legume dishes
PROP-005	Dark Charcoal Soup Bowl	Ceramic	Matte charcoal	Brooklyn Flea	2023	Excellent	Shelf A, Box 2	Great contrast for bright broths and garnishes
PROP-006	Sage Green Ramen Bowl	Ceramic	Sage green glaze	Brooklyn Flea	2024	Excellent	Shelf A, Box 2	Deep bowl with lip, holds noodles beautifully
PROP-007	Handmade Blue-Gray Dinner Plate	Ceramic	Irregular blue-gray	Gifted by client	2023	Excellent	Shelf A, Box 3	Gift from Estrela, hand-thrown, unique
PROP-008	Small White Espresso Cup	Ceramic	White gloss	Muji	2021	Good	Shelf B, Box 1	Two matching cups, good for coffee and matcha shots
PROP-009	Fluted White Side Plate	Ceramic	White with fluted edge	L Train Vintage	2023	Good	Shelf A, Box 3	Vintage-feel edge, lovely with pastry content
PROP-010	Mushroom Brown Serving Bowl	Ceramic	Warm brown matte	Brooklyn Flea	2022	Good	Shelf A, Box 3	Wide and shallow, great for family-style shots
PROP-011	Natural Linen Napkin Set (6)	Textile	Natural linen, undyed	Muji	2022	Excellent	Textile Bin 1	Most-used textile, works with every color palette
PROP-012	Slate Blue Linen Napkin Set (4)	Textile	Slate blue	Brooklyn Flea	2023	Good	Textile Bin 1	Small stain on one, use the other three
PROP-013	Terracotta Linen Napkin Set (4)	Textile	Terracotta rust	L Train Vintage	2023	Excellent	Textile Bin 1	Excellent with Mediterranean and grain dishes
PROP-014	Cream Waffle Weave Cloth	Textile	Cream textured cotton	Muji	2024	Excellent	Textile Bin 1	Backgrounds and napkin work both
PROP-015	Dark Gray Linen Runner	Textile	Dark charcoal linen	Brooklyn Flea	2022	Good	Textile Bin 2	Great for long table compositions
PROP-016	White Cotton Tea Towel	Textile	White with thin stripe	Muji	2021	Good	Textile Bin 2	Light diffuser and styling prop double use
PROP-017	Sage Linen Placemat Set (4)	Textile	Sage green	L Train Vintage	2024	Excellent	Textile Bin 2	Great earthy spring and summer palette
PROP-018	Walnut-Handle Dinner Fork Set (4)	Cutlery	Stainless steel and walnut	Brooklyn Flea	2022	Excellent	Cutlery Drawer	Most-used utensils, warm wood handle
PROP-019	Matte Black Fork and Knife Set (6)	Cutlery	Matte black steel	L Train Vintage	2023	Good	Cutlery Drawer	Slight wear on two knives, still great on camera
PROP-020	Vintage Silver Spoon Set (8)	Cutlery	Silver plate	Brooklyn Flea	2021	Good	Cutlery Drawer	Mix of sizes, mismatched by design, editorial favorite
PROP-021	Brass Cake Fork Set (6)	Cutlery	Antique brass	L Train Vintage	2022	Good	Cutlery Drawer	Beautiful patina, perfect for dessert and pastry
PROP-022	Marble Cutting Board Large	Surface Board	White marble with gray veining	B&H (photographic supply)	2022	Excellent	Board Rack	Hero surface for cheese, bread, and charcuterie
PROP-023	End-Grain Walnut Board Medium	Surface Board	Walnut end-grain	Brooklyn Flea	2023	Excellent	Board Rack	Warm tones, frequent use for breakfast and brunch content
PROP-024	Slate Serving Board	Surface Board	Natural slate	L Train Vintage	2022	Good	Board Rack	Great for dark moody editorial palette
PROP-025	Bleached Oak Board Large	Surface Board	Light bleached oak	Brooklyn Flea	2024	Excellent	Board Rack	New addition, very versatile light surface
PROP-026	Concrete Tile Surface (2)	Surface Board	Gray poured concrete	Gifted	2023	Good	Board Rack	Heavy but great for a raw urban feel
PROP-027	White Ceramic Pitcher	Vessel	White glaze	Muji	2022	Excellent	Shelf B, Box 2	Standard pitcher, good for milk, cream, dressing shots
PROP-028	Terracotta Vase Medium	Vessel	Terracotta unglazed	L Train Vintage	2023	Good	Shelf B, Box 2	Dried botanicals often placed inside for styling
PROP-029	Dark Green Bud Vase	Vessel	Deep forest green	Brooklyn Flea	2023	Excellent	Shelf B, Box 2	Small, goes well with herb and floral garnishes
PROP-030	Speckled Cream Carafe	Vessel	Speckled cream ceramic	Brooklyn Flea	2024	Excellent	Shelf B, Box 2	New, great for wine and water pours
PROP-031	Brown Wicker Bread Basket Small	Basket	Natural wicker	Brooklyn Flea	2022	Good	Shelf C, Box 1	Classic bread and pastry prop
PROP-032	Oval Rattan Serving Tray	Basket	Rattan	L Train Vintage	2023	Good	Shelf C, Box 1	Good for overhead styled flatlay compositions
PROP-033	Seagrass Round Trivet	Basket	Natural seagrass	Muji	2022	Good	Shelf C, Box 1	Useful as surface texture element
PROP-034	Woven Market Basket	Basket	Natural palm leaf	Brooklyn Flea	2024	Excellent	Shelf C, Box 1	Farmers market and produce content, editorial favorite
PROP-035	Black Slate Tray Rectangle	Tray	Black slate stone	B&H	2021	Excellent	Shelf C, Box 2	Reliable dark surface tray for brunch and cheese boards
PROP-036	Bleached Wood Serving Tray	Tray	Bleached pine	Brooklyn Flea	2022	Good	Shelf C, Box 2	Good for overhead compositions
PROP-037	Brass Oval Tray Small	Tray	Antique brass	L Train Vintage	2023	Good	Shelf C, Box 2	Pastry, espresso, and dessert compositions
PROP-038	Ceramic Tray Matte Olive	Tray	Matte olive green	Brooklyn Flea	2024	Excellent	Shelf C, Box 2	New acquisition, earthy tones for fall editorial
PROP-039	Clear Highball Glass Set (4)	Glassware	Clear soda-lime glass	Muji	2022	Good	Shelf D, Box 1	Standard cocktail and beverage shots
PROP-040	Ribbed Juice Glass Set (6)	Glassware	Clear ribbed glass	L Train Vintage	2023	Excellent	Shelf D, Box 1	Vintage-look, excellent light refraction
PROP-041	Wide-Rim Wine Glass Set (4)	Glassware	Clear lead-free crystal	Muji	2023	Excellent	Shelf D, Box 1	Wine and cocktail editorial use
PROP-042	Amber Drinking Glass Set (4)	Glassware	Amber tinted glass	Brooklyn Flea	2024	Excellent	Shelf D, Box 1	Warm tone, great for golden-hour compositions
