id,name,type,messages_total,messages_unread,threads_total,threads_unread
Label_1,INBOX,system,240,18,190,12
Label_2,SENT,system,410,0,340,0
Label_3,STARRED,system,62,4,58,4
Label_4,Chief Nwosu,user,45,2,32,2
Label_5,Greenfield,user,88,3,66,2
Label_6,Family,user,124,1,98,1
Label_7,Universities,user,52,7,40,5
Label_8,Distributors,user,96,4,72,3
Label_9,Equipment,user,38,2,28,2
Label_10,Production,user,110,0,85,0
Label_11,Departmental Flags,user,14,3,14,3
Label_12,UK,user,18,1,15,1
Label_13,US,user,22,2,18,2
Label_14,Canada,user,11,0,9,0
Label_15,India,user,17,2,14,2
Label_16,Nigeria,user,20,1,17,1
Label_17,Rohan,user,64,1,52,1
Label_18,Ananya,user,42,0,34,0
