Activity Date	Activity Name	Distance (mi)	Moving Time	Elapsed Time	Avg Pace (min/mi)	Elevation Gain (ft)	Notes
2025-01-01	Morning Run - Druid Hill Park Outer Loop	3.15	00:34:32	00:36:04	10:58	56	
2025-01-03	Morning Run - Charles Village Streets North	4.43	00:53:40	00:54:32	12:07	82	
2025-01-04	Morning Run - Stony Run Trail Out and Back	3.52	00:43:31	00:44:07	12:22	53	felt strong
2025-01-06	Morning Run - Roland Park Loop via University Pkwy	3.86	00:45:09	00:48:09	11:42	63	
2025-01-10	Morning Run - Cylburn Arboretum Perimeter	4.36	00:49:03	00:50:44	11:15	47	
2025-01-11	Morning Run - Hampden North Baltimore Streets	3.28	00:37:26	00:38:20	11:25	73	felt strong
2025-01-13	Morning Run - Druid Hill Park Inner and Outer Loop	4.55	00:53:27	00:56:14	11:45	43	windy
2025-01-15	Morning Run - Charles Village South Loop	4.09	00:50:59	00:53:01	12:28	52	
2025-01-18	Morning Run - Greenway Trail North	3.62	00:36:40	00:38:09	10:08	40	
2025-01-20	Morning Run - Wyman Park Dell Loop	3.39	00:38:18	00:39:41	11:18	62	
2025-01-22	Morning Run - Druid Hill Park Outer Loop	3.23	00:40:22	00:41:35	12:30	59	
2025-01-24	Morning Run - Charles Village Streets North	4.88	01:01:04	01:03:56	12:31	56	
2025-01-25	Morning Run - Stony Run Trail Out and Back	4.5	00:48:27	00:49:05	10:46	68	
2025-01-27	Morning Run - Roland Park Loop via University Pkwy	4.12	00:45:52	00:47:16	11:08	91	
2025-01-29	Morning Run - Cylburn Arboretum Perimeter	3.93	00:42:54	00:43:59	10:55	59	
2025-01-31	Morning Run - Hampden North Baltimore Streets	4.44	00:51:34	00:54:33	11:37	79	
2025-02-01	Morning Run - Druid Hill Park Inner and Outer Loop	3.35	00:39:51	00:40:44	11:54	34	felt strong
2025-02-03	Morning Run - Charles Village South Loop	3.39	00:39:19	00:40:05	11:36	77	
2025-02-05	Morning Run - Greenway Trail North	4.05	00:49:12	00:49:44	12:09	42	
2025-02-07	Morning Run - Wyman Park Dell Loop	3.58	00:44:52	00:46:49	12:32	42	
2025-02-08	Morning Run - Druid Hill Park Outer Loop	3.11	00:33:57	00:36:35	10:55	50	
2025-02-10	Morning Run - Charles Village Streets North	4.62	00:55:12	00:56:32	11:57	47	
2025-02-12	Morning Run - Stony Run Trail Out and Back	4.82	00:58:04	00:58:34	12:03	69	
2025-02-14	Morning Run - Roland Park Loop via University Pkwy	3.75	00:41:37	00:43:08	11:06	35	
2025-02-15	Morning Run - Cylburn Arboretum Perimeter	3.24	00:38:26	00:39:13	11:52	44	
2025-02-17	Morning Run - Hampden North Baltimore Streets	3.58	00:44:19	00:46:37	12:23	55	windy
2025-02-19	Morning Run - Druid Hill Park Inner and Outer Loop	4.34	00:48:14	00:50:26	11:07	75	
2025-02-21	Morning Run - Charles Village South Loop	3.32	00:35:41	00:36:27	10:45	71	
2025-02-22	Morning Run - Greenway Trail North	4.16	00:40:50	00:41:38	9:49	35	windy
2025-02-24	Morning Run - Wyman Park Dell Loop	3.23	00:34:53	00:36:34	10:48	90	
2025-02-26	Morning Run - Druid Hill Park Outer Loop	4.78	00:58:28	01:01:25	12:14	88	
2025-02-28	Morning Run - Charles Village Streets North	3.83	00:39:03	00:39:57	10:12	83	
2025-03-01	Morning Run - Stony Run Trail Out and Back	4.65	00:46:34	00:47:29	10:01	35	
2025-03-03	Morning Run - Roland Park Loop via University Pkwy	3.55	00:37:37	00:40:24	10:36	85	
2025-03-05	Morning Run - Cylburn Arboretum Perimeter	3.93	00:39:45	00:42:08	10:07	40	
2025-03-07	Morning Run - Hampden North Baltimore Streets	4.6	00:46:50	00:48:20	10:11	49	
2025-03-08	Morning Run - Druid Hill Park Inner and Outer Loop	4.66	00:46:49	00:48:01	10:03	76	
2025-03-10	Morning Run - Charles Village South Loop	4.51	00:49:41	00:51:59	11:01	90	
2025-03-12	Morning Run - Greenway Trail North	4.84	00:59:22	01:02:10	12:16	35	
2025-03-15	Morning Run - Wyman Park Dell Loop	4.01	00:48:19	00:49:29	12:03	35	felt strong
2025-03-17	Morning Run - Druid Hill Park Outer Loop	3.43	00:42:18	00:43:05	12:20	58	
2025-03-19	Morning Run - Charles Village Streets North	4.13	00:50:39	00:51:19	12:16	38	
2025-03-21	Morning Run - Stony Run Trail Out and Back	4.04	00:44:02	00:45:24	10:54	68	
2025-03-22	Morning Run - Roland Park Loop via University Pkwy	4.31	00:47:41	00:50:08	11:04	68	felt strong
2025-03-24	Morning Run - Cylburn Arboretum Perimeter	3.12	00:38:50	00:41:44	12:27	40	
2025-03-26	Morning Run - Hampden North Baltimore Streets	3.58	00:40:23	00:41:10	11:17	59	
2025-03-28	Morning Run - Druid Hill Park Inner and Outer Loop	4.6	00:50:58	00:53:43	11:05	29	
2025-03-29	Morning Run - Charles Village South Loop	4.78	00:48:54	00:49:58	10:14	61	
2025-03-31	Morning Run - Greenway Trail North	3.59	00:44:23	00:45:46	12:22	71	
2025-04-02	Morning Run - Wyman Park Dell Loop	3.58	00:42:32	00:44:06	11:53	34	
2025-04-04	Morning Run - Druid Hill Park Outer Loop	3.6	00:35:16	00:37:11	9:48	44	
2025-04-05	Morning Run - Charles Village Streets North	4.43	00:53:49	00:56:08	12:09	29	windy
2025-04-07	Morning Run - Stony Run Trail Out and Back	3.37	00:33:31	00:35:35	9:57	46	
2025-04-11	Morning Run - Roland Park Loop via University Pkwy	4.78	00:47:38	00:49:39	9:58	54	
2025-04-12	Morning Run - Cylburn Arboretum Perimeter	3.74	00:45:33	00:47:47	12:11	47	felt strong
2025-04-14	Morning Run - Hampden North Baltimore Streets	3.39	00:35:45	00:38:00	10:33	31	
2025-04-16	Morning Run - Druid Hill Park Inner and Outer Loop	4.51	00:52:05	00:53:38	11:33	62	
2025-04-18	Morning Run - Charles Village South Loop	3.79	00:37:42	00:40:12	9:57	56	
2025-04-19	Morning Run - Greenway Trail North	3.73	00:40:09	00:41:36	10:46	31	felt strong
2025-04-21	Morning Run - Wyman Park Dell Loop	3.6	00:36:18	00:37:59	10:05	72	
2025-04-23	Morning Run - Druid Hill Park Outer Loop	4.87	00:58:50	01:00:44	12:05	31	
2025-04-25	Morning Run - Charles Village Streets North	3.42	00:37:20	00:37:59	10:55	41	
2025-04-26	Morning Run - Stony Run Trail Out and Back	4.52	00:52:39	00:55:19	11:39	42	
2025-04-28	Morning Run - Roland Park Loop via University Pkwy	4.38	00:42:55	00:45:38	9:48	53	
2025-05-02	Morning Run - Cylburn Arboretum Perimeter	3.69	00:41:04	00:42:05	11:08	66	
2025-05-03	Morning Run - Hampden North Baltimore Streets	3.69	00:40:46	00:43:37	11:03	44	
2025-05-05	Morning Run - Druid Hill Park Inner and Outer Loop	4.45	00:46:52	00:49:47	10:32	66	
2025-05-07	Morning Run - Charles Village South Loop	3.65	00:38:59	00:41:19	10:41	69	
2025-05-09	Morning Run - Greenway Trail North	3.48	00:41:07	00:42:20	11:49	38	
2025-05-10	Morning Run - Wyman Park Dell Loop	4.21	00:42:52	00:44:22	10:11	67	
2025-05-14	Morning Run - Druid Hill Park Outer Loop	3.96	00:39:59	00:42:25	10:06	81	windy
2025-05-16	Morning Run - Charles Village Streets North	4.39	00:50:11	00:52:47	11:26	79	
2025-05-17	Morning Run - Stony Run Trail Out and Back	3.11	00:31:52	00:34:10	10:15	56	windy
2025-05-19	Morning Run - Roland Park Loop via University Pkwy	3.19	00:34:36	00:35:37	10:51	86	
2025-05-21	Morning Run - Cylburn Arboretum Perimeter	4.06	00:49:27	00:51:18	12:11	84	
2025-05-23	Morning Run - Hampden North Baltimore Streets	4.01	00:48:39	00:51:03	12:08	48	
2025-05-24	Morning Run - Druid Hill Park Inner and Outer Loop	3.57	00:38:44	00:40:24	10:51	94	
2025-05-26	Morning Run - Charles Village South Loop	4.38	00:47:18	00:48:57	10:48	70	
2025-05-28	Morning Run - Greenway Trail North	3.35	00:36:07	00:38:15	10:47	47	
2025-05-31	Morning Run - Wyman Park Dell Loop	4.08	00:47:11	00:47:56	11:34	54	felt strong
2025-06-02	Morning Run - Druid Hill Park Outer Loop	4.49	00:44:22	00:47:19	9:53	76	
2025-06-04	Morning Run - Charles Village Streets North	3.64	00:41:40	00:43:57	11:27	56	
2025-06-06	Morning Run - Stony Run Trail Out and Back	3.97	00:45:27	00:47:23	11:27	79	
2025-06-07	Morning Run - Roland Park Loop via University Pkwy	4.76	00:59:15	01:02:01	12:27	31	felt strong
2025-06-09	Morning Run - Cylburn Arboretum Perimeter	4.29	00:43:32	00:45:51	10:09	45	windy
2025-06-11	Morning Run - Hampden North Baltimore Streets	3.57	00:39:55	00:41:19	11:11	86	
2025-06-13	Morning Run - Druid Hill Park Inner and Outer Loop	3.78	00:43:47	00:45:21	11:35	38	
2025-06-14	Morning Run - Charles Village South Loop	3.19	00:35:59	00:37:26	11:17	36	felt strong
2025-06-16	Morning Run - Greenway Trail North	4.46	00:48:23	00:49:44	10:51	30	
2025-06-18	Morning Run - Wyman Park Dell Loop	3.95	00:40:37	00:43:31	10:17	55	
2025-06-20	Morning Run - Druid Hill Park Outer Loop	3.76	00:46:33	00:47:32	12:23	48	windy
2025-06-21	Morning Run - Charles Village Streets North	3.15	00:35:01	00:37:58	11:07	76	
2025-06-25	Morning Run - Stony Run Trail Out and Back	4.23	00:43:17	00:45:04	10:14	43	
2025-06-27	Morning Run - Roland Park Loop via University Pkwy	3.17	00:38:15	00:40:34	12:04	75	
2025-06-28	Morning Run - Cylburn Arboretum Perimeter	3.12	00:36:08	00:38:43	11:35	41	
2025-06-30	Morning Run - Hampden North Baltimore Streets	3.93	00:41:04	00:43:25	10:27	50	
2025-07-02	Morning Run - Druid Hill Park Inner and Outer Loop	3.59	00:43:22	00:45:55	12:05	87	
2025-07-04	Morning Run - Charles Village South Loop	3.58	00:38:47	00:39:39	10:50	63	windy
2025-07-05	Morning Run - Greenway Trail North	3.94	00:48:51	00:50:58	12:24	71	windy
2025-07-07	Morning Run - Wyman Park Dell Loop	3.48	00:37:55	00:39:52	10:54	63	windy
2025-07-09	Morning Run - Druid Hill Park Outer Loop	3.6	00:35:24	00:38:06	9:50	52	
2025-07-11	Morning Run - Charles Village Streets North	3.98	00:43:03	00:45:34	10:49	90	
2025-07-14	Morning Run - Stony Run Trail Out and Back	3.83	00:41:29	00:43:17	10:50	75	
2025-07-16	Morning Run - Roland Park Loop via University Pkwy	3.87	00:46:57	00:48:51	12:08	73	
2025-07-18	Morning Run - Cylburn Arboretum Perimeter	3.55	00:36:33	00:37:52	10:18	68	
2025-07-19	Morning Run - Hampden North Baltimore Streets	4.47	00:47:18	00:48:37	10:35	55	felt strong
2025-07-21	Morning Run - Druid Hill Park Inner and Outer Loop	4.16	00:50:03	00:51:45	12:02	40	
2025-07-23	Morning Run - Charles Village South Loop	3.75	00:41:33	00:42:06	11:05	44	
2025-07-25	Morning Run - Greenway Trail North	4.1	00:42:22	00:44:57	10:20	41	windy
2025-07-26	Morning Run - Wyman Park Dell Loop	3.94	00:45:58	00:47:55	11:40	51	felt strong
2025-07-28	Morning Run - Druid Hill Park Outer Loop	4.65	00:47:49	00:48:35	10:17	79	
2025-07-30	Morning Run - Charles Village Streets North	4.34	00:45:16	00:46:24	10:26	66	
2025-08-01	Morning Run - Stony Run Trail Out and Back	4.1	00:47:25	00:48:52	11:34	94	
2025-08-02	Morning Run - Roland Park Loop via University Pkwy	3.64	00:44:46	00:47:05	12:18	67	
2025-08-04	Morning Run - Cylburn Arboretum Perimeter	3.28	00:35:02	00:36:26	10:41	61	
2025-08-06	Morning Run - Hampden North Baltimore Streets	3.41	00:34:29	00:35:39	10:07	28	
2025-08-08	Morning Run - Druid Hill Park Inner and Outer Loop	3.95	00:39:14	00:40:43	9:56	64	
2025-08-09	Morning Run - Charles Village South Loop	3.92	00:42:16	00:43:53	10:47	53	
2025-08-11	Morning Run - Greenway Trail North	4.74	00:49:17	00:50:05	10:24	35	
2025-08-13	Morning Run - Wyman Park Dell Loop	4.45	00:54:21	00:56:04	12:13	84	
2025-08-15	Morning Run - Druid Hill Park Outer Loop	4.36	00:47:44	00:50:22	10:57	91	
2025-08-16	Morning Run - Charles Village Streets North	4.7	00:52:29	00:54:03	11:10	31	windy
2025-08-18	Morning Run - Stony Run Trail Out and Back	4.14	00:40:55	00:42:33	9:53	33	
2025-08-20	Morning Run - Roland Park Loop via University Pkwy	4.03	00:47:05	00:48:46	11:41	51	windy
