Track	Artist	Album	Genre	Duration	Play Date	Play Time (ET)
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-01-02	20:09
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-01-02	20:22
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-01-02	20:35
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-01-02	20:51
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-03	20:05
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-01-03	20:09
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-01-03	20:25
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-01-03	20:39
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-01-03	20:42
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-01-03	20:47
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-01-03	20:54
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-01-04	20:25
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-01-04	20:41
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-01-04	20:55
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-01-04	21:00
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-01-04	21:08
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-01-04	21:18
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-01-04	21:30
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-04	21:43
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-01-05	20:10
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-01-05	20:18
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-01-05	20:32
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-05	20:43
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-01-05	20:53
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-01-05	21:04
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-01-05	21:11
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-01-06	20:11
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-01-06	20:19
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-01-06	20:26
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-06	20:35
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-01-06	20:47
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-01-06	20:58
