Order Date	ASIN	Item Description	Category	Price	Status
2024-01-14	B09W2X9YVR	D'Addario EJ16 Acoustic Guitar Strings Phosphor Bronze Medium 12-53 3-Pack	Musical Instruments	29.97	Delivered
2024-01-22	B0000AGLLG	Kyser Quick-Change Guitar Capo Acoustic 6-String	Musical Instruments	16.99	Delivered
2024-02-03	0544310977	Devotions: The Selected Poems of Mary Oliver	Books	17.49	Delivered
2024-02-18	B07K18FX7N	Brooks Ghost Running Socks Low Cut 3 Pack Women's	Sports	22.00	Delivered
2024-03-02	B0002CZXGA	Harney and Sons English Breakfast Tea 50 Sachets	Grocery	11.95	Delivered
2024-03-15	1400032806	Collected Poems of Lucille Clifton 1965-2010	Books	23.00	Delivered
2024-04-05	B005EVHXIA	GU Energy Gels Assorted Flavors 24-Count	Sports	32.99	Delivered
2024-04-19	B07YGFPHLL	D'Addario Pro-Arte Classical Guitar Strings Normal Tension EJ45	Musical Instruments	8.49	Delivered
2024-05-08	0198604548	Modern Epidemiology 4th Edition Rothman Greenland Lash	Books	89.00	Delivered
2024-05-20	B09C8VBDK5	Black Diamond Spot Headlamp 200 Lumens Running	Sports	39.95	Delivered
2024-06-12	B07GXBCX4H	Trigger Point GRID Foam Roller	Sports	34.99	Delivered
2024-06-28	B08L6KSMLD	Celestial Seasonings Chamomile Lemon Tea 40 Bags	Grocery	6.49	Delivered
2024-07-10	B0002CZX8E	Dunlop Finger Picks Brass Pack of 12	Musical Instruments	7.99	Delivered
2024-07-24	1250301696	American Fire: Love, Arson, and Life in a Vanishing Land by Monica Hesse	Books	16.00	Delivered
2024-08-07	B09RVHJ8Q4	D'Addario EJ16 Acoustic Guitar Strings 3-Pack Medium	Musical Instruments	29.97	Delivered
2024-08-19	0807014176	An Unbroken Agony: Haiti, from Revolution to the Kidnapping of a President	Books	14.95	Delivered
2024-09-03	B001FTAM8E	Sof Sole Arch Running Insoles for Women	Sports	14.99	Delivered
2024-09-22	0300230249	The Spirit Catches You and You Fall Down - Anne Fadiman	Books	17.00	Delivered
2024-10-08	B002RN5WLC	Nut Doctor Lubricant for Guitar Nut and Saddle 0.5 oz	Musical Instruments	8.95	Delivered
2024-10-19	B09XV3BMPF	Hydration Running Belt with Water Bottles 20 oz	Sports	28.99	Delivered
2024-11-02	0063046873	Just Keep Running: Life Lessons from My First 100 Marathons	Books	19.99	Delivered
2024-11-15	B07KJP3MW1	Harney and Sons Hot Cinnamon Spice Loose Tea Tin	Grocery	13.75	Delivered
2024-11-30	1250271460	The Pandemic Within: Policy to Reduce Inequality - Siegel	Books	24.00	Delivered
2024-12-10	B0B7WNCMHM	D'Addario EXL110-3D Electric Guitar Strings for Workshop Students	Musical Instruments	18.99	Delivered
2024-12-22	B0030FLHFI	Planet Waves Guitar Polish and Cleaner 4 oz	Musical Instruments	8.49	Delivered
2025-01-08	0140455353	Leaves of Grass - Walt Whitman Penguin Classics	Books	11.99	Delivered
2025-01-20	B08CL19K4T	Brooks Glycerin 21 Running Socks Quarter Length 2 Pack	Sports	18.00	Delivered
2025-02-04	B09H4T6P5D	Skratch Labs Hydration Drink Mix Lemon Lime 20-Count	Sports	26.99	Delivered
2025-02-18	B000RMOFBE	D'Addario Pro-Arte Classical Strings Hard Tension EJ46	Musical Instruments	8.49	Delivered
2025-02-28	1982164972	The Code Breaker: Jennifer Doudna Gene Editing Future of Human Race	Books	18.99	Delivered
