Date	Client or Event	Service Type	Amount Invoiced	Amount Received	Payment Method	Notes
2024-02-10	Baltimore City Health Department - Respiratory Illness Data Review	Public Health Consulting	750.00	750.00	ACH Bank Transfer	One-time data review and methodology consultation
2024-04-12	Dragonfly Music Center - Fingerstyle Fundamentals Workshop	Guitar Workshop	85.00	595.00	Square Card Reader	Seven students at $85 each; net after 7 attendees
2024-05-15	Healthy Neighborhoods Coalition Baltimore - Survey Design	Public Health Consulting	500.00	500.00	Check	Community needs assessment survey instrument review
2024-06-01	Chesapeake Acoustic Collective - Brookhaven Festival Advance	Music Performance	150.00	150.00	PayPal	Partial advance for fall festival commitment
2024-07-08	Independent Consulting - URISN Community Report Review	Public Health Consulting	400.00	400.00	ACH Bank Transfer	External reviewer engagement for community-facing summary
2024-10-05	Dragonfly Music Center - Intermediate Fingerstyle Fall Session	Guitar Workshop	95.00	570.00	Square Card Reader	Six students confirmed and attended
2024-11-02	Baltimore Community Foundation - Health Equity Forum Presentation	Public Health Consulting	600.00	600.00	Check	Invited speaker on urban respiratory illness surveillance
2024-11-14	Dragonfly Music Center - Fingerstyle Workshop Fall	Guitar Workshop	85.00	85.00	Square Card Reader	One additional drop-in student
2025-02-08	Dragonfly Music Center - Fingerstyle Fundamentals Winter Session	Guitar Workshop	85.00	680.00	Square Card Reader	Eight students at $85 each
2025-02-20	Baltimore City Planning Office - Health Impact Assessment	Public Health Consulting	500.00	500.00	ACH Bank Transfer	Written commentary on proposed housing development EIA
