id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
seg_0000,Segment 0,Ride,3895.8,4.5,9.4,40.8,14.3,4,Tarpon Springs,FL
seg_0001,Segment 1,Run,2503.2,3.7,0.6,11.8,16.4,5,Tarpon Springs,FL
seg_0002,Segment 2,Run,7398.3,2.2,5.2,33.6,9.4,1,Tarpon Springs,FL
seg_0003,Segment 3,Ride,2617.4,1.9,6.9,11.5,5.7,2,Tarpon Springs,FL
seg_0004,Segment 4,Run,781.0,1.0,0.0,16.6,12.2,4,Tarpon Springs,FL
seg_0005,Segment 5,Ride,2758.9,3.3,2.7,12.0,13.0,4,Tarpon Springs,FL
seg_0006,Segment 6,Ride,3092.7,2.2,10.6,21.5,17.0,0,Tarpon Springs,FL
seg_0007,Segment 7,Ride,8835.2,4.8,7.1,44.2,5.6,0,Tarpon Springs,FL
seg_0008,Segment 8,Ride,2584.3,4.8,3.6,33.1,5.4,3,Tarpon Springs,FL
seg_0009,Segment 9,Run,2995.1,4.2,5.4,43.8,11.0,1,Tarpon Springs,FL
seg_0010,Segment 10,Run,7265.7,2.2,0.7,27.6,0.1,3,Tarpon Springs,FL
seg_0011,Segment 11,Ride,5123.0,1.2,7.6,47.0,9.3,5,Tarpon Springs,FL
seg_0012,Segment 12,Run,3956.7,2.0,4.2,49.9,12.0,1,Tarpon Springs,FL
seg_0013,Segment 13,Ride,7250.4,3.3,5.8,23.4,3.0,5,Tarpon Springs,FL
seg_0014,Segment 14,Ride,6993.3,4.0,12.9,35.2,5.1,5,Tarpon Springs,FL
seg_0015,Segment 15,Ride,4402.5,3.7,14.8,21.6,14.9,0,Tarpon Springs,FL
seg_0016,Segment 16,Ride,3286.3,1.9,1.1,43.5,16.2,5,Tarpon Springs,FL
seg_0017,Segment 17,Ride,2834.6,3.0,10.5,3.5,12.7,5,Tarpon Springs,FL
seg_0018,Segment 18,Ride,3451.1,2.8,13.5,48.2,15.1,3,Tarpon Springs,FL
seg_0019,Segment 19,Ride,2909.5,4.6,14.6,5.8,3.8,1,Tarpon Springs,FL
seg_0020,Segment 20,Ride,1758.0,1.2,13.2,45.5,1.5,4,Tarpon Springs,FL
seg_0021,Segment 21,Run,5158.2,1.5,7.7,28.3,11.0,5,Tarpon Springs,FL
seg_0022,Segment 22,Ride,3533.6,4.4,1.5,34.2,12.9,4,Tarpon Springs,FL
seg_0023,Segment 23,Ride,4327.2,4.3,6.2,3.5,10.8,1,Tarpon Springs,FL
seg_0024,Segment 24,Run,2920.2,2.6,7.8,49.5,12.6,5,Tarpon Springs,FL
seg_0025,Segment 25,Run,1611.8,5.0,10.1,15.8,9.9,1,Tarpon Springs,FL
seg_0026,Segment 26,Ride,7152.5,0.3,5.4,24.4,1.8,0,Tarpon Springs,FL
seg_0027,Segment 27,Run,6618.7,0.1,2.6,25.2,1.8,5,Tarpon Springs,FL
seg_0028,Segment 28,Ride,1022.3,4.1,2.9,16.1,11.2,4,Tarpon Springs,FL
seg_0029,Segment 29,Ride,8595.5,0.1,13.4,6.1,19.2,1,Tarpon Springs,FL
seg_0030,Segment 30,Run,4842.0,3.6,5.8,37.4,9.8,1,Tarpon Springs,FL
seg_0031,Segment 31,Run,6123.1,1.6,13.7,38.2,14.8,4,Tarpon Springs,FL
seg_0032,Segment 32,Ride,4763.7,1.6,4.2,48.3,16.1,1,Tarpon Springs,FL
seg_0033,Segment 33,Ride,2066.1,2.4,13.7,42.2,7.2,1,Tarpon Springs,FL
seg_0034,Segment 34,Ride,2857.7,4.6,7.9,23.2,3.5,5,Tarpon Springs,FL
seg_0035,Segment 35,Run,7015.9,3.9,8.6,9.1,5.8,4,Tarpon Springs,FL
seg_0036,Segment 36,Ride,8312.3,1.1,10.0,8.5,1.8,3,Tarpon Springs,FL
seg_0037,Segment 37,Ride,1057.5,2.2,0.4,30.5,12.8,5,Tarpon Springs,FL
seg_0038,Segment 38,Ride,4923.1,3.3,8.8,7.5,14.1,1,Tarpon Springs,FL
seg_0039,Segment 39,Ride,9123.0,2.4,10.5,45.9,6.5,5,Tarpon Springs,FL
seg_0040,Segment 40,Ride,2368.4,3.5,9.2,17.4,11.0,0,Tarpon Springs,FL
seg_0041,Segment 41,Ride,6020.1,1.6,8.0,42.5,12.7,5,Tarpon Springs,FL
seg_0042,Segment 42,Ride,934.0,2.3,7.9,13.3,6.7,0,Tarpon Springs,FL
seg_0043,Segment 43,Ride,1693.3,4.1,5.2,48.4,2.7,5,Tarpon Springs,FL
seg_0044,Segment 44,Ride,6243.0,2.3,11.8,19.5,15.1,1,Tarpon Springs,FL
seg_0045,Segment 45,Run,6401.2,1.8,9.9,38.8,4.6,0,Tarpon Springs,FL
seg_0046,Segment 46,Run,4673.1,4.0,4.6,31.4,0.1,4,Tarpon Springs,FL
seg_0047,Segment 47,Ride,7793.5,2.5,13.6,45.3,2.7,3,Tarpon Springs,FL
seg_0048,Segment 48,Ride,3897.4,3.3,11.8,39.7,1.3,1,Tarpon Springs,FL
seg_0049,Segment 49,Run,9734.8,4.4,1.8,9.1,11.8,3,Tarpon Springs,FL
seg_0050,Segment 50,Ride,9959.9,3.7,3.7,22.5,19.6,2,Tarpon Springs,FL
seg_0051,Segment 51,Run,6704.8,1.3,7.3,34.6,9.1,2,Tarpon Springs,FL
seg_0052,Segment 52,Ride,4707.4,0.1,0.5,11.5,19.8,2,Tarpon Springs,FL
seg_0053,Segment 53,Ride,6900.5,2.1,0.9,34.5,4.6,5,Tarpon Springs,FL
seg_0054,Segment 54,Run,1631.0,0.1,12.1,19.7,12.0,4,Tarpon Springs,FL
seg_0055,Segment 55,Run,4158.1,2.8,4.7,16.7,17.7,4,Tarpon Springs,FL
seg_0056,Segment 56,Ride,3752.9,2.2,5.1,37.2,6.1,1,Tarpon Springs,FL
seg_0057,Segment 57,Ride,7576.1,3.7,3.5,5.9,13.0,1,Tarpon Springs,FL
seg_0058,Segment 58,Run,3216.5,3.0,6.4,15.2,2.6,2,Tarpon Springs,FL
seg_0059,Segment 59,Ride,687.5,2.9,13.5,48.5,15.3,1,Tarpon Springs,FL
seg_0060,Segment 60,Run,5013.5,1.4,7.8,26.0,15.8,5,Tarpon Springs,FL
seg_0061,Segment 61,Run,7803.2,1.4,11.9,48.5,9.5,1,Tarpon Springs,FL
seg_0062,Segment 62,Ride,9687.2,1.8,12.1,9.9,8.1,4,Tarpon Springs,FL
seg_0063,Segment 63,Run,2024.6,3.4,7.5,3.0,15.1,1,Tarpon Springs,FL
