date	time	species	count	feeder	notes
2026-02-02	07:40	Northern cardinal	2	platform	pair, light snow
2026-02-02	07:55	Carolina chickadee	3	tube	busy at the sunflower
2026-02-05	08:10	American goldfinch	6	thistle	winter drab plumage
2026-02-09	07:30	Downy woodpecker	1	suet	male, red patch
2026-02-11	08:00	Blue jay	2	platform	scattered the smaller birds
2026-02-14	07:45	White breasted nuthatch	1	suet	headfirst down the oak
2026-02-18	08:20	Carolina wren	2	ground	nesting near the shed again
2026-02-21	07:35	Mourning dove	5	ground	under the platform
2026-02-23	08:05	House finch	4	tube	two males in color
2026-02-26	07:50	Tufted titmouse	2	tube	grabbing and caching seed
